disruption_id,shipment_id,order_id,event_type,affected_resource,warehouse_code,severity,priority,event_time,impact,status
DIS000029,SHP000239,ORD000239,Inventory Shortage,NAG_NH,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000030,SHP000275,ORD000275,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000031,SHP000276,ORD000276,Weather Delay,Shahgarh,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000032,SHP000279,ORD000279,Driver Absence,DRV007,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000033,SHP000282,ORD000282,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000034,SHP000286,ORD000286,Weather Delay,Kharar,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000035,SHP000322,ORD000322,Inventory Shortage,AMD_RDC,AMD_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000036,SHP000348,ORD000348,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000037,SHP000368,ORD000368,Driver Absence,DRV001,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000038,SHP000375,ORD000375,Weather Delay,Ausa,CCU_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000039,SHP000388,ORD000388,Weather Delay,Rangapara,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000040,SHP000393,ORD000393,Driver Absence,DRV001,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000041,SHP000396,ORD000396,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000042,SHP000411,ORD000411,Vehicle Breakdown,VEH023,BLR_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000043,SHP000425,ORD000425,Vehicle Breakdown,VEH036,CCU_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000044,SHP000431,ORD000431,Inventory Shortage,MAA_RDC,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000045,SHP000445,ORD000445,Driver Absence,DRV040,CCU_RDC,Medium,Express,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000046,SHP000467,ORD000467,Vehicle Breakdown,VEH029,HYD_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000047,SHP000486,ORD000486,Driver Absence,DRV018,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000048,SHP000504,ORD000504,Driver Absence,DRV024,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000049,SHP000509,ORD000509,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000050,SHP000513,ORD000513,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000051,SHP000514,ORD000514,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000052,SHP000548,ORD000548,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000053,SHP000550,ORD000550,Inventory Shortage,AMD_RDC,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000054,SHP000552,ORD000552,Vehicle Breakdown,VEH029,HYD_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000055,SHP000566,ORD000566,Vehicle Breakdown,VEH036,CCU_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000056,SHP000582,ORD000582,Weather Delay,Mahad,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000057,SHP000585,ORD000585,Weather Delay,Bahsuma,AMD_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000058,SHP000599,ORD000599,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000059,SHP000604,ORD000604,Weather Delay,Sarka Ghat,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000060,SHP000609,ORD000609,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000061,SHP000626,ORD000626,Weather Delay,Khuldabad,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000062,SHP000627,ORD000627,Weather Delay,Jamalpur,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000063,SHP000641,ORD000641,Weather Delay,Quthbullapur,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000064,SHP000643,ORD000643,Driver Absence,DRV018,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000065,SHP000663,ORD000663,Inventory Shortage,AMD_RDC,AMD_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000066,SHP000666,ORD000666,Weather Delay,Parlakimidi,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000067,SHP000675,ORD000675,Inventory Shortage,NAG_NH,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000068,SHP000682,ORD000682,Driver Absence,DRV024,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000069,SHP000704,ORD000704,Warehouse Shutdown,AMD_RDC,AMD_RDC,Critical,Standard,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000070,SHP000725,ORD000725,Weather Delay,Halenda,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000071,SHP000732,ORD000732,Vehicle Breakdown,VEH036,CCU_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000072,SHP000748,ORD000748,Weather Delay,Imphal,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000073,SHP000761,ORD000761,Driver Absence,DRV018,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000074,SHP000769,ORD000769,Weather Delay,Aruppukkottai,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000075,SHP000774,ORD000774,Weather Delay,Panchgani,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000076,SHP000791,ORD000791,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000077,SHP000807,ORD000807,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000078,SHP000815,ORD000815,Driver Absence,DRV001,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000079,SHP000816,ORD000816,Weather Delay,Navi Mumbai,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000080,SHP000819,ORD000819,Weather Delay,Wangjing,CCU_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000081,SHP000820,ORD000820,Weather Delay,Rasra,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000082,SHP000821,ORD000821,Driver Absence,DRV040,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000083,SHP000842,ORD000842,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000084,SHP000853,ORD000853,Vehicle Breakdown,VEH029,HYD_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000085,SHP000860,ORD000860,Weather Delay,Daund,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000086,SHP000865,ORD000865,Weather Delay,Sompeta,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000087,SHP000871,ORD000871,Vehicle Breakdown,VEH034,MAA_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000088,SHP000872,ORD000872,Vehicle Breakdown,VEH003,MUM_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000089,SHP000872,ORD000872,Weather Delay,Kartarpur,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000090,SHP000873,ORD000873,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000091,SHP000891,ORD000891,Driver Absence,DRV034,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000092,SHP000900,ORD000900,Warehouse Shutdown,NAG_NH,NAG_NH,Critical,Standard,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000093,SHP000922,ORD000922,Weather Delay,Bhikhi,BLR_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000094,SHP000942,ORD000942,Driver Absence,DRV001,MUM_NH,Medium,Express,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000095,SHP000945,ORD000945,Vehicle Breakdown,VEH036,CCU_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000096,SHP000947,ORD000947,Vehicle Breakdown,VEH008,NAG_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000097,SHP000968,ORD000968,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000098,SHP001002,ORD001002,Weather Delay,Kallakkurichchi,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000099,SHP001005,ORD001005,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000100,SHP001017,ORD001017,Weather Delay,Hazaribagh,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000101,SHP001021,ORD001021,Warehouse Shutdown,MUM_NH,MUM_NH,Critical,Express,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000102,SHP001025,ORD001025,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000103,SHP001046,ORD001046,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000104,SHP001050,ORD001050,Vehicle Breakdown,VEH034,MAA_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000105,SHP001072,ORD001072,Vehicle Breakdown,VEH034,MAA_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000106,SHP001080,ORD001080,Vehicle Breakdown,VEH029,HYD_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000107,SHP001085,ORD001085,Weather Delay,Chorhat,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000108,SHP001101,ORD001101,Vehicle Breakdown,VEH008,NAG_NH,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000109,SHP001104,ORD001104,Weather Delay,Sarai Akil,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000110,SHP001111,ORD001111,Weather Delay,South District,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000111,SHP001121,ORD001121,Vehicle Breakdown,VEH003,MUM_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000112,SHP001125,ORD001125,Weather Delay,Sakhanu,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000113,SHP001144,ORD001144,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000114,SHP001146,ORD001146,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000115,SHP001176,ORD001176,Weather Delay,Bishnah,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000116,SHP001182,ORD001182,Weather Delay,Kud,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000117,SHP001194,ORD001194,Warehouse Shutdown,MAA_RDC,MAA_RDC,Critical,Express,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000118,SHP001205,ORD001205,Driver Absence,DRV029,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000119,SHP001219,ORD001219,Weather Delay,Bhimtal,CCU_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000120,SHP001240,ORD001240,Weather Delay,Puttur,DEL_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000121,SHP001251,ORD001251,Vehicle Breakdown,VEH003,MUM_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000122,SHP001261,ORD001261,Weather Delay,Tirumala,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000123,SHP001269,ORD001269,Weather Delay,Ambattur,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000124,SHP001271,ORD001271,Weather Delay,Madanapalle,MAA_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000125,SHP001281,ORD001281,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000126,SHP001291,ORD001291,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000127,SHP001306,ORD001306,Weather Delay,Hansi,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000128,SHP001318,ORD001318,Weather Delay,Kharsundi,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000129,SHP001327,ORD001327,Weather Delay,Seohara,CCU_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000130,SHP001348,ORD001348,Vehicle Breakdown,VEH023,BLR_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000131,SHP001351,ORD001351,Weather Delay,Jagraon,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000132,SHP001356,ORD001356,Weather Delay,Virar,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000133,SHP001383,ORD001383,Weather Delay,Limbdi,NAG_NH,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000134,SHP001388,ORD001388,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000135,SHP001391,ORD001391,Weather Delay,Jaipur,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000136,SHP001421,ORD001421,Weather Delay,Pauri,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000137,SHP001435,ORD001435,Weather Delay,Yairipok,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000138,SHP001436,ORD001436,Weather Delay,Lalganj,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000139,SHP001444,ORD001444,Vehicle Breakdown,VEH023,BLR_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000140,SHP001448,ORD001448,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000141,SHP001449,ORD001449,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000142,SHP001472,ORD001472,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000143,SHP001479,ORD001479,Driver Absence,DRV007,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000144,SHP001484,ORD001484,Inventory Shortage,DEL_RDC,DEL_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000145,SHP001488,ORD001488,Weather Delay,Bangalore Urban,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000146,SHP001519,ORD001519,Vehicle Breakdown,VEH008,NAG_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000147,SHP001532,ORD001532,Vehicle Breakdown,VEH023,BLR_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000148,SHP001550,ORD001550,Weather Delay,Ajnala,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000149,SHP001569,ORD001569,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000150,SHP001582,ORD001582,Weather Delay,Ramnagar,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000151,SHP001591,ORD001591,Driver Absence,DRV007,NAG_NH,Medium,Express,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000152,SHP001597,ORD001597,Warehouse Shutdown,MUM_NH,MUM_NH,Critical,Express,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000153,SHP001613,ORD001613,Vehicle Breakdown,VEH029,HYD_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000154,SHP001629,ORD001629,Vehicle Breakdown,VEH003,MUM_NH,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000155,SHP001644,ORD001644,Weather Delay,Godda,HYD_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000156,SHP001648,ORD001648,Weather Delay,Vanala,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000157,SHP001662,ORD001662,Inventory Shortage,MUM_NH,MUM_NH,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000158,SHP001675,ORD001675,Vehicle Breakdown,VEH034,MAA_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000159,SHP001680,ORD001680,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000160,SHP001700,ORD001700,Vehicle Breakdown,VEH008,NAG_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000161,SHP001716,ORD001716,Weather Delay,Kuju,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000162,SHP001723,ORD001723,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000163,SHP001732,ORD001732,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000164,SHP001741,ORD001741,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000165,SHP001756,ORD001756,Driver Absence,DRV018,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000166,SHP001768,ORD001768,Inventory Shortage,HYD_RDC,HYD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000167,SHP001776,ORD001776,Warehouse Shutdown,CCU_RDC,CCU_RDC,Critical,Standard,2026-07-05 23:54:03,Warehouse Closed,Active
DIS000168,SHP001776,ORD001776,Weather Delay,Katpur,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000169,SHP001787,ORD001787,Vehicle Breakdown,VEH003,MUM_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000170,SHP001795,ORD001795,Weather Delay,Daulatabad,DEL_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000171,SHP001797,ORD001797,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000172,SHP001830,ORD001830,Vehicle Breakdown,VEH003,MUM_NH,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000173,SHP001834,ORD001834,Vehicle Breakdown,VEH029,HYD_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000174,SHP001837,ORD001837,Weather Delay,Pabal,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000175,SHP001850,ORD001850,Weather Delay,Siruguppa,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000176,SHP001865,ORD001865,Inventory Shortage,AMD_RDC,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000177,SHP001867,ORD001867,Inventory Shortage,BLR_RDC,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000178,SHP001870,ORD001870,Inventory Shortage,MUM_NH,MUM_NH,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000179,SHP001883,ORD001883,Driver Absence,DRV007,NAG_NH,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000180,SHP001895,ORD001895,Inventory Shortage,CCU_RDC,CCU_RDC,Medium,Express,2026-07-05 23:54:03,Low Inventory,Active
DIS000181,SHP001905,ORD001905,Weather Delay,Mhasla,DEL_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000182,SHP001917,ORD001917,Weather Delay,Naldurg,MUM_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000183,SHP001923,ORD001923,Weather Delay,Tezu,DEL_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000184,SHP001929,ORD001929,Weather Delay,Kyelang,MAA_RDC,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000185,SHP001941,ORD001941,Inventory Shortage,AMD_RDC,AMD_RDC,Medium,Standard,2026-07-05 23:54:03,Low Inventory,Active
DIS000186,SHP001943,ORD001943,Driver Absence,DRV024,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000187,SHP001962,ORD001962,Vehicle Breakdown,VEH034,MAA_RDC,High,Express,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000188,SHP001962,ORD001962,Weather Delay,Karkala,MAA_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000189,SHP001971,ORD001971,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
DIS000190,SHP002001,ORD002001,Weather Delay,Kinwat,HYD_RDC,Medium,Express,2026-07-05 23:54:03,ETA Increased,Active
DIS000191,SHP002003,ORD002003,Weather Delay,Ranapur,NAG_NH,Medium,Standard,2026-07-05 23:54:03,ETA Increased,Active
DIS000192,SHP002011,ORD002011,Driver Absence,DRV024,BLR_RDC,Medium,Standard,2026-07-05 23:54:03,Driver Unavailable,Active
DIS000193,SHP002031,ORD002031,Vehicle Breakdown,VEH014,DEL_RDC,High,Standard,2026-07-05 23:54:03,Vehicle Unavailable,Active
