shipment_id,vehicle_id,distance_km,fuel_efficiency_kmpl,fuel_consumption_l,co2_emission_kg,carbon_intensity,estimated_delivery,eta_status,sustainability_score,green_shipment,sustainability_category
SHP000023,VEH023,1657.71,12,138.14,370.22,0.223,2025-04-20 07:30,In Transit,50,No,Poor
SHP000024,VEH018,2617.45,12,218.12,584.56,0.223,2025-03-17 15:00,Long Distance,50,No,Poor
SHP000025,VEH034,1062.57,12,88.55,237.31,0.223,2025-10-05 07:30,In Transit,50,No,Poor
SHP000026,VEH018,1416.65,12,118.05,316.37,0.223,2025-10-27 03:00,On Time,50,No,Poor
SHP000027,VEH023,1539.82,12,128.32,343.9,0.223,2025-09-20 03:00,On Time,50,No,Poor
SHP000028,VEH034,1844.73,12,153.73,412.0,0.223,2025-03-23 01:00,Long Distance,50,No,Poor
SHP000029,VEH018,156.63,12,13.05,34.97,0.223,2025-11-03 07:30,In Transit,100,Yes,Excellent
SHP000030,VEH018,758.48,12,63.21,169.4,0.223,2025-08-28 03:00,On Time,70,Yes,Average
SHP000031,VEH003,1422.76,8,177.84,476.61,0.335,2025-12-15 09:00,In Transit,50,No,Poor
SHP000032,VEH034,1520.01,12,126.67,339.48,0.223,2025-05-18 03:00,On Time,50,No,Poor
SHP000033,VEH008,691.0,8,86.38,231.5,0.335,2025-08-11 03:36,On Time,50,No,Poor
SHP000034,VEH036,1728.92,8,216.12,579.2,0.335,2025-05-16 09:00,In Transit,50,No,Poor
SHP000035,VEH023,1012.43,12,84.37,226.11,0.223,2025-02-25 00:40,On Time,50,No,Poor
SHP000036,VEH036,1160.38,8,145.05,388.73,0.335,2025-11-09 06:00,Long Distance,50,No,Poor
SHP000037,VEH014,2060.17,12,171.68,460.1,0.223,2025-03-25 03:00,On Time,50,No,Poor
SHP000038,VEH003,651.89,8,81.49,218.39,0.335,2025-11-05 18:00,Long Distance,50,No,Poor
SHP000039,VEH003,1560.76,8,195.1,522.87,0.335,2025-07-08 06:00,Long Distance,50,No,Poor
SHP000040,VEH008,994.49,8,124.31,333.15,0.335,2025-10-20 00:48,On Time,50,No,Poor
SHP000041,VEH023,142.53,12,11.88,31.84,0.223,2025-02-07 03:00,On Time,100,Yes,Excellent
SHP000042,VEH036,1618.01,8,202.25,542.03,0.335,2025-12-04 09:00,In Transit,50,No,Poor
SHP000043,VEH023,1262.8,12,105.23,282.02,0.223,2025-09-29 15:00,Long Distance,50,No,Poor
SHP000044,VEH014,737.47,12,61.46,164.71,0.223,2025-06-11 07:30,In Transit,70,Yes,Average
SHP000045,VEH036,900.61,8,112.58,301.71,0.335,2025-08-15 03:36,On Time,50,No,Poor
SHP000046,VEH018,613.76,12,51.15,137.08,0.223,2025-04-26 00:40,On Time,70,Yes,Average
SHP000047,VEH014,1230.93,12,102.58,274.91,0.223,2025-10-11 03:00,On Time,50,No,Poor
SHP000048,VEH029,775.16,12,64.6,173.13,0.223,2025-02-07 00:40,On Time,70,Yes,Average
SHP000049,VEH003,2512.88,8,314.11,841.81,0.335,2025-02-04 03:36,On Time,50,No,Poor
SHP000050,VEH003,925.89,8,115.74,310.18,0.335,2025-05-04 09:00,In Transit,50,No,Poor
SHP000051,VEH018,935.59,12,77.97,208.96,0.223,2025-10-04 15:00,Long Distance,50,No,Poor
SHP000052,VEH014,1121.41,12,93.45,250.45,0.223,2025-09-01 00:40,On Time,50,No,Poor
SHP000053,VEH008,472.06,8,59.01,158.15,0.335,2025-02-18 09:00,In Transit,70,Yes,Average
SHP000054,VEH029,1266.17,12,105.51,282.77,0.223,2025-08-05 15:00,Long Distance,50,No,Poor
SHP000055,VEH036,1476.74,8,184.59,494.7,0.335,2025-12-13 03:36,On Time,50,No,Poor
SHP000056,VEH018,1078.67,12,89.89,240.91,0.223,2025-07-28 07:30,In Transit,50,No,Poor
SHP000057,VEH029,987.73,12,82.31,220.59,0.223,2025-04-10 03:00,On Time,50,No,Poor
SHP000058,VEH003,1360.59,8,170.07,455.79,0.335,2025-08-06 18:00,Long Distance,50,No,Poor
SHP000059,VEH036,527.82,8,65.98,176.83,0.335,2025-02-08 03:36,On Time,70,Yes,Average
SHP000060,VEH003,1146.77,8,143.35,384.18,0.335,2025-12-02 00:48,On Time,50,No,Poor
SHP000061,VEH036,314.9,8,39.36,105.48,0.335,2025-05-02 03:36,On Time,70,Yes,Average
SHP000062,VEH014,244.09,12,20.34,54.51,0.223,2025-04-20 00:40,On Time,100,Yes,Excellent
SHP000063,VEH018,866.3,12,72.19,193.47,0.223,2025-01-04 15:00,Long Distance,50,No,Poor
SHP000064,VEH023,785.83,12,65.49,175.51,0.223,2025-08-07 00:40,On Time,70,Yes,Average
SHP000065,VEH003,1129.41,8,141.18,378.36,0.335,2025-03-23 03:36,On Time,50,No,Poor
SHP000066,VEH014,842.43,12,70.2,188.14,0.223,2025-10-25 03:00,On Time,50,No,Poor
SHP000067,VEH034,564.41,12,47.03,126.04,0.223,2025-02-01 00:40,On Time,70,Yes,Average
SHP000068,VEH008,701.98,8,87.75,235.17,0.335,2025-10-01 09:00,In Transit,50,No,Poor
SHP000069,VEH029,570.59,12,47.55,127.43,0.223,2025-04-09 01:00,Long Distance,70,Yes,Average
SHP000070,VEH003,715.61,8,89.45,239.73,0.335,2025-07-28 03:36,On Time,50,No,Poor
SHP000071,VEH018,2234.36,12,186.2,499.02,0.223,2025-11-03 00:40,On Time,50,No,Poor
SHP000072,VEH008,1772.01,8,221.5,593.62,0.335,2025-12-04 03:36,On Time,50,No,Poor
SHP000073,VEH018,1715.76,12,142.98,383.19,0.223,2025-05-14 03:00,On Time,50,No,Poor
SHP000074,VEH034,1751.39,12,145.95,391.15,0.223,2025-05-04 15:00,Long Distance,50,No,Poor
SHP000075,VEH034,1678.3,12,139.86,374.82,0.223,2025-08-24 03:00,On Time,50,No,Poor
SHP000076,VEH003,398.65,8,49.83,133.54,0.335,2025-08-25 03:36,On Time,70,Yes,Average
SHP000077,VEH034,1474.09,12,122.84,329.21,0.223,2025-10-05 07:30,In Transit,50,No,Poor
SHP000078,VEH023,1739.24,12,144.94,388.44,0.223,2025-06-30 03:00,On Time,50,No,Poor
SHP000079,VEH029,1237.51,12,103.13,276.39,0.223,2025-03-24 00:40,On Time,50,No,Poor
SHP000080,VEH008,1157.2,8,144.65,387.66,0.335,2025-11-12 00:48,On Time,50,No,Poor
SHP000081,VEH018,934.82,12,77.9,208.77,0.223,2025-10-13 03:00,On Time,50,No,Poor
SHP000082,VEH014,1946.16,12,162.18,434.64,0.223,2025-03-10 03:00,On Time,50,No,Poor
SHP000083,VEH036,1223.58,8,152.95,409.91,0.335,2025-10-11 03:36,On Time,50,No,Poor
SHP000084,VEH018,910.6,12,75.88,203.36,0.223,2025-06-27 15:00,Long Distance,50,No,Poor
SHP000085,VEH018,814.35,12,67.86,181.86,0.223,2025-05-18 03:00,On Time,50,No,Poor
SHP000086,VEH036,856.42,8,107.05,286.89,0.335,2025-02-18 00:48,On Time,50,No,Poor
SHP000087,VEH034,281.91,12,23.49,62.95,0.223,2025-01-02 03:00,On Time,85,Yes,Good
SHP000088,VEH034,1636.67,12,136.39,365.53,0.223,2025-05-16 07:30,In Transit,50,No,Poor
SHP000089,VEH014,1245.09,12,103.76,278.08,0.223,2025-10-16 01:00,Long Distance,50,No,Poor
SHP000090,VEH008,1040.45,8,130.06,348.56,0.335,2025-03-20 09:00,In Transit,50,No,Poor
SHP000091,VEH014,302.6,12,25.22,67.59,0.223,2025-10-10 03:00,On Time,85,Yes,Good
SHP000092,VEH014,2087.25,12,173.94,466.16,0.223,2025-06-07 00:40,On Time,50,No,Poor
SHP000093,VEH023,1192.81,12,99.4,266.39,0.223,2025-12-17 01:00,Long Distance,50,No,Poor
SHP000094,VEH034,1879.31,12,156.61,419.71,0.223,2025-10-16 03:00,On Time,50,No,Poor
SHP000095,VEH029,967.92,12,80.66,216.17,0.223,2025-05-04 15:00,Long Distance,50,No,Poor
SHP000096,VEH034,15.09,12,1.26,3.38,0.224,2025-04-03 00:40,On Time,100,Yes,Excellent
SHP000097,VEH029,1425.63,12,118.8,318.38,0.223,2025-05-10 03:00,On Time,50,No,Poor
SHP000098,VEH008,728.86,8,91.11,244.17,0.335,2025-07-15 03:36,On Time,50,No,Poor
SHP000099,VEH008,1602.14,8,200.27,536.72,0.335,2025-08-26 18:00,Long Distance,50,No,Poor
SHP000100,VEH036,1681.59,8,210.2,563.34,0.335,2025-01-15 03:36,On Time,50,No,Poor
SHP000101,VEH008,1221.06,8,152.63,409.05,0.335,2025-05-24 18:00,Long Distance,50,No,Poor
SHP000102,VEH008,356.64,8,44.58,119.47,0.335,2025-11-26 03:36,On Time,70,Yes,Average
SHP000103,VEH008,623.14,8,77.89,208.75,0.335,2025-06-20 03:36,On Time,50,No,Poor
SHP000104,VEH029,1031.27,12,85.94,230.32,0.223,2025-10-25 07:30,In Transit,50,No,Poor
SHP000105,VEH029,543.11,12,45.26,121.3,0.223,2025-06-26 03:00,On Time,70,Yes,Average
SHP000106,VEH008,1133.82,8,141.73,379.84,0.335,2025-09-19 09:00,In Transit,50,No,Poor
SHP000107,VEH014,1473.3,12,122.78,329.05,0.223,2025-05-13 00:40,On Time,50,No,Poor
SHP000108,VEH023,1556.0,12,129.67,347.52,0.223,2025-09-26 03:00,On Time,50,No,Poor
SHP000109,VEH036,369.9,8,46.24,123.92,0.335,2025-12-10 09:00,In Transit,70,Yes,Average
SHP000110,VEH003,1407.5,8,175.94,471.52,0.335,2025-12-09 03:36,On Time,50,No,Poor
SHP000111,VEH036,1762.83,8,220.35,590.54,0.335,2025-03-05 03:36,On Time,50,No,Poor
SHP000112,VEH023,1744.06,12,145.34,389.51,0.223,2025-12-08 03:00,On Time,50,No,Poor
SHP000113,VEH008,596.74,8,74.59,199.9,0.335,2025-06-01 00:48,On Time,50,No,Poor
SHP000114,VEH034,362.23,12,30.19,80.91,0.223,2025-12-07 07:30,In Transit,85,Yes,Good
SHP000115,VEH023,2652.44,12,221.04,592.39,0.223,2025-11-14 00:40,On Time,50,No,Poor
SHP000116,VEH029,610.15,12,50.85,136.28,0.223,2025-01-01 00:40,On Time,70,Yes,Average
SHP000117,VEH014,720.48,12,60.04,160.91,0.223,2025-10-25 01:00,Long Distance,70,Yes,Average
SHP000118,VEH018,1763.62,12,146.97,393.88,0.223,2025-08-15 00:40,On Time,50,No,Poor
SHP000119,VEH034,725.0,12,60.42,161.93,0.223,2025-09-01 07:30,In Transit,70,Yes,Average
SHP000120,VEH008,332.57,8,41.57,111.41,0.335,2025-09-21 00:48,On Time,70,Yes,Average
SHP000121,VEH023,398.38,12,33.2,88.98,0.223,2025-02-19 03:00,On Time,85,Yes,Good
SHP000122,VEH008,287.96,8,35.99,96.45,0.335,2025-04-13 18:00,Long Distance,85,Yes,Good
SHP000123,VEH014,1351.34,12,112.61,301.79,0.223,2025-09-02 03:00,On Time,50,No,Poor
SHP000124,VEH014,1774.47,12,147.87,396.29,0.223,2025-08-03 07:30,In Transit,50,No,Poor
SHP000125,VEH036,1312.41,8,164.05,439.65,0.335,2025-09-13 00:48,On Time,50,No,Poor
SHP000126,VEH018,880.68,12,73.39,196.69,0.223,2025-02-24 07:30,In Transit,50,No,Poor
SHP000127,VEH003,996.35,8,124.54,333.77,0.335,2025-08-28 18:00,Long Distance,50,No,Poor
SHP000128,VEH029,749.4,12,62.45,167.37,0.223,2025-08-22 07:30,In Transit,70,Yes,Average
SHP000129,VEH023,271.38,12,22.62,60.62,0.223,2025-10-14 15:00,Long Distance,85,Yes,Good
SHP000130,VEH008,404.72,8,50.59,135.58,0.335,2025-10-10 00:48,On Time,70,Yes,Average
SHP000131,VEH003,1662.81,8,207.85,557.04,0.335,2025-08-19 09:00,In Transit,50,No,Poor
SHP000132,VEH008,1221.06,8,152.63,409.05,0.335,2025-05-22 18:00,Long Distance,50,No,Poor
SHP000133,VEH014,1189.68,12,99.14,265.7,0.223,2025-05-22 07:30,In Transit,50,No,Poor
SHP000134,VEH014,415.36,12,34.61,92.75,0.223,2025-05-01 00:40,On Time,85,Yes,Good
SHP000135,VEH018,2388.29,12,199.02,533.37,0.223,2025-02-13 00:40,On Time,50,No,Poor
SHP000136,VEH034,1553.34,12,129.44,346.9,0.223,2025-12-22 00:40,On Time,50,No,Poor
SHP000137,VEH003,962.57,8,120.32,322.46,0.335,2025-08-01 18:00,Long Distance,50,No,Poor
SHP000138,VEH003,1566.33,8,195.79,524.72,0.335,2025-08-01 00:48,On Time,50,No,Poor
SHP000139,VEH014,518.61,12,43.22,115.83,0.223,2025-10-28 07:30,In Transit,70,Yes,Average
SHP000140,VEH014,1694.07,12,141.17,378.34,0.223,2025-09-02 03:00,On Time,50,No,Poor
SHP000141,VEH003,232.66,8,29.08,77.93,0.335,2025-07-19 18:00,Long Distance,85,Yes,Good
SHP000142,VEH036,1709.48,8,213.68,572.66,0.335,2025-11-06 03:36,On Time,50,No,Poor
SHP000143,VEH023,1262.52,12,105.21,281.96,0.223,2025-08-13 07:30,In Transit,50,No,Poor
SHP000144,VEH014,1615.31,12,134.61,360.75,0.223,2025-12-10 00:40,On Time,50,No,Poor
SHP000145,VEH036,1773.83,8,221.73,594.24,0.335,2025-08-30 06:00,Long Distance,50,No,Poor
SHP000146,VEH023,2448.23,12,204.02,546.77,0.223,2025-07-23 03:00,On Time,50,No,Poor
SHP000147,VEH008,844.53,8,105.57,282.93,0.335,2025-02-12 09:00,In Transit,50,No,Poor
SHP000148,VEH036,1812.95,8,226.62,607.34,0.335,2025-08-26 03:36,On Time,50,No,Poor
SHP000149,VEH029,1695.32,12,141.28,378.63,0.223,2025-06-17 03:00,On Time,50,No,Poor
SHP000150,VEH008,854.43,8,106.8,286.22,0.335,2025-07-16 03:36,On Time,50,No,Poor
SHP000151,VEH014,472.34,12,39.36,105.48,0.223,2025-02-13 07:30,In Transit,70,Yes,Average
SHP000152,VEH008,1328.15,8,166.02,444.93,0.335,2025-01-27 18:00,Long Distance,50,No,Poor
SHP000153,VEH029,893.27,12,74.44,199.5,0.223,2025-12-02 00:40,On Time,50,No,Poor
SHP000154,VEH014,596.03,12,49.67,133.12,0.223,2025-04-15 00:40,On Time,70,Yes,Average
SHP000155,VEH018,558.49,12,46.54,124.73,0.223,2025-03-06 03:00,On Time,70,Yes,Average
SHP000156,VEH029,1276.72,12,106.39,285.13,0.223,2025-04-24 03:00,On Time,50,No,Poor
SHP000157,VEH036,1731.55,8,216.44,580.06,0.335,2025-07-08 09:00,In Transit,50,No,Poor
SHP000158,VEH003,1113.67,8,139.21,373.08,0.335,2025-03-02 00:48,On Time,50,No,Poor
SHP000159,VEH036,1132.52,8,141.56,379.38,0.335,2025-01-16 18:00,Long Distance,50,No,Poor
SHP000160,VEH036,1237.42,8,154.68,414.54,0.335,2025-07-13 00:48,On Time,50,No,Poor
SHP000161,VEH008,1038.04,8,129.76,347.76,0.335,2025-11-02 00:48,On Time,50,No,Poor
SHP000162,VEH023,1424.46,12,118.7,318.12,0.223,2025-12-25 00:40,On Time,50,No,Poor
SHP000163,VEH014,1109.45,12,92.45,247.77,0.223,2025-10-19 07:30,In Transit,50,No,Poor
SHP000164,VEH014,1586.58,12,132.22,354.35,0.223,2025-12-06 00:40,On Time,50,No,Poor
SHP000165,VEH018,1513.47,12,126.12,338.0,0.223,2025-06-26 00:40,On Time,50,No,Poor
SHP000166,VEH029,1142.62,12,95.22,255.19,0.223,2025-08-12 01:00,Long Distance,50,No,Poor
SHP000167,VEH003,1000.13,8,125.02,335.05,0.335,2025-03-20 00:48,On Time,50,No,Poor
SHP000168,VEH008,1038.04,8,129.76,347.76,0.335,2025-11-12 00:48,On Time,50,No,Poor
SHP000169,VEH003,1319.82,8,164.98,442.15,0.335,2025-08-13 00:48,On Time,50,No,Poor
SHP000170,VEH008,1115.12,8,139.39,373.57,0.335,2025-05-08 03:36,On Time,50,No,Poor
SHP000171,VEH029,1066.73,12,88.89,238.23,0.223,2025-08-27 00:40,On Time,50,No,Poor
SHP000172,VEH018,329.4,12,27.45,73.57,0.223,2025-06-22 07:30,In Transit,85,Yes,Good
SHP000173,VEH023,1615.4,12,134.62,360.78,0.223,2025-09-08 00:40,On Time,50,No,Poor
SHP000174,VEH014,306.35,12,25.53,68.42,0.223,2025-05-26 07:30,In Transit,85,Yes,Good
SHP000175,VEH023,269.93,12,22.49,60.27,0.223,2025-01-06 00:40,On Time,85,Yes,Good
SHP000176,VEH036,1805.55,8,225.69,604.85,0.335,2025-07-28 00:48,On Time,50,No,Poor
SHP000177,VEH034,1895.54,12,157.96,423.33,0.223,2025-11-28 00:40,On Time,50,No,Poor
SHP000178,VEH036,1155.57,8,144.45,387.13,0.335,2025-02-18 00:48,On Time,50,No,Poor
SHP000179,VEH018,1238.13,12,103.18,276.52,0.223,2025-05-05 03:00,On Time,50,No,Poor
SHP000180,VEH008,1012.49,8,126.56,339.18,0.335,2025-09-01 03:36,On Time,50,No,Poor
SHP000181,VEH008,1082.01,8,135.25,362.47,0.335,2025-10-10 03:36,On Time,50,No,Poor
SHP000182,VEH014,1471.82,12,122.65,328.7,0.223,2025-05-21 00:40,On Time,50,No,Poor
SHP000183,VEH036,790.13,8,98.77,264.7,0.335,2025-04-11 00:48,On Time,50,No,Poor
SHP000184,VEH034,187.9,12,15.66,41.97,0.223,2025-12-20 07:30,In Transit,100,Yes,Excellent
SHP000185,VEH014,1157.88,12,96.49,258.59,0.223,2025-05-23 15:00,Long Distance,50,No,Poor
SHP000186,VEH003,2190.29,8,273.79,733.76,0.335,2025-05-25 00:48,On Time,50,No,Poor
SHP000187,VEH008,1540.74,8,192.59,516.14,0.335,2025-07-04 03:36,On Time,50,No,Poor
SHP000188,VEH003,836.64,8,104.58,280.27,0.335,2025-10-03 18:00,Long Distance,50,No,Poor
SHP000189,VEH008,1913.01,8,239.13,640.87,0.335,2025-10-11 00:48,On Time,50,No,Poor
SHP000190,VEH034,1024.51,12,85.38,228.82,0.223,2025-09-10 00:40,On Time,50,No,Poor
SHP000191,VEH008,174.29,8,21.79,58.4,0.335,2025-08-30 06:00,Long Distance,100,Yes,Excellent
SHP000192,VEH029,616.76,12,51.4,137.75,0.223,2025-01-27 00:40,On Time,70,Yes,Average
SHP000193,VEH008,1662.69,8,207.84,557.01,0.335,2025-07-27 00:48,On Time,50,No,Poor
SHP000194,VEH014,1086.73,12,90.56,242.7,0.223,2025-12-19 00:40,On Time,50,No,Poor
SHP000195,VEH008,1046.24,8,130.78,350.49,0.335,2025-02-13 03:36,On Time,50,No,Poor
SHP000196,VEH034,2674.56,12,222.88,597.32,0.223,2025-11-08 03:00,On Time,50,No,Poor
SHP000197,VEH003,1945.27,8,243.16,651.67,0.335,2025-09-25 03:36,On Time,50,No,Poor
SHP000198,VEH008,840.77,8,105.1,281.67,0.335,2025-10-29 03:36,On Time,50,No,Poor
SHP000199,VEH036,112.57,8,14.07,37.71,0.335,2025-01-31 00:48,On Time,100,Yes,Excellent
SHP000200,VEH003,481.34,8,60.17,161.26,0.335,2025-11-19 18:00,Long Distance,70,Yes,Average
SHP000201,VEH003,1426.7,8,178.34,477.95,0.335,2025-03-24 00:48,On Time,50,No,Poor
SHP000202,VEH003,1423.84,8,177.98,476.99,0.335,2025-03-22 03:36,On Time,50,No,Poor
SHP000203,VEH029,832.53,12,69.38,185.94,0.223,2025-11-03 00:40,On Time,50,No,Poor
SHP000204,VEH008,790.67,8,98.83,264.86,0.335,2025-05-30 03:36,On Time,50,No,Poor
SHP000205,VEH014,381.64,12,31.8,85.22,0.223,2025-02-07 15:00,Long Distance,85,Yes,Good
SHP000206,VEH003,1090.08,8,136.26,365.18,0.335,2025-08-08 00:48,On Time,50,No,Poor
SHP000207,VEH014,534.13,12,44.51,119.29,0.223,2025-03-20 01:00,Long Distance,70,Yes,Average
SHP000208,VEH029,859.04,12,71.59,191.86,0.223,2025-03-26 00:40,On Time,50,No,Poor
SHP000209,VEH008,647.45,8,80.93,216.89,0.335,2025-05-29 09:00,In Transit,50,No,Poor
SHP000210,VEH008,1377.58,8,172.2,461.5,0.335,2025-12-26 03:36,On Time,50,No,Poor
SHP000211,VEH003,990.9,8,123.86,331.94,0.335,2025-09-12 09:00,In Transit,50,No,Poor
SHP000212,VEH003,458.83,8,57.35,153.7,0.335,2025-08-12 03:36,On Time,70,Yes,Average
SHP000213,VEH034,1395.32,12,116.28,311.63,0.223,2025-02-17 03:00,On Time,50,No,Poor
SHP000214,VEH023,1437.25,12,119.77,320.98,0.223,2025-01-13 00:40,On Time,50,No,Poor
SHP000215,VEH008,630.24,8,78.78,211.13,0.335,2025-03-31 18:00,Long Distance,50,No,Poor
SHP000216,VEH008,583.71,8,72.96,195.53,0.335,2025-05-23 03:36,On Time,50,No,Poor
SHP000217,VEH014,343.27,12,28.61,76.67,0.223,2025-09-09 03:00,On Time,85,Yes,Good
SHP000218,VEH018,983.1,12,81.92,219.55,0.223,2025-06-22 07:30,In Transit,50,No,Poor
SHP000219,VEH023,1382.42,12,115.2,308.74,0.223,2025-06-19 07:30,In Transit,50,No,Poor
SHP000220,VEH034,1154.1,12,96.18,257.76,0.223,2025-12-07 03:00,On Time,50,No,Poor
SHP000221,VEH003,1056.52,8,132.06,353.92,0.335,2025-08-23 00:48,On Time,50,No,Poor
SHP000222,VEH023,420.81,12,35.07,93.99,0.223,2025-03-03 01:00,Long Distance,85,Yes,Good
SHP000223,VEH008,1355.98,8,169.5,454.26,0.335,2025-08-26 18:00,Long Distance,50,No,Poor
SHP000224,VEH003,1886.55,8,235.82,632.0,0.335,2025-07-05 09:00,In Transit,50,No,Poor
SHP000225,VEH036,860.72,8,107.59,288.34,0.335,2025-08-16 09:00,In Transit,50,No,Poor
SHP000226,VEH029,170.75,12,14.23,38.14,0.223,2025-05-29 01:00,Long Distance,100,Yes,Excellent
SHP000227,VEH014,2326.18,12,193.85,519.52,0.223,2025-01-15 03:00,On Time,50,No,Poor
SHP000228,VEH036,1274.95,8,159.37,427.11,0.335,2025-03-24 00:48,On Time,50,No,Poor
SHP000229,VEH029,585.34,12,48.78,130.73,0.223,2025-02-18 00:40,On Time,70,Yes,Average
SHP000230,VEH008,1272.2,8,159.02,426.17,0.335,2025-11-29 09:00,In Transit,50,No,Poor
SHP000231,VEH008,355.09,8,44.39,118.97,0.335,2025-09-20 00:48,On Time,70,Yes,Average
SHP000232,VEH018,2261.46,12,188.46,505.07,0.223,2025-09-06 03:00,On Time,50,No,Poor
SHP000233,VEH036,318.39,8,39.8,106.66,0.335,2025-03-17 03:36,On Time,70,Yes,Average
SHP000234,VEH034,1362.63,12,113.55,304.31,0.223,2025-03-11 03:00,On Time,50,No,Poor
SHP000235,VEH014,848.77,12,70.73,189.56,0.223,2025-09-17 03:00,On Time,50,No,Poor
SHP000236,VEH023,1952.29,12,162.69,436.01,0.223,2025-06-03 00:40,On Time,50,No,Poor
SHP000237,VEH018,777.75,12,64.81,173.69,0.223,2025-03-18 00:40,On Time,70,Yes,Average
SHP000238,VEH014,893.15,12,74.43,199.47,0.223,2025-06-21 00:40,On Time,50,No,Poor
SHP000239,VEH008,944.88,8,118.11,316.53,0.335,2025-08-24 03:36,On Time,50,No,Poor
SHP000240,VEH023,1334.16,12,111.18,297.96,0.223,2025-10-21 07:30,In Transit,50,No,Poor
SHP000241,VEH003,526.58,8,65.82,176.4,0.335,2025-06-14 00:48,On Time,70,Yes,Average
SHP000242,VEH029,1241.15,12,103.43,277.19,0.223,2025-12-07 07:30,In Transit,50,No,Poor
SHP000243,VEH008,547.52,8,68.44,183.42,0.335,2025-03-06 03:36,On Time,50,No,Poor
SHP000244,VEH008,1251.03,8,156.38,419.1,0.335,2025-08-14 03:36,On Time,50,No,Poor
SHP000245,VEH018,1543.1,12,128.59,344.62,0.223,2025-03-16 01:00,Long Distance,50,No,Poor
SHP000246,VEH036,1736.49,8,217.06,581.72,0.335,2025-08-30 18:00,Long Distance,50,No,Poor
SHP000247,VEH003,1074.85,8,134.36,360.08,0.335,2025-11-29 03:36,On Time,50,No,Poor
SHP000248,VEH023,520.05,12,43.34,116.15,0.223,2025-07-16 07:30,In Transit,70,Yes,Average
SHP000249,VEH034,594.1,12,49.51,132.69,0.223,2025-10-07 15:00,Long Distance,70,Yes,Average
SHP000250,VEH036,1860.85,8,232.61,623.39,0.335,2025-11-22 00:48,On Time,50,No,Poor
SHP000251,VEH023,1014.75,12,84.56,226.62,0.223,2025-08-13 15:00,Long Distance,50,No,Poor
SHP000252,VEH008,347.78,8,43.47,116.5,0.335,2025-08-18 00:48,On Time,70,Yes,Average
SHP000253,VEH008,703.09,8,87.89,235.55,0.335,2025-01-25 03:36,On Time,50,No,Poor
SHP000254,VEH003,761.94,8,95.24,255.24,0.335,2025-07-13 09:00,In Transit,50,No,Poor
SHP000255,VEH008,1035.5,8,129.44,346.9,0.335,2025-08-01 03:36,On Time,50,No,Poor
SHP000256,VEH023,2138.01,12,178.17,477.5,0.223,2025-03-31 15:00,Long Distance,50,No,Poor
SHP000257,VEH023,1068.16,12,89.01,238.55,0.223,2025-12-18 00:40,On Time,50,No,Poor
SHP000258,VEH003,1717.09,8,214.64,575.24,0.335,2025-05-02 06:00,Long Distance,50,No,Poor
