order_id,order_date,customer_id,destination_city,warehouse_id,warehouse_code,sku_id,sku_code,product_name,category,order_quantity,priority,order_status
ORD000026,2025-10-26,CUST01636,Kunnamangalam,WH004,AMD_RDC,SKU0060,AUT003,Car Battery,Automotive,7,Standard,Pending
ORD000027,2025-09-18,CUST02022,Vindhyachal,WH005,BLR_RDC,SKU0018,FMC006,Hair Oil,FMCG,9,Standard,Pending
ORD000028,2025-03-20,CUST02571,Gawan,WH007,MAA_RDC,SKU0074,HOM008,Water Bottle,Home & Kitchen,8,Standard,Dispatched
ORD000029,2025-11-02,CUST00261,Halvad,WH004,AMD_RDC,SKU0040,APP004,Jacket,Apparel,14,Standard,Allocated
ORD000030,2025-08-28,CUST02168,Mahendragarh,WH004,AMD_RDC,SKU0004,ELE004,Monitor,Electronics,20,Standard,Dispatched
ORD000031,2025-12-15,CUST02953,Atraulia,WH001,MUM_NH,SKU0012,ELE012,Power Bank,Electronics,1,Standard,Dispatched
ORD000032,2025-05-17,CUST02626,Dhrangadhra,WH007,MAA_RDC,SKU0062,AUT005,Air Filter,Automotive,18,Standard,Pending
ORD000033,2025-08-11,CUST00648,Bidhuna,WH002,NAG_NH,SKU0059,AUT002,Brake Pads,Automotive,10,Standard,Pending
ORD000034,2025-05-15,CUST02051,Dahegam,WH008,CCU_RDC,SKU0056,HEA008,Bandages,Healthcare,47,Express,Pending
ORD000035,2025-02-24,CUST02562,Bhainsdehi,WH005,BLR_RDC,SKU0014,FMC002,Soap,FMCG,65,Standard,Dispatched
ORD000036,2025-11-08,CUST00815,Sultanpur,WH008,CCU_RDC,SKU0004,ELE004,Monitor,Electronics,9,Standard,Allocated
ORD000037,2025-03-24,CUST02210,Margherita,WH003,DEL_RDC,SKU0034,GRO010,Noodles,Grocery,98,Express,Dispatched
ORD000038,2025-11-03,CUST01328,Betul Bazar,WH001,MUM_NH,SKU0061,AUT004,Spark Plug,Automotive,1,Standard,Pending
ORD000039,2025-07-05,CUST01260,Balarampur,WH001,MUM_NH,SKU0075,HOM009,Dustbin,Home & Kitchen,8,Standard,Pending
ORD000040,2025-10-18,CUST00323,Uchalan,WH002,NAG_NH,SKU0041,APP005,Hoodie,Apparel,4,Standard,Dispatched
ORD000041,2025-02-05,CUST02182,Gudiyatham,WH005,BLR_RDC,SKU0046,APP010,Track Pants,Apparel,32,Express,Pending
ORD000042,2025-12-04,CUST01947,Lachhmangarh Sikar,WH008,CCU_RDC,SKU0071,HOM005,Cookware Set,Home & Kitchen,3,Standard,Pending
ORD000043,2025-09-28,CUST02485,Dhenkanal,WH005,BLR_RDC,SKU0047,APP011,Belt,Apparel,9,Standard,Pending
ORD000044,2025-06-09,CUST01635,Pipraich,WH003,DEL_RDC,SKU0064,AUT007,Tyre Inflator,Automotive,7,Express,Dispatched
ORD000045,2025-08-13,CUST02120,Tulsipur,WH008,CCU_RDC,SKU0005,ELE005,Keyboard,Electronics,24,Standard,Pending
ORD000046,2025-04-26,CUST00263,Kharda,WH004,AMD_RDC,SKU0052,HEA004,Thermometer,Healthcare,16,Standard,Pending
ORD000047,2025-10-11,CUST00943,Jamshedpur,WH003,DEL_RDC,SKU0051,HEA003,Sanitizer,Healthcare,38,Standard,Pending
ORD000048,2025-02-06,CUST02900,Raigarh,WH006,HYD_RDC,SKU0052,HEA004,Thermometer,Healthcare,1,Express,Pending
ORD000049,2025-02-04,CUST00129,Naharlagun,WH001,MUM_NH,SKU0012,ELE012,Power Bank,Electronics,8,Standard,Pending
ORD000050,2025-05-02,CUST01141,Nuzvid,WH001,MUM_NH,SKU0047,APP011,Belt,Apparel,17,Express,Allocated
ORD000051,2025-10-04,CUST00542,Dongargarh,WH004,AMD_RDC,SKU0056,HEA008,Bandages,Healthcare,14,Express,Dispatched
ORD000052,2025-08-31,CUST00996,Bandia,WH003,DEL_RDC,SKU0065,AUT008,Wiper Blade,Automotive,37,Standard,Allocated
ORD000053,2025-02-18,CUST00398,Osmanabad,WH005,BLR_RDC,SKU0010,ELE010,Hard Drive,Electronics,2,Express,Allocated
ORD000054,2025-08-05,CUST01684,Barhiya,WH006,HYD_RDC,SKU0067,HOM001,LED Bulb,Home & Kitchen,6,Standard,Dispatched
ORD000055,2025-12-11,CUST02677,Tikri,WH008,CCU_RDC,SKU0052,HEA004,Thermometer,Healthcare,4,Express,Pending
ORD000056,2025-07-26,CUST02983,Rahon,WH004,AMD_RDC,SKU0074,HOM008,Water Bottle,Home & Kitchen,4,Standard,Pending
ORD000057,2025-04-09,CUST00780,Surendranagar,WH006,HYD_RDC,SKU0027,GRO003,Sugar,Grocery,32,Standard,Allocated
ORD000058,2025-08-05,CUST00752,Simdega,WH001,MUM_NH,SKU0039,APP003,Shirt,Apparel,18,Standard,Allocated
ORD000059,2025-02-08,CUST01816,Hasimara,WH008,CCU_RDC,SKU0049,HEA001,Face Mask,Healthcare,16,Standard,Pending
ORD000060,2025-11-30,CUST02215,Radhakund,WH001,MUM_NH,SKU0073,HOM007,Storage Box,Home & Kitchen,7,Standard,Pending
ORD000061,2025-05-02,CUST00682,Bundu,WH008,CCU_RDC,SKU0072,HOM006,Plastic Chair,Home & Kitchen,25,Standard,Allocated
ORD000062,2025-04-20,CUST01643,Taranagar,WH003,DEL_RDC,SKU0001,ELE001,Laptop,Electronics,16,Standard,Pending
ORD000063,2025-01-02,CUST01600,Divrasai,WH004,AMD_RDC,SKU0068,HOM002,Ceiling Fan,Home & Kitchen,13,Standard,Allocated
ORD000064,2025-08-05,CUST02854,Malakanagiri,WH005,BLR_RDC,SKU0018,FMC006,Hair Oil,FMCG,19,Express,Dispatched
ORD000065,2025-03-21,CUST00778,Vriddhachalam,WH001,MUM_NH,SKU0051,HEA003,Sanitizer,Healthcare,63,Standard,Pending
ORD000066,2025-10-24,CUST02221,Bettiah,WH003,DEL_RDC,SKU0031,GRO007,Coffee,Grocery,8,Standard,Dispatched
ORD000067,2025-01-30,CUST00206,Shikarpur,WH007,MAA_RDC,SKU0012,ELE012,Power Bank,Electronics,6,Standard,Allocated
ORD000068,2025-09-29,CUST00645,Jagdishpur,WH002,NAG_NH,SKU0070,HOM004,Electric Kettle,Home & Kitchen,33,Standard,Dispatched
ORD000069,2025-04-06,CUST00281,Lasalgaon,WH006,HYD_RDC,SKU0055,HEA007,First Aid Kit,Healthcare,3,Standard,Pending
ORD000070,2025-07-26,CUST00492,Jangaon,WH001,MUM_NH,SKU0074,HOM008,Water Bottle,Home & Kitchen,31,Standard,Pending
ORD000071,2025-11-01,CUST00163,Morigaon,WH004,AMD_RDC,SKU0032,GRO008,Pulses,Grocery,75,Standard,Pending
ORD000072,2025-12-03,CUST02391,Itanagar,WH002,NAG_NH,SKU0010,ELE010,Hard Drive,Electronics,14,Standard,Dispatched
ORD000073,2025-05-14,CUST00837,Rajmahal,WH004,AMD_RDC,SKU0018,FMC006,Hair Oil,FMCG,41,Express,Dispatched
ORD000074,2025-05-03,CUST01088,Amanpur,WH007,MAA_RDC,SKU0007,ELE007,Printer,Electronics,6,Standard,Pending
ORD000075,2025-08-23,CUST01296,Bhojpur Dharampur,WH007,MAA_RDC,SKU0020,FMC008,Body Lotion,FMCG,39,Express,Pending
ORD000076,2025-08-23,CUST02545,Selu,WH001,MUM_NH,SKU0036,GRO012,Oats,Grocery,2,Standard,Pending
ORD000077,2025-10-03,CUST00874,Baberu,WH007,MAA_RDC,SKU0024,FMC012,Tissue Pack,FMCG,10,Standard,Allocated
ORD000078,2025-06-28,CUST00282,Rampur Hat,WH005,BLR_RDC,SKU0025,GRO001,Rice,Grocery,17,Standard,Allocated
ORD000079,2025-03-22,CUST01795,Bawali,WH006,HYD_RDC,SKU0021,FMC009,Dishwash Liquid,FMCG,37,Standard,Dispatched
ORD000080,2025-11-10,CUST02679,Punjai Puliyampatti,WH002,NAG_NH,SKU0026,GRO002,Wheat Flour,Grocery,39,Standard,Pending
ORD000081,2025-10-11,CUST01227,Kampil,WH004,AMD_RDC,SKU0068,HOM002,Ceiling Fan,Home & Kitchen,22,Express,Pending
ORD000082,2025-03-10,CUST01084,Bannur,WH003,DEL_RDC,SKU0025,GRO001,Rice,Grocery,121,Standard,Pending
ORD000083,2025-10-11,CUST00637,Khallar,WH008,CCU_RDC,SKU0072,HOM006,Plastic Chair,Home & Kitchen,24,Standard,Allocated
ORD000084,2025-06-25,CUST00834,Vasco Da Gama,WH004,AMD_RDC,SKU0065,AUT008,Wiper Blade,Automotive,14,Express,Dispatched
ORD000085,2025-05-16,CUST02071,Sadabad,WH004,AMD_RDC,SKU0009,ELE009,SSD,Electronics,28,Standard,Allocated
ORD000086,2025-02-17,CUST02599,Manjhanpur,WH008,CCU_RDC,SKU0069,HOM003,Mixer Grinder,Home & Kitchen,4,Standard,Allocated
ORD000087,2025-01-02,CUST01367,Ammapettai,WH007,MAA_RDC,SKU0062,AUT005,Air Filter,Automotive,2,Express,Pending
ORD000088,2025-05-15,CUST00662,Bari,WH007,MAA_RDC,SKU0010,ELE010,Hard Drive,Electronics,21,Express,Allocated
ORD000089,2025-10-15,CUST00040,Darjeeling,WH003,DEL_RDC,SKU0020,FMC008,Body Lotion,FMCG,55,Standard,Pending
ORD000090,2025-03-18,CUST02235,Sikka,WH002,NAG_NH,SKU0047,APP011,Belt,Apparel,23,Standard,Allocated
ORD000091,2025-10-10,CUST00607,Banthra,WH003,DEL_RDC,SKU0040,APP004,Jacket,Apparel,19,Standard,Pending
ORD000092,2025-06-07,CUST01494,Manjeri,WH003,DEL_RDC,SKU0033,GRO009,Biscuits,Grocery,3,Standard,Allocated
ORD000093,2025-12-16,CUST01023,Sultanpur,WH005,BLR_RDC,SKU0030,GRO006,Tea,Grocery,14,Express,Pending
ORD000094,2025-10-14,CUST01665,Odlabari,WH007,MAA_RDC,SKU0012,ELE012,Power Bank,Electronics,6,Standard,Dispatched
ORD000095,2025-05-02,CUST00666,Kotwa,WH006,HYD_RDC,SKU0031,GRO007,Coffee,Grocery,10,Standard,Allocated
ORD000096,2025-04-02,CUST01361,Perungudi,WH007,MAA_RDC,SKU0039,APP003,Shirt,Apparel,2,Standard,Dispatched
ORD000097,2025-05-08,CUST01093,Sahaspur,WH006,HYD_RDC,SKU0008,ELE008,Router,Electronics,7,Standard,Dispatched
ORD000098,2025-07-15,CUST00159,Powai,WH002,NAG_NH,SKU0030,GRO006,Tea,Grocery,14,Standard,Pending
ORD000099,2025-08-24,CUST01433,Udalguri,WH002,NAG_NH,SKU0060,AUT003,Car Battery,Automotive,4,Standard,Pending
ORD000100,2025-01-13,CUST02704,Pune,WH008,CCU_RDC,SKU0026,GRO002,Wheat Flour,Grocery,29,Standard,Allocated
ORD000101,2025-05-23,CUST00285,Kharar,WH002,NAG_NH,SKU0035,GRO011,Spices,Grocery,43,Express,Allocated
ORD000102,2025-11-25,CUST02087,Bodri,WH002,NAG_NH,SKU0011,ELE011,Smartwatch,Electronics,23,Standard,Dispatched
ORD000103,2025-06-19,CUST00114,Pukhrayan,WH002,NAG_NH,SKU0065,AUT008,Wiper Blade,Automotive,35,Standard,Allocated
ORD000104,2025-10-25,CUST01088,Rajkot,WH006,HYD_RDC,SKU0023,FMC011,Hand Wash,FMCG,6,Standard,Pending
ORD000105,2025-06-26,CUST02985,"Banda, Maharashtra",WH006,HYD_RDC,SKU0021,FMC009,Dishwash Liquid,FMCG,56,Standard,Allocated
ORD000106,2025-09-19,CUST00474,Dwarka,WH002,NAG_NH,SKU0074,HOM008,Water Bottle,Home & Kitchen,39,Standard,Dispatched
ORD000107,2025-05-11,CUST00182,Talikota,WH003,DEL_RDC,SKU0020,FMC008,Body Lotion,FMCG,25,Express,Allocated
ORD000108,2025-09-24,CUST02206,Jakhau,WH005,BLR_RDC,SKU0024,FMC012,Tissue Pack,FMCG,1,Express,Dispatched
ORD000109,2025-12-10,CUST00808,Katihar,WH008,CCU_RDC,SKU0017,FMC005,Face Wash,FMCG,61,Standard,Allocated
ORD000110,2025-12-07,CUST01353,Kurukshetra,WH001,MUM_NH,SKU0052,HEA004,Thermometer,Healthcare,5,Standard,Allocated
ORD000111,2025-03-05,CUST02949,Visnagar,WH008,CCU_RDC,SKU0022,FMC010,Floor Cleaner,FMCG,85,Standard,Dispatched
ORD000112,2025-12-08,CUST01673,Lalganj,WH005,BLR_RDC,SKU0050,HEA002,Hand Gloves,Healthcare,20,Standard,Allocated
ORD000113,2025-06-01,CUST02271,Srisailain,WH005,BLR_RDC,SKU0044,APP008,Cap,Apparel,6,Standard,Pending
ORD000114,2025-12-07,CUST01553,Kunigal,WH007,MAA_RDC,SKU0074,HOM008,Water Bottle,Home & Kitchen,27,Express,Dispatched
ORD000115,2025-11-12,CUST02332,Kargil,WH005,BLR_RDC,SKU0034,GRO010,Noodles,Grocery,6,Standard,Allocated
ORD000116,2025-01-01,CUST01245,Seoni Malwa,WH006,HYD_RDC,SKU0035,GRO011,Spices,Grocery,36,Standard,Pending
ORD000117,2025-10-24,CUST02485,Bishunpur Urf Maharajganj,WH003,DEL_RDC,SKU0025,GRO001,Rice,Grocery,56,Express,Allocated
ORD000118,2025-08-15,CUST01812,Kanchrapara,WH004,AMD_RDC,SKU0051,HEA003,Sanitizer,Healthcare,30,Express,Pending
ORD000119,2025-08-31,CUST00696,Sanguem,WH007,MAA_RDC,SKU0024,FMC012,Tissue Pack,FMCG,66,Express,Pending
ORD000120,2025-09-21,CUST02720,Sehore,WH002,NAG_NH,SKU0023,FMC011,Hand Wash,FMCG,37,Express,Dispatched
ORD000121,2025-02-17,CUST00963,Shertallai,WH003,DEL_RDC,SKU0044,APP008,Cap,Apparel,6,Express,Allocated
ORD000122,2025-04-12,CUST00604,Narayanpur,WH002,NAG_NH,SKU0064,AUT007,Tyre Inflator,Automotive,8,Standard,Pending
ORD000123,2025-09-01,CUST02504,Patancheru,WH003,DEL_RDC,SKU0008,ELE008,Router,Electronics,8,Express,Pending
ORD000124,2025-08-01,CUST02580,Badarpur,WH003,DEL_RDC,SKU0058,AUT001,Engine Oil,Automotive,8,Standard,Pending
ORD000125,2025-09-11,CUST01637,Shegaon,WH008,CCU_RDC,SKU0063,AUT006,Coolant,Automotive,13,Standard,Pending
ORD000126,2025-02-24,CUST01742,Pahasu,WH004,AMD_RDC,SKU0069,HOM003,Mixer Grinder,Home & Kitchen,1,Standard,Pending
ORD000127,2025-08-26,CUST00206,Jobner,WH001,MUM_NH,SKU0024,FMC012,Tissue Pack,FMCG,133,Standard,Pending
ORD000128,2025-08-22,CUST00547,Palsana,WH006,HYD_RDC,SKU0002,ELE002,Smartphone,Electronics,8,Standard,Dispatched
ORD000129,2025-10-14,CUST02439,Tinnanur,WH001,MUM_NH,SKU0013,FMC001,Shampoo,FMCG,5,Standard,Allocated
ORD000130,2025-10-08,CUST01827,Adawad,WH002,NAG_NH,SKU0015,FMC003,Toothpaste,FMCG,110,Standard,Dispatched
ORD000131,2025-08-19,CUST01062,Yol,WH001,MUM_NH,SKU0049,HEA001,Face Mask,Healthcare,61,Express,Pending
ORD000132,2025-05-22,CUST02136,Kharar,WH002,NAG_NH,SKU0012,ELE012,Power Bank,Electronics,41,Standard,Dispatched
ORD000133,2025-05-21,CUST01802,Keshod,WH003,DEL_RDC,SKU0033,GRO009,Biscuits,Grocery,16,Standard,Dispatched
ORD000134,2025-05-01,CUST01113,Bhognipur,WH003,DEL_RDC,SKU0022,FMC010,Floor Cleaner,FMCG,37,Standard,Allocated
ORD000135,2025-02-11,CUST00567,Kakching,WH004,AMD_RDC,SKU0038,APP002,Jeans,Apparel,35,Standard,Pending
ORD000136,2025-12-22,CUST00626,Nalanda,WH007,MAA_RDC,SKU0026,GRO002,Wheat Flour,Grocery,50,Express,Pending
ORD000137,2025-08-01,CUST01670,Masinigudi,WH001,MUM_NH,SKU0074,HOM008,Water Bottle,Home & Kitchen,9,Standard,Dispatched
ORD000138,2025-08-01,CUST00256,Sarubera,WH001,MUM_NH,SKU0045,APP009,Shorts,Apparel,30,Standard,Allocated
ORD000139,2025-10-27,CUST02849,Begun,WH003,DEL_RDC,SKU0040,APP004,Jacket,Apparel,13,Standard,Dispatched
ORD000140,2025-09-02,CUST00025,Kamalapuram,WH003,DEL_RDC,SKU0005,ELE005,Keyboard,Electronics,25,Standard,Allocated
ORD000141,2025-07-19,CUST01717,Mahuva (Surat),WH001,MUM_NH,SKU0035,GRO011,Spices,Grocery,97,Standard,Dispatched
ORD000142,2025-11-05,CUST00904,Tanjore,WH008,CCU_RDC,SKU0041,APP005,Hoodie,Apparel,35,Standard,Pending
ORD000143,2025-08-12,CUST01990,Narsinghgarh,WH005,BLR_RDC,SKU0053,HEA005,Blood Pressure Monitor,Healthcare,9,Standard,Allocated
ORD000144,2025-12-09,CUST02782,Aldona,WH003,DEL_RDC,SKU0035,GRO011,Spices,Grocery,44,Standard,Dispatched
ORD000145,2025-08-28,CUST00523,Sewri,WH008,CCU_RDC,SKU0066,AUT009,Lubricant,Automotive,6,Standard,Dispatched
ORD000146,2025-07-21,CUST02425,Itanagar,WH005,BLR_RDC,SKU0036,GRO012,Oats,Grocery,2,Standard,Dispatched
ORD000147,2025-02-12,CUST02633,Maner,WH002,NAG_NH,SKU0002,ELE002,Smartphone,Electronics,2,Standard,Pending
ORD000148,2025-08-25,CUST00745,Jalore,WH008,CCU_RDC,SKU0060,AUT003,Car Battery,Automotive,14,Standard,Allocated
ORD000149,2025-06-17,CUST00867,Rohru,WH006,HYD_RDC,SKU0037,APP001,T-Shirt,Apparel,25,Standard,Allocated
ORD000150,2025-07-14,CUST01140,Budaun,WH002,NAG_NH,SKU0019,FMC007,Deodorant,FMCG,44,Express,Allocated
ORD000151,2025-02-11,CUST01927,Amritsar,WH003,DEL_RDC,SKU0064,AUT007,Tyre Inflator,Automotive,9,Standard,Dispatched
ORD000152,2025-01-27,CUST01434,Peraiyur,WH002,NAG_NH,SKU0074,HOM008,Water Bottle,Home & Kitchen,35,Standard,Dispatched
ORD000153,2025-11-30,CUST00165,Sathamba,WH006,HYD_RDC,SKU0061,AUT004,Spark Plug,Automotive,3,Express,Pending
ORD000154,2025-04-13,CUST00084,Susner,WH003,DEL_RDC,SKU0075,HOM009,Dustbin,Home & Kitchen,16,Standard,Pending
ORD000155,2025-03-06,CUST01940,Ghargaon,WH004,AMD_RDC,SKU0070,HOM004,Electric Kettle,Home & Kitchen,16,Express,Pending
ORD000156,2025-04-22,CUST01905,Harduaganj,WH006,HYD_RDC,SKU0066,AUT009,Lubricant,Automotive,19,Express,Allocated
ORD000157,2025-07-08,CUST00688,Nangal,WH008,CCU_RDC,SKU0059,AUT002,Brake Pads,Automotive,7,Standard,Dispatched
ORD000158,2025-02-28,CUST00671,Satna,WH005,BLR_RDC,SKU0044,APP008,Cap,Apparel,6,Standard,Pending
ORD000159,2025-01-14,CUST01278,Orchha,WH008,CCU_RDC,SKU0017,FMC005,Face Wash,FMCG,38,Standard,Dispatched
ORD000160,2025-07-12,CUST01625,Ujhani,WH008,CCU_RDC,SKU0057,HEA009,Pain Relief Spray,Healthcare,30,Express,Pending
ORD000161,2025-10-31,CUST02829,Kairana,WH002,NAG_NH,SKU0013,FMC001,Shampoo,FMCG,20,Express,Pending
ORD000162,2025-12-23,CUST01236,Baleshwar,WH005,BLR_RDC,SKU0032,GRO008,Pulses,Grocery,14,Express,Dispatched
ORD000163,2025-10-17,CUST00169,Partur,WH003,DEL_RDC,SKU0035,GRO011,Spices,Grocery,16,Standard,Dispatched
ORD000164,2025-12-05,CUST01518,Koppal,WH003,DEL_RDC,SKU0066,AUT009,Lubricant,Automotive,14,Standard,Dispatched
ORD000165,2025-06-24,CUST00052,Gomoh,WH004,AMD_RDC,SKU0043,APP007,Socks,Apparel,42,Standard,Allocated
ORD000166,2025-08-10,CUST01484,Musafir-Khana,WH006,HYD_RDC,SKU0055,HEA007,First Aid Kit,Healthcare,4,Express,Allocated
ORD000167,2025-03-20,CUST01784,Tirur,WH001,MUM_NH,SKU0026,GRO002,Wheat Flour,Grocery,91,Standard,Dispatched
ORD000168,2025-11-12,CUST02205,Kairana,WH002,NAG_NH,SKU0064,AUT007,Tyre Inflator,Automotive,9,Express,Allocated
ORD000169,2025-08-12,CUST02995,Bhadohi,WH001,MUM_NH,SKU0022,FMC010,Floor Cleaner,FMCG,120,Standard,Allocated
ORD000170,2025-05-06,CUST00355,Tohana,WH002,NAG_NH,SKU0044,APP008,Cap,Apparel,21,Standard,Allocated
ORD000171,2025-08-26,CUST02335,Mau,WH006,HYD_RDC,SKU0031,GRO007,Coffee,Grocery,16,Standard,Dispatched
ORD000172,2025-06-22,CUST00118,Junagadh,WH004,AMD_RDC,SKU0040,APP004,Jacket,Apparel,13,Standard,Allocated
ORD000173,2025-09-07,CUST00869,Kamarpukur,WH005,BLR_RDC,SKU0054,HEA006,Vitamin Tablets,Healthcare,6,Standard,Allocated
ORD000174,2025-05-24,CUST02442,Kausani,WH003,DEL_RDC,SKU0061,AUT004,Spark Plug,Automotive,11,Express,Allocated
ORD000175,2025-01-06,CUST02117,Cuddalore,WH008,CCU_RDC,SKU0062,AUT005,Air Filter,Automotive,5,Standard,Pending
ORD000176,2025-07-28,CUST02002,Kot Isa Khan,WH008,CCU_RDC,SKU0037,APP001,T-Shirt,Apparel,16,Standard,Pending
ORD000177,2025-11-27,CUST02916,West Delhi,WH007,MAA_RDC,SKU0039,APP003,Shirt,Apparel,31,Standard,Allocated
ORD000178,2025-02-17,CUST01206,Ponnuru,WH008,CCU_RDC,SKU0012,ELE012,Power Bank,Electronics,2,Standard,Allocated
ORD000179,2025-05-05,CUST01255,Dhanghata,WH004,AMD_RDC,SKU0028,GRO004,Salt,Grocery,89,Express,Dispatched
ORD000180,2025-08-31,CUST02268,Alur,WH002,NAG_NH,SKU0014,FMC002,Soap,FMCG,48,Standard,Allocated
ORD000181,2025-10-09,CUST01355,Ashoknagar Kalyangarh,WH008,CCU_RDC,SKU0062,AUT005,Air Filter,Automotive,4,Standard,Dispatched
ORD000182,2025-05-19,CUST01256,Panhala,WH003,DEL_RDC,SKU0014,FMC002,Soap,FMCG,59,Standard,Pending
ORD000183,2025-04-09,CUST01293,Durg,WH008,CCU_RDC,SKU0053,HEA005,Blood Pressure Monitor,Healthcare,4,Standard,Dispatched
ORD000184,2025-12-20,CUST00759,Chengam,WH007,MAA_RDC,SKU0036,GRO012,Oats,Grocery,35,Standard,Pending
ORD000185,2025-05-22,CUST02968,Shahbazpur,WH003,DEL_RDC,SKU0043,APP007,Socks,Apparel,62,Standard,Dispatched
ORD000186,2025-05-25,CUST00412,West Khasi Hills,WH001,MUM_NH,SKU0022,FMC010,Floor Cleaner,FMCG,153,Standard,Allocated
ORD000187,2025-07-04,CUST00735,Nawanshahr,WH002,NAG_NH,SKU0053,HEA005,Blood Pressure Monitor,Healthcare,2,Standard,Pending
ORD000188,2025-10-01,CUST00519,Baran,WH001,MUM_NH,SKU0048,APP012,Backpack,Apparel,91,Standard,Pending
ORD000189,2025-10-11,CUST01197,Sonari,WH007,MAA_RDC,SKU0045,APP009,Shorts,Apparel,1,Express,Pending
ORD000190,2025-09-09,CUST00421,Khalapur,WH007,MAA_RDC,SKU0048,APP012,Backpack,Apparel,41,Standard,Dispatched
ORD000191,2025-08-29,CUST01961,Pachmarhi,WH002,NAG_NH,SKU0017,FMC005,Face Wash,FMCG,10,Standard,Allocated
ORD000192,2025-01-27,CUST01035,Karkala,WH005,BLR_RDC,SKU0010,ELE010,Hard Drive,Electronics,2,Standard,Pending
ORD000193,2025-07-25,CUST02015,West Kameng,WH002,NAG_NH,SKU0004,ELE004,Monitor,Electronics,5,Standard,Dispatched
ORD000194,2025-12-18,CUST00220,Dharasana,WH003,DEL_RDC,SKU0051,HEA003,Sanitizer,Healthcare,41,Standard,Pending
ORD000195,2025-02-13,CUST01017,Mudbidri,WH002,NAG_NH,SKU0064,AUT007,Tyre Inflator,Automotive,10,Standard,Dispatched
ORD000196,2025-11-07,CUST02442,Hajan,WH007,MAA_RDC,SKU0062,AUT005,Air Filter,Automotive,14,Standard,Pending
