shipment_id,order_id,warehouse_id,warehouse_code,destination_city,sku_id,sku_code,shipment_quantity,dispatch_date,estimated_delivery,shipment_status
SHP000035,ORD000035,WH005,BLR_RDC,Bhainsdehi,SKU0014,FMC002,65,2025-02-25,2025-03-02,Delivered
SHP000036,ORD000036,WH008,CCU_RDC,Sultanpur,SKU0004,ELE004,9,2025-11-08,2025-11-13,Delivered
SHP000037,ORD000037,WH003,DEL_RDC,Margherita,SKU0034,GRO010,98,2025-03-25,2025-03-26,Delivered
SHP000038,ORD000038,WH001,MUM_NH,Betul Bazar,SKU0061,AUT004,1,2025-11-05,2025-11-10,Delivered
SHP000039,ORD000039,WH001,MUM_NH,Balarampur,SKU0075,HOM009,8,2025-07-07,2025-07-10,Delivered
SHP000040,ORD000040,WH002,NAG_NH,Uchalan,SKU0041,APP005,4,2025-10-20,2025-10-24,Delivered
SHP000041,ORD000041,WH005,BLR_RDC,Gudiyatham,SKU0046,APP010,32,2025-02-07,2025-02-08,Delivered
SHP000042,ORD000042,WH008,CCU_RDC,Lachhmangarh Sikar,SKU0071,HOM005,3,2025-12-04,2025-12-10,Delivered
SHP000043,ORD000043,WH005,BLR_RDC,Dhenkanal,SKU0047,APP011,9,2025-09-29,2025-10-04,Delivered
SHP000044,ORD000044,WH003,DEL_RDC,Pipraich,SKU0064,AUT007,7,2025-06-11,2025-06-12,Delivered
SHP000045,ORD000045,WH008,CCU_RDC,Tulsipur,SKU0005,ELE005,24,2025-08-15,2025-08-20,Delivered
SHP000046,ORD000046,WH004,AMD_RDC,Kharda,SKU0052,HEA004,16,2025-04-26,2025-04-30,Delivered
SHP000047,ORD000047,WH003,DEL_RDC,Jamshedpur,SKU0051,HEA003,38,2025-10-11,2025-10-16,Delivered
SHP000048,ORD000048,WH006,HYD_RDC,Raigarh,SKU0052,HEA004,1,2025-02-07,2025-02-09,Delivered
SHP000049,ORD000049,WH001,MUM_NH,Naharlagun,SKU0012,ELE012,8,2025-02-04,2025-02-08,Delivered
SHP000050,ORD000050,WH001,MUM_NH,Nuzvid,SKU0047,APP011,17,2025-05-04,2025-05-06,Delivered
SHP000051,ORD000051,WH004,AMD_RDC,Dongargarh,SKU0056,HEA008,14,2025-10-04,2025-10-06,Delivered
SHP000052,ORD000052,WH003,DEL_RDC,Bandia,SKU0065,AUT008,37,2025-09-01,2025-09-07,Delivered
SHP000053,ORD000053,WH005,BLR_RDC,Osmanabad,SKU0010,ELE010,2,2025-02-18,2025-02-20,Delivered
SHP000054,ORD000054,WH006,HYD_RDC,Barhiya,SKU0067,HOM001,6,2025-08-05,2025-08-09,Delivered
SHP000055,ORD000055,WH008,CCU_RDC,Tikri,SKU0052,HEA004,4,2025-12-13,2025-12-15,Delivered
SHP000056,ORD000056,WH004,AMD_RDC,Rahon,SKU0074,HOM008,4,2025-07-28,2025-08-04,Delivered
SHP000057,ORD000057,WH006,HYD_RDC,Surendranagar,SKU0027,GRO003,32,2025-04-10,2025-04-17,Delivered
SHP000058,ORD000058,WH001,MUM_NH,Simdega,SKU0039,APP003,18,2025-08-06,2025-08-11,Delivered
SHP000059,ORD000059,WH008,CCU_RDC,Hasimara,SKU0049,HEA001,16,2025-02-08,2025-02-12,Delivered
SHP000060,ORD000060,WH001,MUM_NH,Radhakund,SKU0073,HOM007,7,2025-12-02,2025-12-08,Delivered
SHP000061,ORD000061,WH008,CCU_RDC,Bundu,SKU0072,HOM006,25,2025-05-02,2025-05-05,Delivered
SHP000062,ORD000062,WH003,DEL_RDC,Taranagar,SKU0001,ELE001,16,2025-04-20,2025-04-24,Delivered
SHP000063,ORD000063,WH004,AMD_RDC,Divrasai,SKU0068,HOM002,13,2025-01-04,2025-01-08,Delivered
SHP000064,ORD000064,WH005,BLR_RDC,Malakanagiri,SKU0018,FMC006,19,2025-08-07,2025-08-09,Delivered
SHP000065,ORD000065,WH001,MUM_NH,Vriddhachalam,SKU0051,HEA003,63,2025-03-23,2025-03-26,Delivered
SHP000066,ORD000066,WH003,DEL_RDC,Bettiah,SKU0031,GRO007,8,2025-10-25,2025-10-31,Delivered
SHP000067,ORD000067,WH007,MAA_RDC,Shikarpur,SKU0012,ELE012,6,2025-02-01,2025-02-07,Delivered
SHP000068,ORD000068,WH002,NAG_NH,Jagdishpur,SKU0070,HOM004,33,2025-10-01,2025-10-06,Delivered
SHP000069,ORD000069,WH006,HYD_RDC,Lasalgaon,SKU0055,HEA007,3,2025-04-08,2025-04-11,Delivered
SHP000070,ORD000070,WH001,MUM_NH,Jangaon,SKU0074,HOM008,31,2025-07-28,2025-07-31,Delivered
SHP000071,ORD000071,WH004,AMD_RDC,Morigaon,SKU0032,GRO008,75,2025-11-03,2025-11-10,Delivered
SHP000072,ORD000072,WH002,NAG_NH,Itanagar,SKU0010,ELE010,14,2025-12-04,2025-12-09,Delivered
SHP000073,ORD000073,WH004,AMD_RDC,Rajmahal,SKU0018,FMC006,41,2025-05-14,2025-05-16,Delivered
SHP000074,ORD000074,WH007,MAA_RDC,Amanpur,SKU0007,ELE007,6,2025-05-04,2025-05-08,Delivered
SHP000075,ORD000075,WH007,MAA_RDC,Bhojpur Dharampur,SKU0020,FMC008,39,2025-08-24,2025-08-25,Delivered
SHP000076,ORD000076,WH001,MUM_NH,Selu,SKU0036,GRO012,2,2025-08-25,2025-08-30,Delivered
SHP000077,ORD000077,WH007,MAA_RDC,Baberu,SKU0024,FMC012,10,2025-10-05,2025-10-09,Delivered
SHP000078,ORD000078,WH005,BLR_RDC,Rampur Hat,SKU0025,GRO001,17,2025-06-30,2025-07-03,Delivered
SHP000079,ORD000079,WH006,HYD_RDC,Bawali,SKU0021,FMC009,37,2025-03-24,2025-03-29,Delivered
SHP000080,ORD000080,WH002,NAG_NH,Punjai Puliyampatti,SKU0026,GRO002,39,2025-11-12,2025-11-19,Delivered
SHP000081,ORD000081,WH004,AMD_RDC,Kampil,SKU0068,HOM002,22,2025-10-13,2025-10-14,Delivered
SHP000082,ORD000082,WH003,DEL_RDC,Bannur,SKU0025,GRO001,121,2025-03-10,2025-03-15,Delivered
SHP000083,ORD000083,WH008,CCU_RDC,Khallar,SKU0072,HOM006,24,2025-10-11,2025-10-18,Delivered
SHP000084,ORD000084,WH004,AMD_RDC,Vasco Da Gama,SKU0065,AUT008,14,2025-06-27,2025-06-28,Delivered
SHP000085,ORD000085,WH004,AMD_RDC,Sadabad,SKU0009,ELE009,28,2025-05-18,2025-05-23,Delivered
SHP000086,ORD000086,WH008,CCU_RDC,Manjhanpur,SKU0069,HOM003,4,2025-02-18,2025-02-21,Delivered
SHP000087,ORD000087,WH007,MAA_RDC,Ammapettai,SKU0062,AUT005,2,2025-01-02,2025-01-04,Delivered
SHP000088,ORD000088,WH007,MAA_RDC,Bari,SKU0010,ELE010,21,2025-05-16,2025-05-17,Delivered
SHP000089,ORD000089,WH003,DEL_RDC,Darjeeling,SKU0020,FMC008,55,2025-10-15,2025-10-19,Delivered
SHP000090,ORD000090,WH002,NAG_NH,Sikka,SKU0047,APP011,23,2025-03-20,2025-03-23,Delivered
SHP000091,ORD000091,WH003,DEL_RDC,Banthra,SKU0040,APP004,19,2025-10-10,2025-10-16,Delivered
SHP000092,ORD000092,WH003,DEL_RDC,Manjeri,SKU0033,GRO009,3,2025-06-07,2025-06-14,Delivered
SHP000093,ORD000093,WH005,BLR_RDC,Sultanpur,SKU0030,GRO006,14,2025-12-16,2025-12-17,Delivered
SHP000094,ORD000094,WH007,MAA_RDC,Odlabari,SKU0012,ELE012,6,2025-10-16,2025-10-22,Delivered
SHP000095,ORD000095,WH006,HYD_RDC,Kotwa,SKU0031,GRO007,10,2025-05-04,2025-05-08,Delivered
SHP000096,ORD000096,WH007,MAA_RDC,Perungudi,SKU0039,APP003,2,2025-04-03,2025-04-10,Delivered
SHP000097,ORD000097,WH006,HYD_RDC,Sahaspur,SKU0008,ELE008,7,2025-05-10,2025-05-16,Delivered
SHP000098,ORD000098,WH002,NAG_NH,Powai,SKU0030,GRO006,14,2025-07-15,2025-07-22,Delivered
SHP000099,ORD000099,WH002,NAG_NH,Udalguri,SKU0060,AUT003,4,2025-08-26,2025-08-30,Delivered
SHP000100,ORD000100,WH008,CCU_RDC,Pune,SKU0026,GRO002,29,2025-01-15,2025-01-20,Delivered
SHP000101,ORD000101,WH002,NAG_NH,Kharar,SKU0035,GRO011,43,2025-05-24,2025-05-26,Delivered
SHP000102,ORD000102,WH002,NAG_NH,Bodri,SKU0011,ELE011,23,2025-11-26,2025-12-03,Delivered
SHP000103,ORD000103,WH002,NAG_NH,Pukhrayan,SKU0065,AUT008,35,2025-06-20,2025-06-23,Delivered
SHP000104,ORD000104,WH006,HYD_RDC,Rajkot,SKU0023,FMC011,6,2025-10-25,2025-10-29,Delivered
SHP000105,ORD000105,WH006,HYD_RDC,"Banda, Maharashtra",SKU0021,FMC009,56,2025-06-26,2025-07-01,Delivered
SHP000106,ORD000106,WH002,NAG_NH,Dwarka,SKU0074,HOM008,39,2025-09-19,2025-09-26,Delivered
SHP000107,ORD000107,WH003,DEL_RDC,Talikota,SKU0020,FMC008,25,2025-05-13,2025-05-14,Delivered
SHP000108,ORD000108,WH005,BLR_RDC,Jakhau,SKU0024,FMC012,1,2025-09-26,2025-09-27,Delivered
SHP000109,ORD000109,WH008,CCU_RDC,Katihar,SKU0017,FMC005,61,2025-12-10,2025-12-13,Delivered
SHP000110,ORD000110,WH001,MUM_NH,Kurukshetra,SKU0052,HEA004,5,2025-12-09,2025-12-12,Delivered
SHP000111,ORD000111,WH008,CCU_RDC,Visnagar,SKU0022,FMC010,85,2025-03-05,2025-03-08,Delivered
SHP000112,ORD000112,WH005,BLR_RDC,Lalganj,SKU0050,HEA002,20,2025-12-08,2025-12-13,Delivered
SHP000113,ORD000113,WH005,BLR_RDC,Srisailain,SKU0044,APP008,6,2025-06-01,2025-06-08,Delivered
SHP000114,ORD000114,WH007,MAA_RDC,Kunigal,SKU0074,HOM008,27,2025-12-07,2025-12-09,Delivered
SHP000115,ORD000115,WH005,BLR_RDC,Kargil,SKU0034,GRO010,6,2025-11-14,2025-11-20,Delivered
SHP000116,ORD000116,WH006,HYD_RDC,Seoni Malwa,SKU0035,GRO011,36,2025-01-01,2025-01-08,Delivered
SHP000117,ORD000117,WH003,DEL_RDC,Bishunpur Urf Maharajganj,SKU0025,GRO001,56,2025-10-24,2025-10-26,Delivered
SHP000118,ORD000118,WH004,AMD_RDC,Kanchrapara,SKU0051,HEA003,30,2025-08-15,2025-08-17,Delivered
SHP000119,ORD000119,WH007,MAA_RDC,Sanguem,SKU0024,FMC012,66,2025-09-01,2025-09-02,Delivered
SHP000120,ORD000120,WH002,NAG_NH,Sehore,SKU0023,FMC011,37,2025-09-21,2025-09-22,Delivered
SHP000121,ORD000121,WH003,DEL_RDC,Shertallai,SKU0044,APP008,6,2025-02-19,2025-02-21,Delivered
SHP000122,ORD000122,WH002,NAG_NH,Narayanpur,SKU0064,AUT007,8,2025-04-13,2025-04-19,Delivered
SHP000123,ORD000123,WH003,DEL_RDC,Patancheru,SKU0008,ELE008,8,2025-09-02,2025-09-04,Delivered
SHP000124,ORD000124,WH003,DEL_RDC,Badarpur,SKU0058,AUT001,8,2025-08-03,2025-08-06,Delivered
SHP000125,ORD000125,WH008,CCU_RDC,Shegaon,SKU0063,AUT006,13,2025-09-13,2025-09-16,Delivered
SHP000126,ORD000126,WH004,AMD_RDC,Pahasu,SKU0069,HOM003,1,2025-02-24,2025-03-02,Delivered
SHP000127,ORD000127,WH001,MUM_NH,Jobner,SKU0024,FMC012,133,2025-08-28,2025-09-02,Delivered
SHP000128,ORD000128,WH006,HYD_RDC,Palsana,SKU0002,ELE002,8,2025-08-22,2025-08-26,Delivered
SHP000129,ORD000129,WH001,MUM_NH,Tinnanur,SKU0013,FMC001,5,2025-10-14,2025-10-18,Delivered
SHP000130,ORD000130,WH002,NAG_NH,Adawad,SKU0015,FMC003,110,2025-10-10,2025-10-16,Delivered
SHP000131,ORD000131,WH001,MUM_NH,Yol,SKU0049,HEA001,61,2025-08-19,2025-08-21,Delivered
SHP000132,ORD000132,WH002,NAG_NH,Kharar,SKU0012,ELE012,41,2025-05-22,2025-05-27,Delivered
SHP000133,ORD000133,WH003,DEL_RDC,Keshod,SKU0033,GRO009,16,2025-05-22,2025-05-26,Delivered
SHP000134,ORD000134,WH003,DEL_RDC,Bhognipur,SKU0022,FMC010,37,2025-05-01,2025-05-07,Delivered
SHP000135,ORD000135,WH004,AMD_RDC,Kakching,SKU0038,APP002,35,2025-02-13,2025-02-16,Delivered
SHP000136,ORD000136,WH007,MAA_RDC,Nalanda,SKU0026,GRO002,50,2025-12-22,2025-12-23,Delivered
SHP000137,ORD000137,WH001,MUM_NH,Masinigudi,SKU0074,HOM008,9,2025-08-01,2025-08-05,Delivered
SHP000138,ORD000138,WH001,MUM_NH,Sarubera,SKU0045,APP009,30,2025-08-01,2025-08-07,Delivered
SHP000139,ORD000139,WH003,DEL_RDC,Begun,SKU0040,APP004,13,2025-10-28,2025-11-03,Delivered
SHP000140,ORD000140,WH003,DEL_RDC,Kamalapuram,SKU0005,ELE005,25,2025-09-02,2025-09-08,Delivered
SHP000141,ORD000141,WH001,MUM_NH,Mahuva (Surat),SKU0035,GRO011,97,2025-07-19,2025-07-23,Delivered
SHP000142,ORD000142,WH008,CCU_RDC,Tanjore,SKU0041,APP005,35,2025-11-06,2025-11-09,Delivered
SHP000143,ORD000143,WH005,BLR_RDC,Narsinghgarh,SKU0053,HEA005,9,2025-08-13,2025-08-18,Delivered
SHP000144,ORD000144,WH003,DEL_RDC,Aldona,SKU0035,GRO011,44,2025-12-10,2025-12-15,Delivered
SHP000145,ORD000145,WH008,CCU_RDC,Sewri,SKU0066,AUT009,6,2025-08-29,2025-09-05,Delivered
SHP000146,ORD000146,WH005,BLR_RDC,Itanagar,SKU0036,GRO012,2,2025-07-23,2025-07-29,Delivered
SHP000147,ORD000147,WH002,NAG_NH,Maner,SKU0002,ELE002,2,2025-02-12,2025-02-16,Delivered
SHP000148,ORD000148,WH008,CCU_RDC,Jalore,SKU0060,AUT003,14,2025-08-26,2025-08-30,Delivered
SHP000149,ORD000149,WH006,HYD_RDC,Rohru,SKU0037,APP001,25,2025-06-17,2025-06-24,Delivered
SHP000150,ORD000150,WH002,NAG_NH,Budaun,SKU0019,FMC007,44,2025-07-16,2025-07-17,Delivered
SHP000151,ORD000151,WH003,DEL_RDC,Amritsar,SKU0064,AUT007,9,2025-02-13,2025-02-18,Delivered
SHP000152,ORD000152,WH002,NAG_NH,Peraiyur,SKU0074,HOM008,35,2025-01-27,2025-01-30,Delivered
SHP000153,ORD000153,WH006,HYD_RDC,Sathamba,SKU0061,AUT004,3,2025-12-02,2025-12-04,Delivered
SHP000154,ORD000154,WH003,DEL_RDC,Susner,SKU0075,HOM009,16,2025-04-15,2025-04-22,Delivered
SHP000155,ORD000155,WH004,AMD_RDC,Ghargaon,SKU0070,HOM004,16,2025-03-06,2025-03-07,Delivered
SHP000156,ORD000156,WH006,HYD_RDC,Harduaganj,SKU0066,AUT009,19,2025-04-24,2025-04-25,Delivered
SHP000157,ORD000157,WH008,CCU_RDC,Nangal,SKU0059,AUT002,7,2025-07-08,2025-07-11,Delivered
SHP000158,ORD000158,WH005,BLR_RDC,Satna,SKU0044,APP008,6,2025-03-02,2025-03-05,Delivered
SHP000159,ORD000159,WH008,CCU_RDC,Orchha,SKU0017,FMC005,38,2025-01-16,2025-01-20,Delivered
SHP000160,ORD000160,WH008,CCU_RDC,Ujhani,SKU0057,HEA009,30,2025-07-13,2025-07-14,Delivered
SHP000161,ORD000161,WH002,NAG_NH,Kairana,SKU0013,FMC001,20,2025-11-02,2025-11-03,Delivered
SHP000162,ORD000162,WH005,BLR_RDC,Baleshwar,SKU0032,GRO008,14,2025-12-25,2025-12-26,Delivered
SHP000163,ORD000163,WH003,DEL_RDC,Partur,SKU0035,GRO011,16,2025-10-19,2025-10-22,Delivered
SHP000164,ORD000164,WH003,DEL_RDC,Koppal,SKU0066,AUT009,14,2025-12-06,2025-12-13,Delivered
SHP000165,ORD000165,WH004,AMD_RDC,Gomoh,SKU0043,APP007,42,2025-06-26,2025-07-03,Delivered
SHP000166,ORD000166,WH006,HYD_RDC,Musafir-Khana,SKU0055,HEA007,4,2025-08-11,2025-08-13,Delivered
SHP000167,ORD000167,WH001,MUM_NH,Tirur,SKU0026,GRO002,91,2025-03-20,2025-03-25,Delivered
SHP000168,ORD000168,WH002,NAG_NH,Kairana,SKU0064,AUT007,9,2025-11-12,2025-11-14,Delivered
SHP000169,ORD000169,WH001,MUM_NH,Bhadohi,SKU0022,FMC010,120,2025-08-13,2025-08-17,Delivered
SHP000170,ORD000170,WH002,NAG_NH,Tohana,SKU0044,APP008,21,2025-05-08,2025-05-13,Delivered
SHP000171,ORD000171,WH006,HYD_RDC,Mau,SKU0031,GRO007,16,2025-08-27,2025-09-01,Delivered
SHP000172,ORD000172,WH004,AMD_RDC,Junagadh,SKU0040,APP004,13,2025-06-22,2025-06-25,Delivered
SHP000173,ORD000173,WH005,BLR_RDC,Kamarpukur,SKU0054,HEA006,6,2025-09-08,2025-09-15,Delivered
SHP000174,ORD000174,WH003,DEL_RDC,Kausani,SKU0061,AUT004,11,2025-05-26,2025-05-27,Delivered
SHP000175,ORD000175,WH008,CCU_RDC,Cuddalore,SKU0062,AUT005,5,2025-01-06,2025-01-13,Delivered
SHP000176,ORD000176,WH008,CCU_RDC,Kot Isa Khan,SKU0037,APP001,16,2025-07-28,2025-08-04,Delivered
SHP000177,ORD000177,WH007,MAA_RDC,West Delhi,SKU0039,APP003,31,2025-11-28,2025-12-02,Delivered
SHP000178,ORD000178,WH008,CCU_RDC,Ponnuru,SKU0012,ELE012,2,2025-02-18,2025-02-21,Delivered
SHP000179,ORD000179,WH004,AMD_RDC,Dhanghata,SKU0028,GRO004,89,2025-05-05,2025-05-07,Delivered
SHP000180,ORD000180,WH002,NAG_NH,Alur,SKU0014,FMC002,48,2025-09-01,2025-09-05,Delivered
SHP000181,ORD000181,WH008,CCU_RDC,Ashoknagar Kalyangarh,SKU0062,AUT005,4,2025-10-10,2025-10-17,Delivered
SHP000182,ORD000182,WH003,DEL_RDC,Panhala,SKU0014,FMC002,59,2025-05-21,2025-05-26,Delivered
SHP000183,ORD000183,WH008,CCU_RDC,Durg,SKU0053,HEA005,4,2025-04-11,2025-04-18,Delivered
SHP000184,ORD000184,WH007,MAA_RDC,Chengam,SKU0036,GRO012,35,2025-12-20,2025-12-27,Delivered
SHP000185,ORD000185,WH003,DEL_RDC,Shahbazpur,SKU0043,APP007,62,2025-05-23,2025-05-26,Delivered
SHP000186,ORD000186,WH001,MUM_NH,West Khasi Hills,SKU0022,FMC010,153,2025-05-25,2025-05-30,Delivered
SHP000187,ORD000187,WH002,NAG_NH,Nawanshahr,SKU0053,HEA005,2,2025-07-04,2025-07-07,Delivered
SHP000188,ORD000188,WH001,MUM_NH,Baran,SKU0048,APP012,91,2025-10-03,2025-10-10,Delivered
SHP000189,ORD000189,WH007,MAA_RDC,Sonari,SKU0045,APP009,1,2025-10-11,2025-10-13,Delivered
SHP000190,ORD000190,WH007,MAA_RDC,Khalapur,SKU0048,APP012,41,2025-09-10,2025-09-17,Delivered
SHP000191,ORD000191,WH002,NAG_NH,Pachmarhi,SKU0017,FMC005,10,2025-08-29,2025-09-03,Delivered
SHP000192,ORD000192,WH005,BLR_RDC,Karkala,SKU0010,ELE010,2,2025-01-27,2025-02-01,Delivered
SHP000193,ORD000193,WH002,NAG_NH,West Kameng,SKU0004,ELE004,5,2025-07-27,2025-08-02,Delivered
SHP000194,ORD000194,WH003,DEL_RDC,Dharasana,SKU0051,HEA003,41,2025-12-19,2025-12-22,Delivered
SHP000195,ORD000195,WH002,NAG_NH,Mudbidri,SKU0064,AUT007,10,2025-02-13,2025-02-19,Delivered
SHP000196,ORD000196,WH007,MAA_RDC,Hajan,SKU0062,AUT005,14,2025-11-08,2025-11-11,Delivered
SHP000197,ORD000197,WH001,MUM_NH,Bandipore,SKU0044,APP008,50,2025-09-25,2025-09-30,Delivered
SHP000198,ORD000198,WH002,NAG_NH,Ghatsila,SKU0001,ELE001,10,2025-10-29,2025-11-03,Delivered
SHP000199,ORD000199,WH008,CCU_RDC,Paschim Medinipur District,SKU0010,ELE010,20,2025-01-31,2025-02-02,Delivered
SHP000200,ORD000200,WH001,MUM_NH,Jalkot,SKU0064,AUT007,7,2025-11-19,2025-11-25,Delivered
SHP000201,ORD000201,WH001,MUM_NH,Kamakhyanagar,SKU0046,APP010,6,2025-03-24,2025-03-27,Delivered
SHP000202,ORD000202,WH001,MUM_NH,Azamgarh,SKU0031,GRO007,10,2025-03-22,2025-03-25,Delivered
SHP000203,ORD000203,WH006,HYD_RDC,Morva (Hadaf),SKU0031,GRO007,45,2025-11-03,2025-11-07,Delivered
SHP000204,ORD000204,WH002,NAG_NH,Ratnagiri,SKU0002,ELE002,15,2025-05-30,2025-06-02,Delivered
SHP000205,ORD000205,WH003,DEL_RDC,Asalatganj,SKU0039,APP003,30,2025-02-07,2025-02-14,Delivered
SHP000206,ORD000206,WH001,MUM_NH,Karumbakkam,SKU0061,AUT004,13,2025-08-08,2025-08-12,Delivered
SHP000207,ORD000207,WH003,DEL_RDC,Lalitpur,SKU0074,HOM008,42,2025-03-19,2025-03-23,Delivered
SHP000208,ORD000208,WH006,HYD_RDC,Bakani,SKU0069,HOM003,2,2025-03-26,2025-03-31,Delivered
SHP000209,ORD000209,WH002,NAG_NH,Tekkali,SKU0006,ELE006,37,2025-05-29,2025-06-01,Delivered
SHP000210,ORD000210,WH002,NAG_NH,Keelakarai,SKU0013,FMC001,78,2025-12-26,2025-12-30,Delivered
SHP000211,ORD000211,WH001,MUM_NH,Nawa,SKU0065,AUT008,35,2025-09-12,2025-09-16,Delivered
SHP000212,ORD000212,WH001,MUM_NH,Benaulim,SKU0047,APP011,2,2025-08-12,2025-08-15,Delivered
SHP000213,ORD000213,WH007,MAA_RDC,Indpur Community Development Block,SKU0025,GRO001,4,2025-02-17,2025-02-19,Delivered
SHP000214,ORD000214,WH005,BLR_RDC,Singrauli,SKU0047,APP011,19,2025-01-13,2025-01-17,Delivered
SHP000215,ORD000215,WH002,NAG_NH,Malasa,SKU0041,APP005,1,2025-03-31,2025-04-04,Delivered
SHP000216,ORD000216,WH006,HYD_RDC,Terha,SKU0071,HOM005,4,2025-05-23,2025-05-29,Delivered
SHP000217,ORD000217,WH003,DEL_RDC,Bidhuna,SKU0060,AUT003,11,2025-09-09,2025-09-13,Delivered
SHP000218,ORD000218,WH004,AMD_RDC,Chitrakoot,SKU0030,GRO006,53,2025-06-22,2025-06-24,Delivered
SHP000219,ORD000219,WH005,BLR_RDC,Manasa,SKU0073,HOM007,11,2025-06-19,2025-06-20,Delivered
SHP000220,ORD000220,WH007,MAA_RDC,Punasa,SKU0065,AUT008,10,2025-12-07,2025-12-08,Delivered
SHP000221,ORD000221,WH001,MUM_NH,Peddapuram,SKU0001,ELE001,3,2025-08-23,2025-08-26,Delivered
SHP000222,ORD000222,WH005,BLR_RDC,Elayirampannai,SKU0003,ELE003,11,2025-03-02,2025-03-05,Delivered
SHP000223,ORD000223,WH002,NAG_NH,Tiruttangal,SKU0066,AUT009,9,2025-08-26,2025-08-30,Delivered
