city_id,city,state,region,default_warehouse,backup_warehouse
C00036,Dharmavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00037,Dhone,Andhra Pradesh,South,Hyderabad,Nagpur
C00038,Diguvametta,Andhra Pradesh,South,Hyderabad,Nagpur
C00039,East Godavari,Andhra Pradesh,South,Hyderabad,Nagpur
C00040,Elamanchili,Andhra Pradesh,South,Hyderabad,Nagpur
C00041,Ellore,Andhra Pradesh,South,Hyderabad,Nagpur
C00042,Emmiganur,Andhra Pradesh,South,Hyderabad,Nagpur
C00043,Erraguntla,Andhra Pradesh,South,Hyderabad,Nagpur
C00044,Etikoppaka,Andhra Pradesh,South,Hyderabad,Nagpur
C00045,Gajuwaka,Andhra Pradesh,South,Hyderabad,Nagpur
C00046,Ganguvada,Andhra Pradesh,South,Hyderabad,Nagpur
C00047,Gannavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00048,Giddalur,Andhra Pradesh,South,Hyderabad,Nagpur
C00049,Gokavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00050,Gorantla,Andhra Pradesh,South,Hyderabad,Nagpur
C00051,"Govindapuram,Chilakaluripet,Guntur",Andhra Pradesh,South,Hyderabad,Nagpur
C00052,Gudivada,Andhra Pradesh,South,Hyderabad,Nagpur
C00053,Gudlavalleru,Andhra Pradesh,South,Hyderabad,Nagpur
C00054,Gudur,Andhra Pradesh,South,Hyderabad,Nagpur
C00055,Guntakal Junction,Andhra Pradesh,South,Hyderabad,Nagpur
C00056,Guntur,Andhra Pradesh,South,Hyderabad,Nagpur
C00057,Hindupur,Andhra Pradesh,South,Hyderabad,Nagpur
C00058,Ichchapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00059,Jaggayyapeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00060,Jammalamadugu,Andhra Pradesh,South,Hyderabad,Nagpur
C00061,Kadiri,Andhra Pradesh,South,Hyderabad,Nagpur
C00062,Kaikalur,Andhra Pradesh,South,Hyderabad,Nagpur
C00063,Kakinada,Andhra Pradesh,South,Hyderabad,Nagpur
C00064,Kalyandurg,Andhra Pradesh,South,Hyderabad,Nagpur
C00065,Kamalapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00066,Kandukur,Andhra Pradesh,South,Hyderabad,Nagpur
C00067,Kanigiri,Andhra Pradesh,South,Hyderabad,Nagpur
C00068,Kankipadu,Andhra Pradesh,South,Hyderabad,Nagpur
C00069,Kanuru,Andhra Pradesh,South,Hyderabad,Nagpur
C00070,Kavali,Andhra Pradesh,South,Hyderabad,Nagpur
C00071,Kolanukonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00072,Kondapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00073,Korukollu,Andhra Pradesh,South,Hyderabad,Nagpur
C00074,Kosigi,Andhra Pradesh,South,Hyderabad,Nagpur
C00075,Kovvur,Andhra Pradesh,South,Hyderabad,Nagpur
C00076,Krishna,Andhra Pradesh,South,Hyderabad,Nagpur
C00077,Kuppam,Andhra Pradesh,South,Hyderabad,Nagpur
C00078,Kurnool,Andhra Pradesh,South,Hyderabad,Nagpur
C00079,Macherla,Andhra Pradesh,South,Hyderabad,Nagpur
C00080,Machilipatnam,Andhra Pradesh,South,Hyderabad,Nagpur
C00081,Madanapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00082,Madugula,Andhra Pradesh,South,Hyderabad,Nagpur
C00083,Mandapeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00084,Mandasa,Andhra Pradesh,South,Hyderabad,Nagpur
C00085,Mangalagiri,Andhra Pradesh,South,Hyderabad,Nagpur
C00086,Markapur,Andhra Pradesh,South,Hyderabad,Nagpur
C00087,Nagari,Andhra Pradesh,South,Hyderabad,Nagpur
C00088,Nagireddipalli,Andhra Pradesh,South,Hyderabad,Nagpur
C00089,Nandigama,Andhra Pradesh,South,Hyderabad,Nagpur
C00090,Nandikotkur,Andhra Pradesh,South,Hyderabad,Nagpur
C00091,Nandyal,Andhra Pradesh,South,Hyderabad,Nagpur
C00092,Narasannapeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00093,Narasapur,Andhra Pradesh,South,Hyderabad,Nagpur
C00094,Narasaraopet,Andhra Pradesh,South,Hyderabad,Nagpur
C00095,Narasingapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00096,Narayanavanam,Andhra Pradesh,South,Hyderabad,Nagpur
C00097,Narsipatnam,Andhra Pradesh,South,Hyderabad,Nagpur
C00098,Nayudupet,Andhra Pradesh,South,Hyderabad,Nagpur
C00099,Nellore,Andhra Pradesh,South,Hyderabad,Nagpur
C00100,Nidadavole,Andhra Pradesh,South,Hyderabad,Nagpur
C00101,Nuzvid,Andhra Pradesh,South,Hyderabad,Nagpur
C00102,Ongole,Andhra Pradesh,South,Hyderabad,Nagpur
C00103,Pakala,Andhra Pradesh,South,Hyderabad,Nagpur
C00104,Palakollu,Andhra Pradesh,South,Hyderabad,Nagpur
C00105,Palasa,Andhra Pradesh,South,Hyderabad,Nagpur
C00106,Palkonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00107,Pallevada,Andhra Pradesh,South,Hyderabad,Nagpur
C00108,Palmaner,Andhra Pradesh,South,Hyderabad,Nagpur
C00109,Parlakimidi,Andhra Pradesh,South,Hyderabad,Nagpur
C00110,Parvatipuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00111,Pavuluru,Andhra Pradesh,South,Hyderabad,Nagpur
C00112,Pedana,Andhra Pradesh,South,Hyderabad,Nagpur
C00113,Pedda Nakkalapalem,Andhra Pradesh,South,Hyderabad,Nagpur
C00114,Peddapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00115,Penugonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00116,Penukonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00117,Phirangipuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00118,Pippara,Andhra Pradesh,South,Hyderabad,Nagpur
C00119,Pithapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00120,Polavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00121,Ponnur,Andhra Pradesh,South,Hyderabad,Nagpur
C00122,Ponnuru,Andhra Pradesh,South,Hyderabad,Nagpur
C00123,Prakasam,Andhra Pradesh,South,Hyderabad,Nagpur
C00124,Proddatur,Andhra Pradesh,South,Hyderabad,Nagpur
C00125,Pulivendla,Andhra Pradesh,South,Hyderabad,Nagpur
C00126,Punganuru,Andhra Pradesh,South,Hyderabad,Nagpur
C00127,Puttaparthi,Andhra Pradesh,South,Hyderabad,Nagpur
C00128,Puttur,Andhra Pradesh,South,Hyderabad,Nagpur
C00129,Rajahmundry,Andhra Pradesh,South,Hyderabad,Nagpur
C00130,Ramachandrapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00131,Ramanayyapeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00132,Ramapuram,Andhra Pradesh,South,Hyderabad,Nagpur
C00133,Rampachodavaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00134,Rayachoti,Andhra Pradesh,South,Hyderabad,Nagpur
C00135,Rayadrug,Andhra Pradesh,South,Hyderabad,Nagpur
C00136,Razam,Andhra Pradesh,South,Hyderabad,Nagpur
C00137,Razampeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00138,Razole,Andhra Pradesh,South,Hyderabad,Nagpur
C00139,Renigunta,Andhra Pradesh,South,Hyderabad,Nagpur
C00140,Repalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00141,Salur,Andhra Pradesh,South,Hyderabad,Nagpur
C00142,Samalkot,Andhra Pradesh,South,Hyderabad,Nagpur
C00143,Sattenapalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00144,Singarayakonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00145,Sompeta,Andhra Pradesh,South,Hyderabad,Nagpur
C00146,Srikakulam,Andhra Pradesh,South,Hyderabad,Nagpur
C00147,Srisailain,Andhra Pradesh,South,Hyderabad,Nagpur
C00148,Suluru,Andhra Pradesh,South,Hyderabad,Nagpur
C00149,Tadepalle,Andhra Pradesh,South,Hyderabad,Nagpur
C00150,Tadepallegudem,Andhra Pradesh,South,Hyderabad,Nagpur
C00151,Tadpatri,Andhra Pradesh,South,Hyderabad,Nagpur
C00152,Tanuku,Andhra Pradesh,South,Hyderabad,Nagpur
C00153,Tekkali,Andhra Pradesh,South,Hyderabad,Nagpur
C00154,Tirumala,Andhra Pradesh,South,Hyderabad,Nagpur
C00155,Tirupati,Andhra Pradesh,South,Hyderabad,Nagpur
C00156,Tuni,Andhra Pradesh,South,Hyderabad,Nagpur
C00157,Uravakonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00158,Vadlamuru,Andhra Pradesh,South,Hyderabad,Nagpur
C00159,Vadlapudi,Andhra Pradesh,South,Hyderabad,Nagpur
C00160,Venkatagiri,Andhra Pradesh,South,Hyderabad,Nagpur
C00161,Vepagunta,Andhra Pradesh,South,Hyderabad,Nagpur
C00162,Vetapalem,Andhra Pradesh,South,Hyderabad,Nagpur
C00163,Vijayawada,Andhra Pradesh,South,Hyderabad,Nagpur
C00164,Vinukonda,Andhra Pradesh,South,Hyderabad,Nagpur
C00165,Visakhapatnam,Andhra Pradesh,South,Hyderabad,Nagpur
C00166,Vizianagaram,Andhra Pradesh,South,Hyderabad,Nagpur
C00167,Vizianagaram District,Andhra Pradesh,South,Hyderabad,Nagpur
C00168,Vuyyuru,Andhra Pradesh,South,Hyderabad,Nagpur
C00169,West Godavari,Andhra Pradesh,South,Hyderabad,Nagpur
C00170,Yanam,Andhra Pradesh,South,Hyderabad,Nagpur
C00171,Yanamalakuduru,Andhra Pradesh,South,Hyderabad,Nagpur
C00172,Yarada,Andhra Pradesh,South,Hyderabad,Nagpur
C00173,Along,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00174,Anjaw,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00175,Basar,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00176,Bomdila,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00177,Changlang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00178,Dibang Valley,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00179,East Kameng,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00180,East Siang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00181,Hayuliang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00182,Itanagar,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00183,Khonsa,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00184,Kurung Kumey,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00185,Lohit District,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00186,Lower Dibang Valley,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00187,Lower Subansiri,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00188,Margherita,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00189,Naharlagun,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00190,Pasighat,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00191,Tawang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00192,Tezu,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00193,Tirap,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00194,Upper Siang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00195,Upper Subansiri,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00196,West Kameng,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00197,West Siang,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00198,Ziro,Arunachal Pradesh,North-East,Kolkata,Nagpur
C00199,Abhayapuri,Assam,North-East,Kolkata,Nagpur
C00200,Amguri,Assam,North-East,Kolkata,Nagpur
C00201,Badarpur,Assam,North-East,Kolkata,Nagpur
C00202,Baksa,Assam,North-East,Kolkata,Nagpur
C00203,Barpathar,Assam,North-East,Kolkata,Nagpur
C00204,Barpeta,Assam,North-East,Kolkata,Nagpur
C00205,Barpeta Road,Assam,North-East,Kolkata,Nagpur
C00206,Basugaon,Assam,North-East,Kolkata,Nagpur
C00207,Bihpuriagaon,Assam,North-East,Kolkata,Nagpur
C00208,Bijni,Assam,North-East,Kolkata,Nagpur
C00209,Bilasipara,Assam,North-East,Kolkata,Nagpur
C00210,Bokajan,Assam,North-East,Kolkata,Nagpur
C00211,Bokakhat,Assam,North-East,Kolkata,Nagpur
C00212,Bongaigaon,Assam,North-East,Kolkata,Nagpur
C00213,Cachar,Assam,North-East,Kolkata,Nagpur
C00214,Chabua,Assam,North-East,Kolkata,Nagpur
C00215,Chapar,Assam,North-East,Kolkata,Nagpur
C00216,Chirang,Assam,North-East,Kolkata,Nagpur
C00217,Darrang,Assam,North-East,Kolkata,Nagpur
C00218,Dergaon,Assam,North-East,Kolkata,Nagpur
C00219,Dhekiajuli,Assam,North-East,Kolkata,Nagpur
C00220,Dhemaji,Assam,North-East,Kolkata,Nagpur
C00221,Dhing,Assam,North-East,Kolkata,Nagpur
C00222,Dhubri,Assam,North-East,Kolkata,Nagpur
C00223,Dibrugarh,Assam,North-East,Kolkata,Nagpur
C00224,Digboi,Assam,North-East,Kolkata,Nagpur
C00225,Dima Hasao District,Assam,North-East,Kolkata,Nagpur
C00226,Diphu,Assam,North-East,Kolkata,Nagpur
C00227,Dispur,Assam,North-East,Kolkata,Nagpur
C00228,Duliagaon,Assam,North-East,Kolkata,Nagpur
C00229,Dum Duma,Assam,North-East,Kolkata,Nagpur
C00230,Gauripur,Assam,North-East,Kolkata,Nagpur
C00231,Goalpara,Assam,North-East,Kolkata,Nagpur
C00232,Gohpur,Assam,North-East,Kolkata,Nagpur
C00233,Golaghat,Assam,North-East,Kolkata,Nagpur
C00234,Golakganj,Assam,North-East,Kolkata,Nagpur
C00235,Goshaingaon,Assam,North-East,Kolkata,Nagpur
C00236,Guwahati,Assam,North-East,Kolkata,Nagpur
C00237,Haflong,Assam,North-East,Kolkata,Nagpur
C00238,Hailakandi,Assam,North-East,Kolkata,Nagpur
C00239,Hajo,Assam,North-East,Kolkata,Nagpur
C00240,Hojai,Assam,North-East,Kolkata,Nagpur
C00241,Howli,Assam,North-East,Kolkata,Nagpur
C00242,Jogighopa,Assam,North-East,Kolkata,Nagpur
C00243,Jorhat,Assam,North-East,Kolkata,Nagpur
C00244,Kamrup,Assam,North-East,Kolkata,Nagpur
C00245,Kamrup Metropolitan,Assam,North-East,Kolkata,Nagpur
C00246,Karbi Anglong,Assam,North-East,Kolkata,Nagpur
C00247,Karimganj,Assam,North-East,Kolkata,Nagpur
C00248,Kharupatia,Assam,North-East,Kolkata,Nagpur
C00249,Kokrajhar,Assam,North-East,Kolkata,Nagpur
C00250,Lakhimpur,Assam,North-East,Kolkata,Nagpur
C00251,Lakhipur,Assam,North-East,Kolkata,Nagpur
C00252,Lala,Assam,North-East,Kolkata,Nagpur
C00253,Lumding Railway Colony,Assam,North-East,Kolkata,Nagpur
C00254,Mahur,Assam,North-East,Kolkata,Nagpur
C00255,Maibong,Assam,North-East,Kolkata,Nagpur
C00256,Makum,Assam,North-East,Kolkata,Nagpur
C00257,Mangaldai,Assam,North-East,Kolkata,Nagpur
C00258,Mariani,Assam,North-East,Kolkata,Nagpur
C00259,Moranha,Assam,North-East,Kolkata,Nagpur
C00260,Morigaon,Assam,North-East,Kolkata,Nagpur
C00261,Nagaon,Assam,North-East,Kolkata,Nagpur
C00262,Nahorkatiya,Assam,North-East,Kolkata,Nagpur
C00263,Nalbari,Assam,North-East,Kolkata,Nagpur
C00264,Namrup,Assam,North-East,Kolkata,Nagpur
C00265,Nazira,Assam,North-East,Kolkata,Nagpur
C00266,North Guwahati,Assam,North-East,Kolkata,Nagpur
C00267,North Lakhimpur,Assam,North-East,Kolkata,Nagpur
C00268,Numaligarh,Assam,North-East,Kolkata,Nagpur
C00269,Palasbari,Assam,North-East,Kolkata,Nagpur
C00270,Raha,Assam,North-East,Kolkata,Nagpur
C00271,Rangapara,Assam,North-East,Kolkata,Nagpur
C00272,Rangia,Assam,North-East,Kolkata,Nagpur
C00273,Sapatgram,Assam,North-East,Kolkata,Nagpur
C00274,Sarupathar,Assam,North-East,Kolkata,Nagpur
C00275,Sibsagar,Assam,North-East,Kolkata,Nagpur
C00276,Silapathar,Assam,North-East,Kolkata,Nagpur
C00277,Silchar,Assam,North-East,Kolkata,Nagpur
C00278,Soalkuchi,Assam,North-East,Kolkata,Nagpur
C00279,Sonari,Assam,North-East,Kolkata,Nagpur
C00280,Sonitpur,Assam,North-East,Kolkata,Nagpur
C00281,Sorbhog,Assam,North-East,Kolkata,Nagpur
C00282,Tezpur,Assam,North-East,Kolkata,Nagpur
C00283,Tinsukia,Assam,North-East,Kolkata,Nagpur
C00284,Titabar,Assam,North-East,Kolkata,Nagpur
C00285,Udalguri,Assam,North-East,Kolkata,Nagpur
C00286,Amarpur,Bihar,East,Kolkata,Nagpur
C00287,Araria,Bihar,East,Kolkata,Nagpur
C00288,Arrah,Bihar,East,Kolkata,Nagpur
C00289,Arwal,Bihar,East,Kolkata,Nagpur
C00290,Asarganj,Bihar,East,Kolkata,Nagpur
C00291,Aurangabad,Bihar,East,Kolkata,Nagpur
C00292,Bagaha,Bihar,East,Kolkata,Nagpur
C00293,Bahadurganj,Bihar,East,Kolkata,Nagpur
C00294,Bairagnia,Bihar,East,Kolkata,Nagpur
C00295,Baisi,Bihar,East,Kolkata,Nagpur
C00296,Bakhtiyarpur,Bihar,East,Kolkata,Nagpur
C00297,Bangaon,Bihar,East,Kolkata,Nagpur
C00298,Banka,Bihar,East,Kolkata,Nagpur
C00299,Banmankhi,Bihar,East,Kolkata,Nagpur
C00300,Bar Bigha,Bihar,East,Kolkata,Nagpur
C00301,Barauli,Bihar,East,Kolkata,Nagpur
C00302,Barh,Bihar,East,Kolkata,Nagpur
C00303,Barhiya,Bihar,East,Kolkata,Nagpur
C00304,Bariarpur,Bihar,East,Kolkata,Nagpur
C00305,Baruni,Bihar,East,Kolkata,Nagpur
C00306,Begusarai,Bihar,East,Kolkata,Nagpur
C00307,Belsand,Bihar,East,Kolkata,Nagpur
C00308,Bettiah,Bihar,East,Kolkata,Nagpur
C00309,Bhabhua,Bihar,East,Kolkata,Nagpur
C00310,Bhagalpur,Bihar,East,Kolkata,Nagpur
C00311,Bhagirathpur,Bihar,East,Kolkata,Nagpur
C00312,Bhawanipur,Bihar,East,Kolkata,Nagpur
C00313,Bhojpur,Bihar,East,Kolkata,Nagpur
C00314,Bihar Sharif,Bihar,East,Kolkata,Nagpur
C00315,Bihariganj,Bihar,East,Kolkata,Nagpur
C00316,Bikramganj,Bihar,East,Kolkata,Nagpur
C00317,Birpur,Bihar,East,Kolkata,Nagpur
C00318,Buddh Gaya,Bihar,East,Kolkata,Nagpur
C00319,Buxar,Bihar,East,Kolkata,Nagpur
C00320,Chakia,Bihar,East,Kolkata,Nagpur
C00321,Chapra,Bihar,East,Kolkata,Nagpur
C00322,Chhatapur,Bihar,East,Kolkata,Nagpur
C00323,Colgong,Bihar,East,Kolkata,Nagpur
C00324,Dalsingh Sarai,Bihar,East,Kolkata,Nagpur
C00325,Darbhanga,Bihar,East,Kolkata,Nagpur
C00326,Daudnagar,Bihar,East,Kolkata,Nagpur
C00327,Dehri,Bihar,East,Kolkata,Nagpur
C00328,Dhaka,Bihar,East,Kolkata,Nagpur
C00329,Dighwara,Bihar,East,Kolkata,Nagpur
C00330,Dinapore,Bihar,East,Kolkata,Nagpur
C00331,Dumra,Bihar,East,Kolkata,Nagpur
C00332,Dumraon,Bihar,East,Kolkata,Nagpur
C00333,Fatwa,Bihar,East,Kolkata,Nagpur
C00334,Forbesganj,Bihar,East,Kolkata,Nagpur
C00335,Gaya,Bihar,East,Kolkata,Nagpur
C00336,Ghoga,Bihar,East,Kolkata,Nagpur
C00337,Gopalganj,Bihar,East,Kolkata,Nagpur
C00338,Hajipur,Bihar,East,Kolkata,Nagpur
C00339,Hilsa,Bihar,East,Kolkata,Nagpur
C00340,Hisua,Bihar,East,Kolkata,Nagpur
C00341,Islampur,Bihar,East,Kolkata,Nagpur
C00342,Jagdispur,Bihar,East,Kolkata,Nagpur
C00343,Jahanabad,Bihar,East,Kolkata,Nagpur
C00344,Jamalpur,Bihar,East,Kolkata,Nagpur
C00345,Jamui,Bihar,East,Kolkata,Nagpur
C00346,Jaynagar,Bihar,East,Kolkata,Nagpur
C00347,Jehanabad,Bihar,East,Kolkata,Nagpur
C00348,Jha-Jha,Bihar,East,Kolkata,Nagpur
C00349,Jhanjharpur,Bihar,East,Kolkata,Nagpur
C00350,Jogbani,Bihar,East,Kolkata,Nagpur
C00351,Kaimur District,Bihar,East,Kolkata,Nagpur
C00352,Kasba,Bihar,East,Kolkata,Nagpur
C00353,Katihar,Bihar,East,Kolkata,Nagpur
C00354,Khagaria,Bihar,East,Kolkata,Nagpur
C00355,Khagaul,Bihar,East,Kolkata,Nagpur
C00356,Kharagpur,Bihar,East,Kolkata,Nagpur
C00357,Khusropur,Bihar,East,Kolkata,Nagpur
C00358,Kishanganj,Bihar,East,Kolkata,Nagpur
C00359,Koath,Bihar,East,Kolkata,Nagpur
C00360,Koelwar,Bihar,East,Kolkata,Nagpur
C00361,Lakhisarai,Bihar,East,Kolkata,Nagpur
C00362,Lalganj,Bihar,East,Kolkata,Nagpur
C00363,Luckeesarai,Bihar,East,Kolkata,Nagpur
C00364,Madhepura,Bihar,East,Kolkata,Nagpur
C00365,Madhipura,Bihar,East,Kolkata,Nagpur
C00366,Madhubani,Bihar,East,Kolkata,Nagpur
C00367,Maharajgani,Bihar,East,Kolkata,Nagpur
C00368,Mairwa,Bihar,East,Kolkata,Nagpur
C00369,Maner,Bihar,East,Kolkata,Nagpur
C00370,Manihari,Bihar,East,Kolkata,Nagpur
C00371,Marhaura,Bihar,East,Kolkata,Nagpur
C00372,Masaurhi Buzurg,Bihar,East,Kolkata,Nagpur
C00373,Mohiuddinnagar,Bihar,East,Kolkata,Nagpur
C00374,Mokameh,Bihar,East,Kolkata,Nagpur
C00375,Monghyr,Bihar,East,Kolkata,Nagpur
C00376,Mothihari,Bihar,East,Kolkata,Nagpur
C00377,Munger,Bihar,East,Kolkata,Nagpur
C00378,Murliganj,Bihar,East,Kolkata,Nagpur
C00379,Muzaffarpur,Bihar,East,Kolkata,Nagpur
C00380,Nabinagar,Bihar,East,Kolkata,Nagpur
C00381,Nalanda,Bihar,East,Kolkata,Nagpur
C00382,Nasriganj,Bihar,East,Kolkata,Nagpur
C00383,Naugachhia,Bihar,East,Kolkata,Nagpur
C00384,Nawada,Bihar,East,Kolkata,Nagpur
C00385,Nirmali,Bihar,East,Kolkata,Nagpur
C00386,Pashchim Champaran,Bihar,East,Kolkata,Nagpur
C00387,Patna,Bihar,East,Kolkata,Nagpur
C00388,Piro,Bihar,East,Kolkata,Nagpur
C00389,Pupri,Bihar,East,Kolkata,Nagpur
C00390,Purba Champaran,Bihar,East,Kolkata,Nagpur
C00391,Purnia,Bihar,East,Kolkata,Nagpur
C00392,Rafiganj,Bihar,East,Kolkata,Nagpur
C00393,Raghunathpur,Bihar,East,Kolkata,Nagpur
C00394,Rajgir,Bihar,East,Kolkata,Nagpur
C00395,Ramnagar,Bihar,East,Kolkata,Nagpur
C00396,Raxaul,Bihar,East,Kolkata,Nagpur
C00397,Revelganj,Bihar,East,Kolkata,Nagpur
C00398,Rohtas,Bihar,East,Kolkata,Nagpur
C00399,Rusera,Bihar,East,Kolkata,Nagpur
C00400,Sagauli,Bihar,East,Kolkata,Nagpur
C00401,Saharsa,Bihar,East,Kolkata,Nagpur
C00402,Samastipur,Bihar,East,Kolkata,Nagpur
C00403,Saran,Bihar,East,Kolkata,Nagpur
C00404,Shahbazpur,Bihar,East,Kolkata,Nagpur
C00405,Shahpur,Bihar,East,Kolkata,Nagpur
C00406,Sheikhpura,Bihar,East,Kolkata,Nagpur
C00407,Sheohar,Bihar,East,Kolkata,Nagpur
C00408,Sherghati,Bihar,East,Kolkata,Nagpur
C00409,Silao,Bihar,East,Kolkata,Nagpur
C00410,Sitamarhi,Bihar,East,Kolkata,Nagpur
C00411,Siwan,Bihar,East,Kolkata,Nagpur
C00412,Supaul,Bihar,East,Kolkata,Nagpur
C00413,Teghra,Bihar,East,Kolkata,Nagpur
C00414,Tekari,Bihar,East,Kolkata,Nagpur
C00415,Thakurganj,Bihar,East,Kolkata,Nagpur
C00416,Vaishali,Bihar,East,Kolkata,Nagpur
C00417,Waris Aliganj,Bihar,East,Kolkata,Nagpur
C00418,Akaltara,Chhattisgarh,Central,Nagpur,Mumbai
C00419,Ambagarh Chauki,Chhattisgarh,Central,Nagpur,Mumbai
C00420,Ambikapur,Chhattisgarh,Central,Nagpur,Mumbai
C00421,Arang,Chhattisgarh,Central,Nagpur,Mumbai
C00422,Baikunthpur,Chhattisgarh,Central,Nagpur,Mumbai
C00423,Balod,Chhattisgarh,Central,Nagpur,Mumbai
C00424,Baloda,Chhattisgarh,Central,Nagpur,Mumbai
C00425,Baloda Bazar,Chhattisgarh,Central,Nagpur,Mumbai
