assignment_id,shipment_id,vehicle_id,driver_id,assignment_time,assignment_status
ASN000078,SHP000078,VEH038,DRV038,2025-02-07 18:59:33,Assigned
ASN000079,SHP000079,VEH039,DRV039,2025-03-11 20:00:38,Assigned
ASN000080,SHP000080,VEH040,DRV040,2025-05-26 11:31:01,Assigned
ASN000081,SHP000081,VEH001,DRV001,2025-11-10 07:59:23,Assigned
ASN000082,SHP000082,VEH002,DRV002,2025-12-07 20:53:51,Assigned
ASN000083,SHP000083,VEH003,DRV003,2025-02-26 10:15:03,Assigned
ASN000084,SHP000084,VEH004,DRV004,2025-11-08 09:56:36,Assigned
ASN000085,SHP000085,VEH005,DRV005,2025-12-19 07:05:46,Assigned
ASN000086,SHP000086,VEH006,DRV006,2025-05-09 13:52:04,Assigned
ASN000087,SHP000087,VEH007,DRV007,2025-05-23 18:34:49,Assigned
ASN000088,SHP000088,VEH008,DRV008,2025-11-24 08:08:42,Assigned
ASN000089,SHP000089,VEH009,DRV009,2025-10-10 13:35:10,Assigned
ASN000090,SHP000090,VEH010,DRV010,2025-02-28 10:33:55,Assigned
ASN000091,SHP000091,VEH011,DRV011,2025-01-19 15:27:13,Assigned
ASN000092,SHP000092,VEH012,DRV012,2025-08-11 20:34:48,Assigned
ASN000093,SHP000093,VEH013,DRV013,2025-01-22 17:44:12,Assigned
ASN000094,SHP000094,VEH014,DRV014,2025-12-09 17:19:25,Assigned
ASN000095,SHP000095,VEH015,DRV015,2025-11-15 16:41:23,Assigned
ASN000096,SHP000096,VEH016,DRV016,2025-07-31 13:57:33,Assigned
ASN000097,SHP000097,VEH017,DRV017,2025-06-20 13:07:15,Assigned
ASN000098,SHP000098,VEH018,DRV018,2025-05-18 09:04:21,Assigned
ASN000099,SHP000099,VEH019,DRV019,2025-01-20 06:37:35,Assigned
ASN000100,SHP000100,VEH020,DRV020,2025-08-24 09:37:14,Assigned
ASN000101,SHP000101,VEH021,DRV021,2025-01-14 06:04:45,Assigned
ASN000102,SHP000102,VEH022,DRV022,2025-05-24 16:03:14,Assigned
ASN000103,SHP000103,VEH023,DRV023,2025-11-27 07:57:02,Assigned
ASN000104,SHP000104,VEH024,DRV024,2025-06-21 19:21:04,Assigned
ASN000105,SHP000105,VEH025,DRV025,2025-10-25 14:15:17,Assigned
ASN000106,SHP000106,VEH026,DRV026,2025-08-11 16:31:13,Assigned
ASN000107,SHP000107,VEH027,DRV027,2025-11-08 14:08:46,Assigned
ASN000108,SHP000108,VEH028,DRV028,2025-04-10 20:56:36,Assigned
ASN000109,SHP000109,VEH029,DRV029,2025-01-03 15:30:15,Assigned
ASN000110,SHP000110,VEH030,DRV030,2025-12-12 18:30:51,Assigned
ASN000111,SHP000111,VEH031,DRV031,2025-12-07 12:12:06,Assigned
ASN000112,SHP000112,VEH032,DRV032,2025-03-07 07:42:27,Assigned
ASN000113,SHP000113,VEH033,DRV033,2025-12-08 11:27:26,Assigned
ASN000114,SHP000114,VEH034,DRV034,2025-06-03 13:55:46,Assigned
ASN000115,SHP000115,VEH035,DRV035,2025-12-09 06:43:41,Assigned
ASN000116,SHP000116,VEH036,DRV036,2025-11-14 16:06:03,Assigned
ASN000117,SHP000117,VEH037,DRV037,2025-01-03 12:46:21,Assigned
ASN000118,SHP000118,VEH038,DRV038,2025-10-24 18:55:06,Assigned
ASN000119,SHP000119,VEH039,DRV039,2025-08-16 09:12:12,Assigned
ASN000120,SHP000120,VEH040,DRV040,2025-09-02 14:28:08,Assigned
ASN000121,SHP000121,VEH001,DRV001,2025-09-22 12:11:17,Assigned
ASN000122,SHP000122,VEH002,DRV002,2025-02-18 13:15:55,Assigned
ASN000123,SHP000123,VEH003,DRV003,2025-04-14 20:04:28,Assigned
ASN000124,SHP000124,VEH004,DRV004,2025-09-02 18:55:54,Assigned
ASN000125,SHP000125,VEH005,DRV005,2025-08-01 14:06:03,Assigned
ASN000126,SHP000126,VEH006,DRV006,2025-12-24 16:34:53,Assigned
ASN000127,SHP000127,VEH007,DRV007,2025-03-19 06:05:59,Assigned
ASN000128,SHP000128,VEH008,DRV008,2025-02-26 18:54:15,Assigned
ASN000129,SHP000129,VEH009,DRV009,2025-08-28 08:26:31,Assigned
ASN000130,SHP000130,VEH010,DRV010,2025-08-24 13:13:55,Assigned
ASN000131,SHP000131,VEH011,DRV011,2025-10-15 12:57:03,Assigned
ASN000132,SHP000132,VEH012,DRV012,2025-10-10 08:24:00,Assigned
ASN000133,SHP000133,VEH013,DRV013,2025-08-20 12:16:59,Assigned
ASN000134,SHP000134,VEH014,DRV014,2025-11-23 18:50:29,Assigned
ASN000135,SHP000135,VEH015,DRV015,2025-11-19 10:27:44,Assigned
ASN000136,SHP000136,VEH016,DRV016,2025-05-28 17:50:35,Assigned
ASN000137,SHP000137,VEH017,DRV017,2025-10-04 16:45:31,Assigned
ASN000138,SHP000138,VEH018,DRV018,2025-07-16 08:12:18,Assigned
ASN000139,SHP000139,VEH019,DRV019,2025-02-02 09:03:37,Assigned
ASN000140,SHP000140,VEH020,DRV020,2025-08-29 17:34:03,Assigned
ASN000141,SHP000141,VEH021,DRV021,2025-07-21 17:20:03,Assigned
ASN000142,SHP000142,VEH022,DRV022,2025-07-14 06:37:30,Assigned
ASN000143,SHP000143,VEH023,DRV023,2025-07-21 14:58:54,Assigned
ASN000144,SHP000144,VEH024,DRV024,2025-10-07 14:10:03,Assigned
ASN000145,SHP000145,VEH025,DRV025,2025-05-22 14:05:54,Assigned
ASN000146,SHP000146,VEH026,DRV026,2025-06-22 08:04:38,Assigned
ASN000147,SHP000147,VEH027,DRV027,2025-08-29 07:43:55,Assigned
ASN000148,SHP000148,VEH028,DRV028,2025-07-21 09:25:07,Assigned
ASN000149,SHP000149,VEH029,DRV029,2025-02-12 20:36:15,Assigned
ASN000150,SHP000150,VEH030,DRV030,2025-04-06 15:38:02,Assigned
ASN000151,SHP000151,VEH031,DRV031,2025-04-21 15:05:26,Assigned
ASN000152,SHP000152,VEH032,DRV032,2025-05-23 16:37:36,Assigned
ASN000153,SHP000153,VEH033,DRV033,2025-01-10 14:20:59,Assigned
ASN000154,SHP000154,VEH034,DRV034,2025-11-30 10:13:42,Assigned
ASN000155,SHP000155,VEH035,DRV035,2025-01-18 17:20:15,Assigned
ASN000156,SHP000156,VEH036,DRV036,2025-03-20 10:25:08,Assigned
ASN000157,SHP000157,VEH037,DRV037,2025-02-28 16:41:19,Assigned
ASN000158,SHP000158,VEH038,DRV038,2025-07-08 13:20:59,Assigned
ASN000159,SHP000159,VEH039,DRV039,2025-03-01 18:59:04,Assigned
ASN000160,SHP000160,VEH040,DRV040,2025-06-09 06:29:39,Assigned
ASN000161,SHP000161,VEH001,DRV001,2025-04-13 15:06:04,Assigned
ASN000162,SHP000162,VEH002,DRV002,2025-05-06 14:13:32,Assigned
ASN000163,SHP000163,VEH003,DRV003,2025-03-05 10:08:59,Assigned
ASN000164,SHP000164,VEH004,DRV004,2025-12-07 11:56:04,Assigned
ASN000165,SHP000165,VEH005,DRV005,2025-06-24 20:15:23,Assigned
ASN000166,SHP000166,VEH006,DRV006,2025-08-12 10:10:28,Assigned
ASN000167,SHP000167,VEH007,DRV007,2025-08-11 19:34:45,Assigned
ASN000168,SHP000168,VEH008,DRV008,2025-05-21 10:39:51,Assigned
ASN000169,SHP000169,VEH009,DRV009,2025-08-14 16:33:00,Assigned
ASN000170,SHP000170,VEH010,DRV010,2025-05-07 16:52:35,Assigned
ASN000171,SHP000171,VEH011,DRV011,2025-08-27 10:59:42,Assigned
ASN000172,SHP000172,VEH012,DRV012,2025-06-23 07:56:08,Assigned
ASN000173,SHP000173,VEH013,DRV013,2025-09-09 10:07:56,Assigned
ASN000174,SHP000174,VEH014,DRV014,2025-05-25 07:47:35,Assigned
ASN000175,SHP000175,VEH015,DRV015,2025-01-07 08:17:18,Assigned
ASN000176,SHP000176,VEH016,DRV016,2025-07-30 15:13:45,Assigned
ASN000177,SHP000177,VEH017,DRV017,2025-09-02 11:13:43,Assigned
ASN000178,SHP000178,VEH018,DRV018,2025-01-10 16:54:16,Assigned
ASN000179,SHP000179,VEH019,DRV019,2025-12-23 14:31:16,Assigned
ASN000180,SHP000180,VEH020,DRV020,2025-07-08 20:58:54,Assigned
ASN000181,SHP000181,VEH021,DRV021,2025-08-08 06:05:40,Assigned
ASN000182,SHP000182,VEH022,DRV022,2025-05-21 12:53:17,Assigned
ASN000183,SHP000183,VEH023,DRV023,2025-04-11 06:00:21,Assigned
ASN000184,SHP000184,VEH024,DRV024,2025-04-11 18:08:40,Assigned
ASN000185,SHP000185,VEH025,DRV025,2025-10-30 10:10:47,Assigned
ASN000186,SHP000186,VEH026,DRV026,2025-04-12 13:35:45,Assigned
ASN000187,SHP000187,VEH027,DRV027,2025-06-05 12:35:00,Assigned
ASN000188,SHP000188,VEH028,DRV028,2025-05-22 07:04:56,Assigned
ASN000189,SHP000189,VEH029,DRV029,2025-12-25 17:57:09,Assigned
ASN000190,SHP000190,VEH030,DRV030,2025-01-07 14:02:53,Assigned
ASN000191,SHP000191,VEH031,DRV031,2025-08-16 11:37:35,Assigned
ASN000192,SHP000192,VEH032,DRV032,2025-09-02 08:27:08,Assigned
ASN000193,SHP000193,VEH033,DRV033,2025-02-08 06:19:23,Assigned
ASN000194,SHP000194,VEH034,DRV034,2025-03-19 20:59:50,Assigned
ASN000195,SHP000195,VEH035,DRV035,2025-05-08 19:02:57,Assigned
ASN000196,SHP000196,VEH036,DRV036,2025-11-02 11:13:43,Assigned
ASN000197,SHP000197,VEH037,DRV037,2025-08-21 09:42:06,Assigned
ASN000198,SHP000198,VEH038,DRV038,2025-06-08 11:49:35,Assigned
ASN000199,SHP000199,VEH039,DRV039,2025-04-18 20:55:26,Assigned
ASN000200,SHP000200,VEH040,DRV040,2025-02-13 15:47:09,Assigned
ASN000201,SHP000201,VEH001,DRV001,2025-02-08 20:59:15,Assigned
ASN000202,SHP000202,VEH002,DRV002,2025-12-19 19:10:51,Assigned
ASN000203,SHP000203,VEH003,DRV003,2025-04-29 18:11:56,Assigned
ASN000204,SHP000204,VEH004,DRV004,2025-02-07 12:01:11,Assigned
ASN000205,SHP000205,VEH005,DRV005,2025-12-07 17:59:21,Assigned
ASN000206,SHP000206,VEH006,DRV006,2025-04-28 18:59:26,Assigned
ASN000207,SHP000207,VEH007,DRV007,2025-02-07 18:42:55,Assigned
ASN000208,SHP000208,VEH008,DRV008,2025-08-15 17:51:15,Assigned
ASN000209,SHP000209,VEH009,DRV009,2025-12-26 10:10:50,Assigned
ASN000210,SHP000210,VEH010,DRV010,2025-09-11 17:06:24,Assigned
ASN000211,SHP000211,VEH011,DRV011,2025-08-10 19:02:54,Assigned
ASN000212,SHP000212,VEH012,DRV012,2025-02-18 13:14:12,Assigned
ASN000213,SHP000213,VEH013,DRV013,2025-12-11 19:58:29,Assigned
ASN000214,SHP000214,VEH014,DRV014,2025-03-31 11:19:52,Assigned
ASN000215,SHP000215,VEH015,DRV015,2025-05-24 18:55:14,Assigned
ASN000216,SHP000216,VEH016,DRV016,2025-09-11 09:01:42,Assigned
ASN000217,SHP000217,VEH017,DRV017,2025-06-20 09:25:21,Assigned
ASN000218,SHP000218,VEH018,DRV018,2025-06-20 10:55:04,Assigned
ASN000219,SHP000219,VEH019,DRV019,2025-12-06 18:17:22,Assigned
ASN000220,SHP000220,VEH020,DRV020,2025-08-22 16:32:25,Assigned
ASN000221,SHP000221,VEH021,DRV021,2025-03-02 16:53:34,Assigned
ASN000222,SHP000222,VEH022,DRV022,2025-10-05 11:01:07,Assigned
ASN000223,SHP000223,VEH023,DRV023,2025-09-25 20:16:11,Assigned
ASN000224,SHP000224,VEH024,DRV024,2025-01-29 15:16:02,Assigned
ASN000225,SHP000225,VEH025,DRV025,2025-05-28 07:38:27,Assigned
ASN000226,SHP000226,VEH026,DRV026,2025-01-16 11:46:50,Assigned
ASN000227,SHP000227,VEH027,DRV027,2025-03-25 11:27:38,Assigned
ASN000228,SHP000228,VEH028,DRV028,2025-07-28 14:07:24,Assigned
ASN000229,SHP000229,VEH029,DRV029,2025-03-03 20:36:12,Assigned
ASN000230,SHP000230,VEH030,DRV030,2025-05-30 10:02:45,Assigned
ASN000231,SHP000231,VEH031,DRV031,2025-09-07 12:00:33,Assigned
ASN000232,SHP000232,VEH032,DRV032,2025-03-16 20:51:34,Assigned
ASN000233,SHP000233,VEH033,DRV033,2025-03-13 16:46:47,Assigned
ASN000234,SHP000234,VEH034,DRV034,2025-09-18 17:42:12,Assigned
ASN000235,SHP000235,VEH035,DRV035,2025-10-30 11:27:04,Assigned
ASN000236,SHP000236,VEH036,DRV036,2025-08-19 16:58:21,Assigned
ASN000237,SHP000237,VEH037,DRV037,2025-10-11 15:20:42,Assigned
ASN000238,SHP000238,VEH038,DRV038,2025-04-08 19:07:46,Assigned
ASN000239,SHP000239,VEH039,DRV039,2025-04-30 20:19:32,Assigned
ASN000240,SHP000240,VEH040,DRV040,2025-12-29 10:42:26,Assigned
ASN000241,SHP000241,VEH001,DRV001,2025-09-12 11:25:44,Assigned
ASN000242,SHP000242,VEH002,DRV002,2025-06-20 10:35:08,Assigned
ASN000243,SHP000243,VEH003,DRV003,2025-08-24 09:26:42,Assigned
ASN000244,SHP000244,VEH004,DRV004,2025-12-02 12:43:47,Assigned
ASN000245,SHP000245,VEH005,DRV005,2025-06-25 20:11:39,Assigned
ASN000246,SHP000246,VEH006,DRV006,2025-02-11 15:19:25,Assigned
ASN000247,SHP000247,VEH007,DRV007,2025-06-12 14:53:00,Assigned
ASN000248,SHP000248,VEH008,DRV008,2025-10-05 10:18:13,Assigned
ASN000249,SHP000249,VEH009,DRV009,2025-11-20 12:50:37,Assigned
ASN000250,SHP000250,VEH010,DRV010,2025-08-12 15:41:20,Assigned
ASN000251,SHP000251,VEH011,DRV011,2025-02-22 13:28:28,Assigned
ASN000252,SHP000252,VEH012,DRV012,2025-01-17 16:13:32,Assigned
ASN000253,SHP000253,VEH013,DRV013,2025-07-03 13:50:57,Assigned
ASN000254,SHP000254,VEH014,DRV014,2025-10-01 18:47:10,Assigned
ASN000255,SHP000255,VEH015,DRV015,2025-03-31 16:05:18,Assigned
ASN000256,SHP000256,VEH016,DRV016,2025-11-16 14:42:40,Assigned
ASN000257,SHP000257,VEH017,DRV017,2025-03-17 15:21:05,Assigned
ASN000258,SHP000258,VEH018,DRV018,2025-08-26 19:48:15,Assigned
ASN000259,SHP000259,VEH019,DRV019,2025-05-30 16:19:14,Assigned
ASN000260,SHP000260,VEH020,DRV020,2025-08-15 18:12:09,Assigned
ASN000261,SHP000261,VEH021,DRV021,2025-08-07 06:02:15,Assigned
ASN000262,SHP000262,VEH022,DRV022,2025-04-14 13:39:54,Assigned
ASN000263,SHP000263,VEH023,DRV023,2025-07-16 18:04:29,Assigned
ASN000264,SHP000264,VEH024,DRV024,2025-12-26 12:56:40,Assigned
ASN000265,SHP000265,VEH025,DRV025,2025-05-22 15:12:45,Assigned
ASN000266,SHP000266,VEH026,DRV026,2025-01-26 17:24:31,Assigned
ASN000267,SHP000267,VEH027,DRV027,2025-04-30 12:15:09,Assigned
ASN000268,SHP000268,VEH028,DRV028,2025-04-09 16:44:00,Assigned
ASN000269,SHP000269,VEH029,DRV029,2025-11-19 20:48:55,Assigned
ASN000270,SHP000270,VEH030,DRV030,2025-06-09 18:56:06,Assigned
ASN000271,SHP000271,VEH031,DRV031,2025-03-10 18:27:14,Assigned
ASN000272,SHP000272,VEH032,DRV032,2025-04-02 08:51:44,Assigned
ASN000273,SHP000273,VEH033,DRV033,2025-09-29 14:29:03,Assigned
ASN000274,SHP000274,VEH034,DRV034,2025-09-04 14:15:58,Assigned
ASN000275,SHP000275,VEH035,DRV035,2025-08-29 19:07:29,Assigned
ASN000276,SHP000276,VEH036,DRV036,2025-12-13 08:51:29,Assigned
ASN000277,SHP000277,VEH037,DRV037,2025-07-23 16:33:35,Assigned
ASN000278,SHP000278,VEH038,DRV038,2025-08-23 15:20:48,Assigned
ASN000279,SHP000279,VEH039,DRV039,2025-05-15 20:28:39,Assigned
ASN000280,SHP000280,VEH040,DRV040,2025-02-27 19:46:57,Assigned
ASN000281,SHP000281,VEH001,DRV001,2025-11-15 14:27:53,Assigned
ASN000282,SHP000282,VEH002,DRV002,2025-11-28 20:35:28,Assigned
ASN000283,SHP000283,VEH003,DRV003,2025-06-04 20:10:47,Assigned
ASN000284,SHP000284,VEH004,DRV004,2025-01-24 19:30:28,Assigned
ASN000285,SHP000285,VEH005,DRV005,2025-02-21 10:48:15,Assigned
ASN000286,SHP000286,VEH006,DRV006,2025-08-23 19:40:17,Assigned
ASN000287,SHP000287,VEH007,DRV007,2025-10-06 18:49:33,Assigned
ASN000288,SHP000288,VEH008,DRV008,2025-08-02 13:40:15,Assigned
ASN000289,SHP000289,VEH009,DRV009,2025-07-29 10:28:04,Assigned
ASN000290,SHP000290,VEH010,DRV010,2025-04-22 17:18:15,Assigned
ASN000291,SHP000291,VEH011,DRV011,2025-02-20 10:21:20,Assigned
ASN000292,SHP000292,VEH012,DRV012,2025-07-05 20:34:05,Assigned
ASN000293,SHP000293,VEH013,DRV013,2025-03-04 08:09:14,Assigned
ASN000294,SHP000294,VEH014,DRV014,2025-11-27 12:44:09,Assigned
ASN000295,SHP000295,VEH015,DRV015,2025-06-22 17:13:04,Assigned
ASN000296,SHP000296,VEH016,DRV016,2025-02-05 12:26:21,Assigned
ASN000297,SHP000297,VEH017,DRV017,2025-04-30 14:29:26,Assigned
ASN000298,SHP000298,VEH018,DRV018,2025-11-03 06:13:53,Assigned
ASN000299,SHP000299,VEH019,DRV019,2025-10-06 12:24:57,Assigned
ASN000300,SHP000300,VEH020,DRV020,2025-03-09 18:37:44,Assigned
ASN000301,SHP000301,VEH021,DRV021,2025-06-16 06:54:56,Assigned
ASN000302,SHP000302,VEH022,DRV022,2025-03-07 18:36:24,Assigned
ASN000303,SHP000303,VEH023,DRV023,2025-02-04 13:00:22,Assigned
ASN000304,SHP000304,VEH024,DRV024,2025-11-01 10:48:24,Assigned
ASN000305,SHP000305,VEH025,DRV025,2025-11-11 19:57:53,Assigned
ASN000306,SHP000306,VEH026,DRV026,2025-06-05 12:34:47,Assigned
ASN000307,SHP000307,VEH027,DRV027,2025-09-04 17:34:51,Assigned
ASN000308,SHP000308,VEH028,DRV028,2025-09-11 15:57:14,Assigned
ASN000309,SHP000309,VEH029,DRV029,2025-06-14 13:14:17,Assigned
ASN000310,SHP000310,VEH030,DRV030,2025-05-21 12:31:01,Assigned
ASN000311,SHP000311,VEH031,DRV031,2025-07-17 12:21:42,Assigned
ASN000312,SHP000312,VEH032,DRV032,2025-09-18 16:51:25,Assigned
ASN000313,SHP000313,VEH033,DRV033,2025-12-04 17:10:53,Assigned
ASN000314,SHP000314,VEH034,DRV034,2025-04-22 13:58:08,Assigned
ASN000315,SHP000315,VEH035,DRV035,2025-06-24 15:34:01,Assigned
ASN000316,SHP000316,VEH036,DRV036,2025-06-12 20:25:37,Assigned
ASN000317,SHP000317,VEH037,DRV037,2025-07-13 15:42:01,Assigned
ASN000318,SHP000318,VEH038,DRV038,2025-02-16 07:41:27,Assigned
ASN000319,SHP000319,VEH039,DRV039,2025-07-12 08:55:29,Assigned
ASN000320,SHP000320,VEH040,DRV040,2025-10-15 08:03:16,Assigned
ASN000321,SHP000321,VEH001,DRV001,2025-07-30 12:20:13,Assigned
ASN000322,SHP000322,VEH002,DRV002,2025-05-29 13:20:21,Assigned
ASN000323,SHP000323,VEH003,DRV003,2025-10-25 18:56:24,Assigned
ASN000324,SHP000324,VEH004,DRV004,2025-09-04 10:48:53,Assigned
ASN000325,SHP000325,VEH005,DRV005,2025-07-10 12:16:53,Assigned
ASN000326,SHP000326,VEH006,DRV006,2025-04-27 07:30:01,Assigned
ASN000327,SHP000327,VEH007,DRV007,2025-01-14 17:34:03,Assigned
ASN000328,SHP000328,VEH008,DRV008,2025-01-17 11:14:41,Assigned
ASN000329,SHP000329,VEH009,DRV009,2025-06-23 07:49:41,Assigned
ASN000330,SHP000330,VEH010,DRV010,2025-10-19 06:48:01,Assigned
ASN000331,SHP000331,VEH011,DRV011,2025-11-21 09:12:53,Assigned
ASN000332,SHP000332,VEH012,DRV012,2025-04-21 06:39:09,Assigned
ASN000333,SHP000333,VEH013,DRV013,2025-03-24 09:08:30,Assigned
ASN000334,SHP000334,VEH014,DRV014,2025-10-19 16:07:36,Assigned
ASN000335,SHP000335,VEH015,DRV015,2025-03-24 09:29:44,Assigned
ASN000336,SHP000336,VEH016,DRV016,2025-05-21 10:49:23,Assigned
ASN000337,SHP000337,VEH017,DRV017,2025-11-09 08:38:38,Assigned
ASN000338,SHP000338,VEH018,DRV018,2025-09-20 17:45:07,Assigned
ASN000339,SHP000339,VEH019,DRV019,2025-05-27 18:52:10,Assigned
ASN000340,SHP000340,VEH020,DRV020,2025-09-28 10:06:37,Assigned
ASN000341,SHP000341,VEH021,DRV021,2025-07-22 06:59:19,Assigned
ASN000342,SHP000342,VEH022,DRV022,2025-06-04 15:43:58,Assigned
ASN000343,SHP000343,VEH023,DRV023,2025-05-11 12:25:45,Assigned
ASN000344,SHP000344,VEH024,DRV024,2025-09-14 09:04:37,Assigned
ASN000345,SHP000345,VEH025,DRV025,2025-09-30 17:53:40,Assigned
ASN000346,SHP000346,VEH026,DRV026,2025-12-11 09:06:44,Assigned
ASN000347,SHP000347,VEH027,DRV027,2025-01-23 18:19:54,Assigned
ASN000348,SHP000348,VEH028,DRV028,2025-06-11 16:38:51,Assigned
