shipment_id,order_id,warehouse_code,warehouse_city,destination_city,destination_state,destination_region,nearest_warehouse,backup_warehouse,distance_km,distance_category,coverage_status,route_priority
SHP000015,ORD000015,AMD_RDC,ahmedabad,tamenglong,Manipur,North-East,Kolkata,Nagpur,2341.82,Long Distance,Secondary,Low
SHP000016,ORD000016,MAA_RDC,chennai,chhabra,Rajasthan,West,Ahmedabad,Mumbai,1417.39,Long Distance,Secondary,Low
SHP000017,ORD000017,DEL_RDC,new delhi,vijayapura,Karnataka,South,Bengaluru,Hyderabad,1438.81,Long Distance,Secondary,Low
SHP000018,ORD000018,DEL_RDC,new delhi,chiknayakanhalli,Karnataka,South,Bengaluru,Hyderabad,1823.3,Long Distance,Secondary,Low
SHP000019,ORD000019,NAG_NH,nagpur,nala sopara,Maharashtra,West,Mumbai,Nagpur,722.62,Long Distance,Secondary,Low
SHP000020,ORD000020,CCU_RDC,kolkata,daurala,Uttar Pradesh,North,New Delhi,Nagpur,1436.25,Long Distance,Secondary,Low
SHP000021,ORD000021,NAG_NH,nagpur,deoband,Uttar Pradesh,North,New Delhi,Nagpur,1066.61,Long Distance,Secondary,Low
SHP000022,ORD000022,AMD_RDC,ahmedabad,periyapattinam,Tamil Nadu,South,Chennai,Bengaluru,1746.14,Long Distance,Secondary,Low
SHP000023,ORD000023,BLR_RDC,bengaluru,titagarh,West Bengal,East,Kolkata,Nagpur,1657.71,Long Distance,Secondary,Low
SHP000024,ORD000024,AMD_RDC,ahmedabad,dum duma,Assam,North-East,Kolkata,Nagpur,2617.45,Long Distance,Secondary,Low
SHP000025,ORD000025,MAA_RDC,chennai,amarnath,Maharashtra,West,Mumbai,Nagpur,1062.57,Long Distance,Secondary,Low
SHP000026,ORD000026,AMD_RDC,ahmedabad,kunnamangalam,Kerala,South,Chennai,Bengaluru,1416.65,Long Distance,Secondary,Low
SHP000027,ORD000027,BLR_RDC,bengaluru,vindhyachal,Uttar Pradesh,North,New Delhi,Nagpur,1539.82,Long Distance,Secondary,Low
SHP000028,ORD000028,MAA_RDC,chennai,gawan,Uttar Pradesh,North,New Delhi,Nagpur,1844.73,Long Distance,Secondary,Low
SHP000029,ORD000029,AMD_RDC,ahmedabad,halvad,Gujarat,West,Ahmedabad,Mumbai,156.63,Regional,Secondary,Medium
SHP000030,ORD000030,AMD_RDC,ahmedabad,mahendragarh,Haryana,North,New Delhi,Nagpur,758.48,Long Distance,Secondary,Low
SHP000031,ORD000031,MUM_NH,mumbai,atraulia,Uttar Pradesh,North,New Delhi,Nagpur,1422.76,Long Distance,Secondary,Low
SHP000032,ORD000032,MAA_RDC,chennai,dhrangadhra,Gujarat,West,Ahmedabad,Mumbai,1520.01,Long Distance,Secondary,Low
SHP000033,ORD000033,NAG_NH,nagpur,bidhuna,Uttar Pradesh,North,New Delhi,Nagpur,691.0,Long Distance,Secondary,Low
SHP000034,ORD000034,CCU_RDC,kolkata,dahegam,Gujarat,West,Ahmedabad,Mumbai,1728.92,Long Distance,Secondary,Low
SHP000035,ORD000035,BLR_RDC,bengaluru,bhainsdehi,Madhya Pradesh,Central,Nagpur,Mumbai,1012.43,Long Distance,Secondary,Low
SHP000036,ORD000036,CCU_RDC,kolkata,sultanpur,Madhya Pradesh,Central,Nagpur,Mumbai,1160.38,Long Distance,Secondary,Low
SHP000037,ORD000037,DEL_RDC,new delhi,margherita,Arunachal Pradesh,North-East,Kolkata,Nagpur,2060.17,Long Distance,Secondary,Low
SHP000038,ORD000038,MUM_NH,mumbai,betul bazar,Madhya Pradesh,Central,Nagpur,Mumbai,651.89,Long Distance,Secondary,Low
SHP000039,ORD000039,MUM_NH,mumbai,balarampur,West Bengal,East,Kolkata,Nagpur,1560.76,Long Distance,Secondary,Low
SHP000040,ORD000040,NAG_NH,nagpur,uchalan,West Bengal,East,Kolkata,Nagpur,994.49,Long Distance,Secondary,Low
SHP000041,ORD000041,BLR_RDC,bengaluru,gudiyatham,Tamil Nadu,South,Chennai,Bengaluru,142.53,Local,Secondary,High
SHP000042,ORD000042,CCU_RDC,kolkata,lachhmangarh sikar,Rajasthan,West,Ahmedabad,Mumbai,1618.01,Long Distance,Secondary,Low
SHP000043,ORD000043,BLR_RDC,bengaluru,dhenkanal,Odisha,East,Kolkata,Nagpur,1262.8,Long Distance,Secondary,Low
SHP000044,ORD000044,DEL_RDC,new delhi,pipraich,Uttar Pradesh,North,New Delhi,Nagpur,737.47,Long Distance,Secondary,Low
SHP000045,ORD000045,CCU_RDC,kolkata,tulsipur,Uttar Pradesh,North,New Delhi,Nagpur,900.61,Long Distance,Secondary,Low
SHP000046,ORD000046,AMD_RDC,ahmedabad,kharda,Maharashtra,West,Mumbai,Nagpur,613.76,Long Distance,Secondary,Low
SHP000047,ORD000047,DEL_RDC,new delhi,jamshedpur,Jharkhand,East,Kolkata,Nagpur,1230.93,Long Distance,Secondary,Low
SHP000048,ORD000048,HYD_RDC,hyderabad,raigarh,Chhattisgarh,Central,Nagpur,Mumbai,775.16,Long Distance,Secondary,Low
SHP000049,ORD000049,MUM_NH,mumbai,naharlagun,Arunachal Pradesh,North-East,Kolkata,Nagpur,2512.88,Long Distance,Secondary,Low
SHP000050,ORD000050,MUM_NH,mumbai,nuzvid,Andhra Pradesh,South,Hyderabad,Nagpur,925.89,Long Distance,Secondary,Low
SHP000051,ORD000051,AMD_RDC,ahmedabad,dongargarh,Chhattisgarh,Central,Nagpur,Mumbai,935.59,Long Distance,Secondary,Low
SHP000052,ORD000052,DEL_RDC,new delhi,bandia,Gujarat,West,Ahmedabad,Mumbai,1121.41,Long Distance,Secondary,Low
SHP000053,ORD000053,NAG_NH,nagpur,osmanabad,Maharashtra,West,Mumbai,Nagpur,472.06,Regional,Secondary,Medium
SHP000054,ORD000054,HYD_RDC,hyderabad,barhiya,Bihar,East,Kolkata,Nagpur,1266.17,Long Distance,Secondary,Low
SHP000055,ORD000055,CCU_RDC,kolkata,tikri,Uttar Pradesh,North,New Delhi,Nagpur,1476.74,Long Distance,Secondary,Low
SHP000056,ORD000056,AMD_RDC,ahmedabad,rahon,Punjab,North,New Delhi,Nagpur,1078.67,Long Distance,Secondary,Low
SHP000057,ORD000057,HYD_RDC,hyderabad,surendranagar,Gujarat,West,Ahmedabad,Mumbai,987.73,Long Distance,Secondary,Low
SHP000058,ORD000058,MUM_NH,mumbai,simdega,Jharkhand,East,Kolkata,Nagpur,1360.59,Long Distance,Secondary,Low
SHP000059,ORD000059,CCU_RDC,kolkata,hasimara,West Bengal,East,Kolkata,Nagpur,527.82,Long Distance,Secondary,Low
SHP000060,ORD000060,MUM_NH,mumbai,radhakund,Uttar Pradesh,North,New Delhi,Nagpur,1146.77,Long Distance,Secondary,Low
SHP000061,ORD000061,CCU_RDC,kolkata,bundu,Jharkhand,East,Kolkata,Nagpur,314.9,Regional,Secondary,Medium
SHP000062,ORD000062,DEL_RDC,new delhi,taranagar,Rajasthan,West,Ahmedabad,Mumbai,244.09,Regional,Secondary,Medium
SHP000063,ORD000063,AMD_RDC,ahmedabad,divrasai,Uttar Pradesh,North,New Delhi,Nagpur,866.3,Long Distance,Secondary,Low
SHP000064,ORD000064,BLR_RDC,bengaluru,malakanagiri,Odisha,East,Kolkata,Nagpur,785.83,Long Distance,Secondary,Low
SHP000065,ORD000065,MUM_NH,mumbai,vriddhachalam,Tamil Nadu,South,Chennai,Bengaluru,1129.41,Long Distance,Secondary,Low
SHP000066,ORD000066,DEL_RDC,new delhi,bettiah,Bihar,East,Kolkata,Nagpur,842.43,Long Distance,Secondary,Low
SHP000067,ORD000067,MAA_RDC,chennai,shikarpur,Karnataka,South,Bengaluru,Hyderabad,564.41,Long Distance,Secondary,Low
SHP000068,ORD000068,NAG_NH,nagpur,jagdishpur,Uttar Pradesh,North,New Delhi,Nagpur,701.98,Long Distance,Secondary,Low
SHP000069,ORD000069,HYD_RDC,hyderabad,lasalgaon,Maharashtra,West,Mumbai,Nagpur,570.59,Long Distance,Secondary,Low
SHP000070,ORD000070,MUM_NH,mumbai,jangaon,Telangana,South,Hyderabad,Nagpur,715.61,Long Distance,Secondary,Low
SHP000071,ORD000071,AMD_RDC,ahmedabad,morigaon,Assam,North-East,Kolkata,Nagpur,2234.36,Long Distance,Secondary,Low
SHP000072,ORD000072,NAG_NH,nagpur,itanagar,Arunachal Pradesh,North-East,Kolkata,Nagpur,1772.01,Long Distance,Secondary,Low
SHP000073,ORD000073,AMD_RDC,ahmedabad,rajmahal,West Bengal,East,Kolkata,Nagpur,1715.76,Long Distance,Secondary,Low
SHP000074,ORD000074,MAA_RDC,chennai,amanpur,Uttar Pradesh,North,New Delhi,Nagpur,1751.39,Long Distance,Secondary,Low
SHP000075,ORD000075,MAA_RDC,chennai,bhojpur dharampur,Gujarat,West,Ahmedabad,Mumbai,1678.3,Long Distance,Secondary,Low
SHP000076,ORD000076,MUM_NH,mumbai,selu,Maharashtra,West,Mumbai,Nagpur,398.65,Regional,Secondary,Medium
SHP000077,ORD000077,MAA_RDC,chennai,baberu,Uttar Pradesh,North,New Delhi,Nagpur,1474.09,Long Distance,Secondary,Low
SHP000078,ORD000078,BLR_RDC,bengaluru,rampur hat,West Bengal,East,Kolkata,Nagpur,1739.24,Long Distance,Secondary,Low
SHP000079,ORD000079,HYD_RDC,hyderabad,bawali,West Bengal,East,Kolkata,Nagpur,1237.51,Long Distance,Secondary,Low
SHP000080,ORD000080,NAG_NH,nagpur,punjai puliyampatti,Tamil Nadu,South,Chennai,Bengaluru,1157.2,Long Distance,Secondary,Low
SHP000081,ORD000081,AMD_RDC,ahmedabad,kampil,Uttar Pradesh,North,New Delhi,Nagpur,934.82,Long Distance,Secondary,Low
SHP000082,ORD000082,DEL_RDC,new delhi,bannur,Karnataka,South,Bengaluru,Hyderabad,1946.16,Long Distance,Secondary,Low
SHP000083,ORD000083,CCU_RDC,kolkata,khallar,Maharashtra,West,Mumbai,Nagpur,1223.58,Long Distance,Secondary,Low
SHP000084,ORD000084,AMD_RDC,ahmedabad,vasco da gama,Goa,West,Ahmedabad,Mumbai,910.6,Long Distance,Secondary,Low
SHP000085,ORD000085,AMD_RDC,ahmedabad,sadabad,Uttar Pradesh,North,New Delhi,Nagpur,814.35,Long Distance,Secondary,Low
SHP000086,ORD000086,CCU_RDC,kolkata,manjhanpur,Uttar Pradesh,North,New Delhi,Nagpur,856.42,Long Distance,Secondary,Low
SHP000087,ORD000087,MAA_RDC,chennai,ammapettai,Tamil Nadu,South,Chennai,Bengaluru,281.91,Regional,Secondary,Medium
SHP000088,ORD000088,MAA_RDC,chennai,bari,Rajasthan,West,Ahmedabad,Mumbai,1636.67,Long Distance,Secondary,Low
SHP000089,ORD000089,DEL_RDC,new delhi,darjeeling,West Bengal,East,Kolkata,Nagpur,1245.09,Long Distance,Secondary,Low
SHP000090,ORD000090,NAG_NH,nagpur,sikka,Gujarat,West,Ahmedabad,Mumbai,1040.45,Long Distance,Secondary,Low
SHP000091,ORD000091,DEL_RDC,new delhi,banthra,Uttar Pradesh,North,New Delhi,Nagpur,302.6,Regional,Secondary,Medium
SHP000092,ORD000092,DEL_RDC,new delhi,manjeri,Kerala,South,Chennai,Bengaluru,2087.25,Long Distance,Secondary,Low
SHP000093,ORD000093,BLR_RDC,bengaluru,sultanpur,Madhya Pradesh,Central,Nagpur,Mumbai,1192.81,Long Distance,Secondary,Low
SHP000094,ORD000094,MAA_RDC,chennai,odlabari,West Bengal,East,Kolkata,Nagpur,1879.31,Long Distance,Secondary,Low
SHP000095,ORD000095,HYD_RDC,hyderabad,kotwa,Madhya Pradesh,Central,Nagpur,Mumbai,967.92,Long Distance,Secondary,Low
SHP000096,ORD000096,MAA_RDC,chennai,perungudi,Tamil Nadu,South,Chennai,Bengaluru,15.09,Local,Secondary,High
SHP000097,ORD000097,HYD_RDC,hyderabad,sahaspur,Uttar Pradesh,North,New Delhi,Nagpur,1425.63,Long Distance,Secondary,Low
SHP000098,ORD000098,NAG_NH,nagpur,powai,Maharashtra,West,Mumbai,Nagpur,728.86,Long Distance,Secondary,Low
SHP000099,ORD000099,NAG_NH,nagpur,udalguri,Assam,North-East,Kolkata,Nagpur,1602.14,Long Distance,Secondary,Low
SHP000100,ORD000100,CCU_RDC,kolkata,pune,Maharashtra,West,Mumbai,Nagpur,1681.59,Long Distance,Secondary,Low
SHP000101,ORD000101,NAG_NH,nagpur,kharar,Punjab,North,New Delhi,Nagpur,1221.06,Long Distance,Secondary,Low
SHP000102,ORD000102,NAG_NH,nagpur,bodri,Madhya Pradesh,Central,Nagpur,Mumbai,356.64,Regional,Secondary,Medium
SHP000103,ORD000103,NAG_NH,nagpur,pukhrayan,Uttar Pradesh,North,New Delhi,Nagpur,623.14,Long Distance,Secondary,Low
SHP000104,ORD000104,HYD_RDC,hyderabad,rajkot,Gujarat,West,Ahmedabad,Mumbai,1031.27,Long Distance,Secondary,Low
SHP000105,ORD000105,HYD_RDC,hyderabad,"banda, maharashtra",Maharashtra,West,Mumbai,Nagpur,543.11,Long Distance,Secondary,Low
SHP000106,ORD000106,NAG_NH,nagpur,dwarka,Gujarat,West,Ahmedabad,Mumbai,1133.82,Long Distance,Secondary,Low
SHP000107,ORD000107,DEL_RDC,new delhi,talikota,Karnataka,South,Bengaluru,Hyderabad,1473.3,Long Distance,Secondary,Low
SHP000108,ORD000108,BLR_RDC,bengaluru,jakhau,Gujarat,West,Ahmedabad,Mumbai,1556.0,Long Distance,Secondary,Low
SHP000109,ORD000109,CCU_RDC,kolkata,katihar,Bihar,East,Kolkata,Nagpur,369.9,Regional,Secondary,Medium
SHP000110,ORD000110,MUM_NH,mumbai,kurukshetra,Haryana,North,New Delhi,Nagpur,1407.5,Long Distance,Secondary,Low
SHP000111,ORD000111,CCU_RDC,kolkata,visnagar,Gujarat,West,Ahmedabad,Mumbai,1762.83,Long Distance,Secondary,Low
SHP000112,ORD000112,BLR_RDC,bengaluru,lalganj,Bihar,East,Kolkata,Nagpur,1744.06,Long Distance,Secondary,Low
SHP000113,ORD000113,NAG_NH,nagpur,srisailain,Andhra Pradesh,South,Hyderabad,Nagpur,596.74,Long Distance,Secondary,Low
SHP000114,ORD000114,MAA_RDC,chennai,kunigal,Karnataka,South,Bengaluru,Hyderabad,362.23,Regional,Secondary,Medium
SHP000115,ORD000115,BLR_RDC,bengaluru,kargil,Ladakh,North,New Delhi,Nagpur,2652.44,Long Distance,Secondary,Low
SHP000116,ORD000116,HYD_RDC,hyderabad,seoni malwa,Madhya Pradesh,Central,Nagpur,Mumbai,610.15,Long Distance,Secondary,Low
SHP000117,ORD000117,DEL_RDC,new delhi,bishunpur urf maharajganj,Uttar Pradesh,North,New Delhi,Nagpur,720.48,Long Distance,Secondary,Low
SHP000118,ORD000118,AMD_RDC,ahmedabad,kanchrapara,West Bengal,East,Kolkata,Nagpur,1763.62,Long Distance,Secondary,Low
SHP000119,ORD000119,MAA_RDC,chennai,sanguem,Goa,West,Ahmedabad,Mumbai,725.0,Long Distance,Secondary,Low
SHP000120,ORD000120,NAG_NH,nagpur,sehore,Madhya Pradesh,Central,Nagpur,Mumbai,332.57,Regional,Secondary,Medium
SHP000121,ORD000121,BLR_RDC,bengaluru,shertallai,Kerala,South,Chennai,Bengaluru,398.38,Regional,Secondary,Medium
SHP000122,ORD000122,NAG_NH,nagpur,narayanpur,Chhattisgarh,Central,Nagpur,Mumbai,287.96,Regional,Secondary,Medium
SHP000123,ORD000123,DEL_RDC,new delhi,patancheru,Telangana,South,Hyderabad,Nagpur,1351.34,Long Distance,Secondary,Low
SHP000124,ORD000124,DEL_RDC,new delhi,badarpur,Assam,North-East,Kolkata,Nagpur,1774.47,Long Distance,Secondary,Low
SHP000125,ORD000125,CCU_RDC,kolkata,shegaon,Maharashtra,West,Mumbai,Nagpur,1312.41,Long Distance,Secondary,Low
SHP000126,ORD000126,AMD_RDC,ahmedabad,pahasu,Uttar Pradesh,North,New Delhi,Nagpur,880.68,Long Distance,Secondary,Low
SHP000127,ORD000127,MUM_NH,mumbai,jobner,Rajasthan,West,Ahmedabad,Mumbai,996.35,Long Distance,Secondary,Low
SHP000128,ORD000128,HYD_RDC,hyderabad,palsana,Gujarat,West,Ahmedabad,Mumbai,749.4,Long Distance,Secondary,Low
SHP000129,ORD000129,BLR_RDC,bengaluru,tinnanur,Tamil Nadu,South,Chennai,Bengaluru,271.38,Regional,Secondary,Medium
SHP000130,ORD000130,NAG_NH,nagpur,adawad,Maharashtra,West,Mumbai,Nagpur,404.72,Regional,Secondary,Medium
SHP000131,ORD000131,MUM_NH,mumbai,yol,Himachal Pradesh,North,New Delhi,Nagpur,1662.81,Long Distance,Secondary,Low
SHP000132,ORD000132,NAG_NH,nagpur,kharar,Punjab,North,New Delhi,Nagpur,1221.06,Long Distance,Secondary,Low
SHP000133,ORD000133,DEL_RDC,new delhi,keshod,Gujarat,West,Ahmedabad,Mumbai,1189.68,Long Distance,Secondary,Low
SHP000134,ORD000134,DEL_RDC,new delhi,bhognipur,Uttar Pradesh,North,New Delhi,Nagpur,415.36,Regional,Secondary,Medium
SHP000135,ORD000135,AMD_RDC,ahmedabad,kakching,Manipur,North-East,Kolkata,Nagpur,2388.29,Long Distance,Secondary,Low
SHP000136,ORD000136,MAA_RDC,chennai,nalanda,Bihar,East,Kolkata,Nagpur,1553.34,Long Distance,Secondary,Low
SHP000137,ORD000137,MUM_NH,mumbai,masinigudi,Tamil Nadu,South,Chennai,Bengaluru,962.57,Long Distance,Secondary,Low
SHP000138,ORD000138,MUM_NH,mumbai,sarubera,Jharkhand,East,Kolkata,Nagpur,1566.33,Long Distance,Secondary,Low
SHP000139,ORD000139,DEL_RDC,new delhi,begun,Rajasthan,West,Ahmedabad,Mumbai,518.61,Long Distance,Secondary,Low
SHP000140,ORD000140,DEL_RDC,new delhi,kamalapuram,Andhra Pradesh,South,Hyderabad,Nagpur,1694.07,Long Distance,Secondary,Low
SHP000141,ORD000141,MUM_NH,mumbai,mahuva (surat),Gujarat,West,Ahmedabad,Mumbai,232.66,Regional,Secondary,Medium
SHP000142,ORD000142,CCU_RDC,kolkata,tanjore,Tamil Nadu,South,Chennai,Bengaluru,1709.48,Long Distance,Secondary,Low
SHP000143,ORD000143,BLR_RDC,bengaluru,narsinghgarh,Madhya Pradesh,Central,Nagpur,Mumbai,1262.52,Long Distance,Secondary,Low
SHP000144,ORD000144,DEL_RDC,new delhi,aldona,Goa,West,Ahmedabad,Mumbai,1615.31,Long Distance,Secondary,Low
SHP000145,ORD000145,CCU_RDC,kolkata,sewri,Maharashtra,West,Mumbai,Nagpur,1773.83,Long Distance,Secondary,Low
SHP000146,ORD000146,BLR_RDC,bengaluru,itanagar,Arunachal Pradesh,North-East,Kolkata,Nagpur,2448.23,Long Distance,Secondary,Low
SHP000147,ORD000147,NAG_NH,nagpur,maner,Bihar,East,Kolkata,Nagpur,844.53,Long Distance,Secondary,Low
SHP000148,ORD000148,CCU_RDC,kolkata,jalore,Rajasthan,West,Ahmedabad,Mumbai,1812.95,Long Distance,Secondary,Low
SHP000149,ORD000149,HYD_RDC,hyderabad,rohru,Himachal Pradesh,North,New Delhi,Nagpur,1695.32,Long Distance,Secondary,Low
SHP000150,ORD000150,NAG_NH,nagpur,budaun,Uttar Pradesh,North,New Delhi,Nagpur,854.43,Long Distance,Secondary,Low
SHP000151,ORD000151,DEL_RDC,new delhi,amritsar,Punjab,North,New Delhi,Nagpur,472.34,Regional,Secondary,Medium
SHP000152,ORD000152,NAG_NH,nagpur,peraiyur,Tamil Nadu,South,Chennai,Bengaluru,1328.15,Long Distance,Secondary,Low
SHP000153,ORD000153,HYD_RDC,hyderabad,sathamba,Gujarat,West,Ahmedabad,Mumbai,893.27,Long Distance,Secondary,Low
SHP000154,ORD000154,DEL_RDC,new delhi,susner,Madhya Pradesh,Central,Nagpur,Mumbai,596.03,Long Distance,Secondary,Low
SHP000155,ORD000155,AMD_RDC,ahmedabad,ghargaon,Maharashtra,West,Mumbai,Nagpur,558.49,Long Distance,Secondary,Low
SHP000156,ORD000156,HYD_RDC,hyderabad,harduaganj,Uttar Pradesh,North,New Delhi,Nagpur,1276.72,Long Distance,Secondary,Low
SHP000157,ORD000157,CCU_RDC,kolkata,nangal,Punjab,North,New Delhi,Nagpur,1731.55,Long Distance,Secondary,Low
SHP000158,ORD000158,MUM_NH,mumbai,satna,Madhya Pradesh,Central,Nagpur,Mumbai,1113.67,Long Distance,Secondary,Low
SHP000159,ORD000159,CCU_RDC,kolkata,orchha,Madhya Pradesh,Central,Nagpur,Mumbai,1132.52,Long Distance,Secondary,Low
SHP000160,ORD000160,CCU_RDC,kolkata,ujhani,Uttar Pradesh,North,New Delhi,Nagpur,1237.42,Long Distance,Secondary,Low
SHP000161,ORD000161,NAG_NH,nagpur,kairana,Uttar Pradesh,North,New Delhi,Nagpur,1038.04,Long Distance,Secondary,Low
SHP000162,ORD000162,BLR_RDC,bengaluru,baleshwar,Odisha,East,Kolkata,Nagpur,1424.46,Long Distance,Secondary,Low
SHP000163,ORD000163,DEL_RDC,new delhi,partur,Maharashtra,West,Mumbai,Nagpur,1109.45,Long Distance,Secondary,Low
SHP000164,ORD000164,DEL_RDC,new delhi,koppal,Karnataka,South,Bengaluru,Hyderabad,1586.58,Long Distance,Secondary,Low
SHP000165,ORD000165,AMD_RDC,ahmedabad,gomoh,Jharkhand,East,Kolkata,Nagpur,1513.47,Long Distance,Secondary,Low
SHP000166,ORD000166,HYD_RDC,hyderabad,musafir-khana,Uttar Pradesh,North,New Delhi,Nagpur,1142.62,Long Distance,Secondary,Low
SHP000167,ORD000167,MUM_NH,mumbai,tirur,Kerala,South,Chennai,Bengaluru,1000.13,Long Distance,Secondary,Low
SHP000168,ORD000168,NAG_NH,nagpur,kairana,Uttar Pradesh,North,New Delhi,Nagpur,1038.04,Long Distance,Secondary,Low
SHP000169,ORD000169,MUM_NH,mumbai,bhadohi,Uttar Pradesh,North,New Delhi,Nagpur,1319.82,Long Distance,Secondary,Low
SHP000170,ORD000170,NAG_NH,nagpur,tohana,Haryana,North,New Delhi,Nagpur,1115.12,Long Distance,Secondary,Low
SHP000171,ORD000171,HYD_RDC,hyderabad,mau,Madhya Pradesh,Central,Nagpur,Mumbai,1066.73,Long Distance,Secondary,Low
SHP000172,ORD000172,AMD_RDC,ahmedabad,junagadh,Gujarat,West,Ahmedabad,Mumbai,329.4,Regional,Secondary,Medium
SHP000173,ORD000173,BLR_RDC,bengaluru,kamarpukur,West Bengal,East,Kolkata,Nagpur,1615.4,Long Distance,Secondary,Low
SHP000174,ORD000174,DEL_RDC,new delhi,kausani,Uttar Pradesh,North,New Delhi,Nagpur,306.35,Regional,Secondary,Medium
SHP000175,ORD000175,BLR_RDC,bengaluru,cuddalore,Tamil Nadu,South,Chennai,Bengaluru,269.93,Regional,Secondary,Medium
SHP000176,ORD000176,CCU_RDC,kolkata,kot isa khan,Punjab,North,New Delhi,Nagpur,1805.55,Long Distance,Secondary,Low
SHP000177,ORD000177,MAA_RDC,chennai,west delhi,Delhi,North,New Delhi,Nagpur,1895.54,Long Distance,Secondary,Low
SHP000178,ORD000178,CCU_RDC,kolkata,ponnuru,Andhra Pradesh,South,Hyderabad,Nagpur,1155.57,Long Distance,Secondary,Low
SHP000179,ORD000179,AMD_RDC,ahmedabad,dhanghata,Uttar Pradesh,North,New Delhi,Nagpur,1238.13,Long Distance,Secondary,Low
SHP000180,ORD000180,NAG_NH,nagpur,alur,Karnataka,South,Bengaluru,Hyderabad,1012.49,Long Distance,Secondary,Low
SHP000181,ORD000181,NAG_NH,nagpur,ashoknagar kalyangarh,West Bengal,East,Kolkata,Nagpur,1082.01,Long Distance,Secondary,Low
SHP000182,ORD000182,DEL_RDC,new delhi,panhala,Maharashtra,West,Mumbai,Nagpur,1471.82,Long Distance,Secondary,Low
SHP000183,ORD000183,CCU_RDC,kolkata,durg,Chhattisgarh,Central,Nagpur,Mumbai,790.13,Long Distance,Secondary,Low
SHP000184,ORD000184,MAA_RDC,chennai,chengam,Tamil Nadu,South,Chennai,Bengaluru,187.9,Regional,Secondary,Medium
SHP000185,ORD000185,DEL_RDC,new delhi,shahbazpur,Bihar,East,Kolkata,Nagpur,1157.88,Long Distance,Secondary,Low
SHP000186,ORD000186,MUM_NH,mumbai,west khasi hills,Meghalaya,North-East,Kolkata,Nagpur,2190.29,Long Distance,Secondary,Low
SHP000187,ORD000187,NAG_NH,nagpur,nawanshahr,Jammu and Kashmir,North,New Delhi,Nagpur,1540.74,Long Distance,Secondary,Low
SHP000188,ORD000188,MUM_NH,mumbai,baran,Rajasthan,West,Ahmedabad,Mumbai,836.64,Long Distance,Secondary,Low
SHP000189,ORD000189,NAG_NH,nagpur,sonari,Assam,North-East,Kolkata,Nagpur,1913.01,Long Distance,Secondary,Low
SHP000190,ORD000190,MAA_RDC,chennai,khalapur,Maharashtra,West,Mumbai,Nagpur,1024.51,Long Distance,Secondary,Low
SHP000191,ORD000191,NAG_NH,nagpur,pachmarhi,Madhya Pradesh,Central,Nagpur,Mumbai,174.29,Regional,Secondary,Medium
SHP000192,ORD000192,HYD_RDC,hyderabad,karkala,Karnataka,South,Bengaluru,Hyderabad,616.76,Long Distance,Secondary,Low
SHP000193,ORD000193,NAG_NH,nagpur,west kameng,Arunachal Pradesh,North-East,Kolkata,Nagpur,1662.69,Long Distance,Secondary,Low
SHP000194,ORD000194,DEL_RDC,new delhi,dharasana,Gujarat,West,Ahmedabad,Mumbai,1086.73,Long Distance,Secondary,Low
