shipment_id,order_id,warehouse_code,vehicle_id,vehicle_number,vehicle_type,payload_capacity_kg,shipment_quantity,decision_reason
SHP000135,ORD000135,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,35,Optimal
SHP000136,ORD000136,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,50,Optimal
SHP000137,ORD000137,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,9,Upgraded Capacity
SHP000138,ORD000138,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,30,Upgraded Capacity
SHP000139,ORD000139,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,13,Optimal
SHP000140,ORD000140,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,25,Optimal
SHP000141,ORD000141,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,97,Upgraded Capacity
SHP000142,ORD000142,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,35,Upgraded Capacity
SHP000143,ORD000143,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,9,Optimal
SHP000144,ORD000144,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,44,Optimal
SHP000145,ORD000145,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,6,Upgraded Capacity
SHP000146,ORD000146,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,2,Optimal
SHP000147,ORD000147,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,2,Upgraded Capacity
SHP000148,ORD000148,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,14,Upgraded Capacity
SHP000149,ORD000149,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,25,Optimal
SHP000150,ORD000150,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,44,Upgraded Capacity
SHP000151,ORD000151,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,9,Optimal
SHP000152,ORD000152,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,35,Upgraded Capacity
SHP000153,ORD000153,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,3,Optimal
SHP000154,ORD000154,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,16,Optimal
SHP000155,ORD000155,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,16,Optimal
SHP000156,ORD000156,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,19,Optimal
SHP000157,ORD000157,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,7,Upgraded Capacity
SHP000158,ORD000158,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,6,Upgraded Capacity
SHP000159,ORD000159,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,38,Upgraded Capacity
SHP000160,ORD000160,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,30,Upgraded Capacity
SHP000161,ORD000161,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,20,Upgraded Capacity
SHP000162,ORD000162,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,14,Optimal
SHP000163,ORD000163,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,16,Optimal
SHP000164,ORD000164,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,14,Optimal
SHP000165,ORD000165,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,42,Optimal
SHP000166,ORD000166,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,4,Optimal
SHP000167,ORD000167,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,91,Upgraded Capacity
SHP000168,ORD000168,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,9,Upgraded Capacity
SHP000169,ORD000169,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,120,Upgraded Capacity
SHP000170,ORD000170,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,21,Upgraded Capacity
SHP000171,ORD000171,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,16,Optimal
SHP000172,ORD000172,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,13,Optimal
SHP000173,ORD000173,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,6,Optimal
SHP000174,ORD000174,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,11,Optimal
SHP000175,ORD000175,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,5,Optimal
SHP000176,ORD000176,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,16,Upgraded Capacity
SHP000177,ORD000177,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,31,Optimal
SHP000178,ORD000178,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,2,Upgraded Capacity
SHP000179,ORD000179,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,89,Optimal
SHP000180,ORD000180,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,48,Upgraded Capacity
SHP000181,ORD000181,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,4,Upgraded Capacity
SHP000182,ORD000182,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,59,Optimal
SHP000183,ORD000183,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,4,Upgraded Capacity
SHP000184,ORD000184,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,35,Optimal
SHP000185,ORD000185,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,62,Optimal
SHP000186,ORD000186,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,153,Upgraded Capacity
SHP000187,ORD000187,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,2,Upgraded Capacity
SHP000188,ORD000188,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,91,Upgraded Capacity
SHP000189,ORD000189,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,1,Upgraded Capacity
SHP000190,ORD000190,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,41,Optimal
SHP000191,ORD000191,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,10,Upgraded Capacity
SHP000192,ORD000192,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,2,Optimal
SHP000193,ORD000193,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,5,Upgraded Capacity
SHP000194,ORD000194,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,41,Optimal
SHP000195,ORD000195,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,10,Upgraded Capacity
SHP000196,ORD000196,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,14,Optimal
SHP000197,ORD000197,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,50,Upgraded Capacity
SHP000198,ORD000198,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,10,Upgraded Capacity
SHP000199,ORD000199,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,20,Upgraded Capacity
SHP000200,ORD000200,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,7,Upgraded Capacity
SHP000201,ORD000201,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,6,Upgraded Capacity
SHP000202,ORD000202,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,10,Upgraded Capacity
SHP000203,ORD000203,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,45,Optimal
SHP000204,ORD000204,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,15,Upgraded Capacity
SHP000205,ORD000205,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,30,Optimal
SHP000206,ORD000206,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,13,Upgraded Capacity
SHP000207,ORD000207,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,42,Optimal
SHP000208,ORD000208,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,2,Optimal
SHP000209,ORD000209,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,37,Upgraded Capacity
SHP000210,ORD000210,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,78,Upgraded Capacity
SHP000211,ORD000211,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,35,Upgraded Capacity
SHP000212,ORD000212,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,2,Upgraded Capacity
SHP000213,ORD000213,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,4,Optimal
SHP000214,ORD000214,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,19,Optimal
SHP000215,ORD000215,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,1,Upgraded Capacity
SHP000216,ORD000216,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,4,Upgraded Capacity
SHP000217,ORD000217,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,11,Optimal
SHP000218,ORD000218,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,53,Optimal
SHP000219,ORD000219,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,11,Optimal
SHP000220,ORD000220,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,10,Optimal
SHP000221,ORD000221,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,3,Upgraded Capacity
SHP000222,ORD000222,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,11,Optimal
SHP000223,ORD000223,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,9,Upgraded Capacity
SHP000224,ORD000224,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,67,Upgraded Capacity
SHP000225,ORD000225,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,41,Upgraded Capacity
SHP000226,ORD000226,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,17,Optimal
SHP000227,ORD000227,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,4,Optimal
SHP000228,ORD000228,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,46,Upgraded Capacity
SHP000229,ORD000229,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,53,Optimal
SHP000230,ORD000230,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,4,Upgraded Capacity
SHP000231,ORD000231,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,19,Upgraded Capacity
SHP000232,ORD000232,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,54,Optimal
SHP000233,ORD000233,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,71,Upgraded Capacity
SHP000234,ORD000234,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,66,Optimal
SHP000235,ORD000235,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,44,Optimal
SHP000236,ORD000236,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,47,Optimal
SHP000237,ORD000237,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,32,Optimal
SHP000238,ORD000238,DEL_RDC,VEH014,DL88QP3803,Mini Truck,2000,23,Optimal
SHP000239,ORD000239,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,25,Upgraded Capacity
SHP000240,ORD000240,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,16,Optimal
SHP000241,ORD000241,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,3,Upgraded Capacity
SHP000242,ORD000242,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,13,Optimal
SHP000243,ORD000243,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,2,Upgraded Capacity
SHP000244,ORD000244,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,13,Upgraded Capacity
SHP000245,ORD000245,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,2,Optimal
SHP000246,ORD000246,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,5,Upgraded Capacity
SHP000247,ORD000247,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,102,Upgraded Capacity
SHP000248,ORD000248,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,69,Optimal
SHP000249,ORD000249,MAA_RDC,VEH034,TN17DM3705,Mini Truck,2000,8,Optimal
SHP000250,ORD000250,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,8,Upgraded Capacity
SHP000251,ORD000251,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,6,Optimal
SHP000252,ORD000252,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,13,Upgraded Capacity
SHP000253,ORD000253,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,2,Upgraded Capacity
SHP000254,ORD000254,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,6,Upgraded Capacity
SHP000255,ORD000255,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,68,Upgraded Capacity
SHP000256,ORD000256,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,22,Optimal
SHP000257,ORD000257,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,80,Optimal
SHP000258,ORD000258,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,37,Upgraded Capacity
SHP000259,ORD000259,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,4,Upgraded Capacity
SHP000260,ORD000260,AMD_RDC,VEH018,GJ73WI9179,Mini Truck,2000,10,Optimal
SHP000261,ORD000261,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,29,Optimal
SHP000262,ORD000262,HYD_RDC,VEH029,TS65PD3646,Mini Truck,2000,14,Optimal
SHP000263,ORD000263,MUM_NH,VEH003,MH76KA4582,Medium Truck,7500,51,Upgraded Capacity
SHP000264,ORD000264,NAG_NH,VEH008,MH45PU8527,Medium Truck,7500,25,Upgraded Capacity
SHP000265,ORD000265,BLR_RDC,VEH023,KA81ER2040,Mini Truck,2000,45,Optimal
SHP000266,ORD000266,CCU_RDC,VEH036,WB97SF6107,Medium Truck,7500,18,Upgraded Capacity
