order_id,destination_city,original_warehouse,recommended_warehouse,decision_reason
ORD000074,Amanpur,MAA_RDC,MAA_RDC,Optimal
ORD000075,Bhojpur Dharampur,MAA_RDC,MAA_RDC,Optimal
ORD000076,Selu,MUM_NH,MUM_NH,Optimal
ORD000077,Baberu,MAA_RDC,MAA_RDC,Optimal
ORD000078,Rampur Hat,BLR_RDC,BLR_RDC,Optimal
ORD000079,Bawali,HYD_RDC,HYD_RDC,Optimal
ORD000080,Punjai Puliyampatti,NAG_NH,NAG_NH,Optimal
ORD000081,Kampil,AMD_RDC,AMD_RDC,Optimal
ORD000082,Bannur,DEL_RDC,DEL_RDC,Optimal
ORD000083,Khallar,CCU_RDC,CCU_RDC,Optimal
ORD000084,Vasco Da Gama,AMD_RDC,AMD_RDC,Optimal
ORD000085,Sadabad,AMD_RDC,AMD_RDC,Optimal
ORD000086,Manjhanpur,CCU_RDC,CCU_RDC,Optimal
ORD000087,Ammapettai,MAA_RDC,MAA_RDC,Optimal
ORD000088,Bari,MAA_RDC,MAA_RDC,Optimal
ORD000089,Darjeeling,DEL_RDC,DEL_RDC,Optimal
ORD000090,Sikka,NAG_NH,NAG_NH,Optimal
ORD000091,Banthra,DEL_RDC,DEL_RDC,Optimal
ORD000092,Manjeri,DEL_RDC,DEL_RDC,Optimal
ORD000093,Sultanpur,BLR_RDC,BLR_RDC,Optimal
ORD000094,Odlabari,MAA_RDC,MAA_RDC,Optimal
ORD000095,Kotwa,HYD_RDC,HYD_RDC,Optimal
ORD000096,Perungudi,MAA_RDC,MAA_RDC,Optimal
ORD000097,Sahaspur,HYD_RDC,HYD_RDC,Optimal
ORD000098,Powai,NAG_NH,NAG_NH,Optimal
ORD000099,Udalguri,NAG_NH,NAG_NH,Optimal
ORD000100,Pune,CCU_RDC,CCU_RDC,Optimal
ORD000101,Kharar,NAG_NH,NAG_NH,Optimal
ORD000102,Bodri,NAG_NH,NAG_NH,Optimal
ORD000103,Pukhrayan,NAG_NH,NAG_NH,Optimal
ORD000104,Rajkot,HYD_RDC,HYD_RDC,Optimal
ORD000105,"Banda, Maharashtra",HYD_RDC,HYD_RDC,Optimal
ORD000106,Dwarka,NAG_NH,NAG_NH,Optimal
ORD000107,Talikota,DEL_RDC,DEL_RDC,Optimal
ORD000108,Jakhau,BLR_RDC,BLR_RDC,Optimal
ORD000109,Katihar,CCU_RDC,CCU_RDC,Optimal
ORD000110,Kurukshetra,MUM_NH,MUM_NH,Optimal
ORD000111,Visnagar,CCU_RDC,CCU_RDC,Optimal
ORD000112,Lalganj,BLR_RDC,BLR_RDC,Optimal
ORD000113,Srisailain,BLR_RDC,NAG_NH,Low Inventory
ORD000114,Kunigal,MAA_RDC,MAA_RDC,Optimal
ORD000115,Kargil,BLR_RDC,BLR_RDC,Optimal
ORD000116,Seoni Malwa,HYD_RDC,HYD_RDC,Optimal
ORD000117,Bishunpur Urf Maharajganj,DEL_RDC,DEL_RDC,Optimal
ORD000118,Kanchrapara,AMD_RDC,AMD_RDC,Optimal
ORD000119,Sanguem,MAA_RDC,MAA_RDC,Optimal
ORD000120,Sehore,NAG_NH,NAG_NH,Optimal
ORD000121,Shertallai,DEL_RDC,BLR_RDC,Low Inventory
ORD000122,Narayanpur,NAG_NH,NAG_NH,Optimal
ORD000123,Patancheru,DEL_RDC,DEL_RDC,Optimal
ORD000124,Badarpur,DEL_RDC,DEL_RDC,Optimal
ORD000125,Shegaon,CCU_RDC,CCU_RDC,Optimal
ORD000126,Pahasu,AMD_RDC,AMD_RDC,Optimal
ORD000127,Jobner,MUM_NH,MUM_NH,Optimal
ORD000128,Palsana,HYD_RDC,HYD_RDC,Optimal
ORD000129,Tinnanur,MUM_NH,BLR_RDC,Low Inventory
ORD000130,Adawad,NAG_NH,NAG_NH,Optimal
ORD000131,Yol,MUM_NH,MUM_NH,Optimal
ORD000132,Kharar,NAG_NH,NAG_NH,Optimal
ORD000133,Keshod,DEL_RDC,DEL_RDC,Optimal
ORD000134,Bhognipur,DEL_RDC,DEL_RDC,Optimal
ORD000135,Kakching,AMD_RDC,AMD_RDC,Optimal
ORD000136,Nalanda,MAA_RDC,MAA_RDC,Optimal
ORD000137,Masinigudi,MUM_NH,MUM_NH,Optimal
ORD000138,Sarubera,MUM_NH,MUM_NH,Optimal
ORD000139,Begun,DEL_RDC,DEL_RDC,Optimal
ORD000140,Kamalapuram,DEL_RDC,DEL_RDC,Optimal
ORD000141,Mahuva (Surat),MUM_NH,MUM_NH,Optimal
ORD000142,Tanjore,CCU_RDC,CCU_RDC,Optimal
ORD000143,Narsinghgarh,BLR_RDC,BLR_RDC,Optimal
ORD000144,Aldona,DEL_RDC,DEL_RDC,Optimal
ORD000145,Sewri,CCU_RDC,CCU_RDC,Optimal
ORD000146,Itanagar,BLR_RDC,BLR_RDC,Optimal
ORD000147,Maner,NAG_NH,NAG_NH,Optimal
ORD000148,Jalore,CCU_RDC,CCU_RDC,Optimal
ORD000149,Rohru,HYD_RDC,HYD_RDC,Optimal
ORD000150,Budaun,NAG_NH,NAG_NH,Optimal
ORD000151,Amritsar,DEL_RDC,DEL_RDC,Optimal
ORD000152,Peraiyur,NAG_NH,NAG_NH,Optimal
ORD000153,Sathamba,HYD_RDC,HYD_RDC,Optimal
ORD000154,Susner,DEL_RDC,DEL_RDC,Optimal
ORD000155,Ghargaon,AMD_RDC,AMD_RDC,Optimal
ORD000156,Harduaganj,HYD_RDC,HYD_RDC,Optimal
ORD000157,Nangal,CCU_RDC,CCU_RDC,Optimal
ORD000158,Satna,BLR_RDC,MUM_NH,Low Inventory
ORD000159,Orchha,CCU_RDC,CCU_RDC,Optimal
ORD000160,Ujhani,CCU_RDC,CCU_RDC,Optimal
ORD000161,Kairana,NAG_NH,NAG_NH,Optimal
ORD000162,Baleshwar,BLR_RDC,BLR_RDC,Optimal
ORD000163,Partur,DEL_RDC,DEL_RDC,Optimal
ORD000164,Koppal,DEL_RDC,DEL_RDC,Optimal
ORD000165,Gomoh,AMD_RDC,AMD_RDC,Optimal
ORD000166,Musafir-Khana,HYD_RDC,HYD_RDC,Optimal
ORD000167,Tirur,MUM_NH,MUM_NH,Optimal
ORD000168,Kairana,NAG_NH,NAG_NH,Optimal
ORD000169,Bhadohi,MUM_NH,MUM_NH,Optimal
ORD000170,Tohana,NAG_NH,NAG_NH,Optimal
ORD000171,Mau,HYD_RDC,HYD_RDC,Optimal
ORD000172,Junagadh,AMD_RDC,AMD_RDC,Optimal
ORD000173,Kamarpukur,BLR_RDC,BLR_RDC,Optimal
ORD000174,Kausani,DEL_RDC,DEL_RDC,Optimal
ORD000175,Cuddalore,CCU_RDC,BLR_RDC,Low Inventory
ORD000176,Kot Isa Khan,CCU_RDC,CCU_RDC,Optimal
ORD000177,West Delhi,MAA_RDC,MAA_RDC,Optimal
ORD000178,Ponnuru,CCU_RDC,CCU_RDC,Optimal
ORD000179,Dhanghata,AMD_RDC,AMD_RDC,Optimal
ORD000180,Alur,NAG_NH,NAG_NH,Optimal
ORD000181,Ashoknagar Kalyangarh,CCU_RDC,NAG_NH,Low Inventory
ORD000182,Panhala,DEL_RDC,DEL_RDC,Optimal
ORD000183,Durg,CCU_RDC,CCU_RDC,Optimal
ORD000184,Chengam,MAA_RDC,MAA_RDC,Optimal
ORD000185,Shahbazpur,DEL_RDC,DEL_RDC,Optimal
ORD000186,West Khasi Hills,MUM_NH,MUM_NH,Optimal
ORD000187,Nawanshahr,NAG_NH,NAG_NH,Low Inventory
ORD000188,Baran,MUM_NH,MUM_NH,Optimal
ORD000189,Sonari,MAA_RDC,NAG_NH,Low Inventory
ORD000190,Khalapur,MAA_RDC,MAA_RDC,Optimal
ORD000191,Pachmarhi,NAG_NH,NAG_NH,Optimal
ORD000192,Karkala,BLR_RDC,HYD_RDC,Low Inventory
ORD000193,West Kameng,NAG_NH,NAG_NH,Optimal
ORD000194,Dharasana,DEL_RDC,DEL_RDC,Optimal
ORD000195,Mudbidri,NAG_NH,NAG_NH,Optimal
ORD000196,Hajan,MAA_RDC,MAA_RDC,Optimal
ORD000197,Bandipore,MUM_NH,MUM_NH,Optimal
ORD000198,Ghatsila,NAG_NH,NAG_NH,Optimal
ORD000199,Paschim Medinipur District,CCU_RDC,CCU_RDC,Optimal
ORD000200,Jalkot,MUM_NH,MUM_NH,Optimal
ORD000201,Kamakhyanagar,MUM_NH,MUM_NH,Optimal
ORD000202,Azamgarh,MUM_NH,MUM_NH,Optimal
ORD000203,Morva (Hadaf),HYD_RDC,HYD_RDC,Optimal
ORD000204,Ratnagiri,NAG_NH,NAG_NH,Optimal
ORD000205,Asalatganj,DEL_RDC,DEL_RDC,Optimal
ORD000206,Karumbakkam,MUM_NH,MUM_NH,Optimal
ORD000207,Lalitpur,DEL_RDC,DEL_RDC,Optimal
ORD000208,Bakani,HYD_RDC,HYD_RDC,Optimal
ORD000209,Tekkali,NAG_NH,NAG_NH,Optimal
ORD000210,Keelakarai,NAG_NH,NAG_NH,Optimal
ORD000211,Nawa,MUM_NH,MUM_NH,Optimal
ORD000212,Benaulim,MUM_NH,MUM_NH,Optimal
ORD000213,Indpur Community Development Block,MAA_RDC,MAA_RDC,Optimal
ORD000214,Singrauli,BLR_RDC,BLR_RDC,Optimal
ORD000215,Malasa,NAG_NH,NAG_NH,Optimal
ORD000216,Terha,HYD_RDC,NAG_NH,Low Inventory
ORD000217,Bidhuna,DEL_RDC,DEL_RDC,Optimal
ORD000218,Chitrakoot,AMD_RDC,AMD_RDC,Optimal
ORD000219,Manasa,BLR_RDC,BLR_RDC,Optimal
ORD000220,Punasa,MAA_RDC,MAA_RDC,Optimal
ORD000221,Peddapuram,MUM_NH,MUM_NH,Optimal
ORD000222,Elayirampannai,BLR_RDC,BLR_RDC,Optimal
ORD000223,Tiruttangal,NAG_NH,NAG_NH,Optimal
ORD000224,Soyibug,MUM_NH,MUM_NH,Optimal
ORD000225,Balimila,CCU_RDC,CCU_RDC,Optimal
ORD000226,Koratla,HYD_RDC,HYD_RDC,Optimal
ORD000227,Surandai,DEL_RDC,DEL_RDC,Optimal
ORD000228,Kandukur,CCU_RDC,CCU_RDC,Optimal
ORD000229,Gandai,HYD_RDC,HYD_RDC,Optimal
ORD000230,Thrissur District,NAG_NH,NAG_NH,Optimal
ORD000231,Vidisha,NAG_NH,NAG_NH,Optimal
ORD000232,Serchhip,AMD_RDC,AMD_RDC,Optimal
ORD000233,Gumia,CCU_RDC,CCU_RDC,Optimal
ORD000234,Bijawar,MAA_RDC,MAA_RDC,Optimal
ORD000235,Thasra,DEL_RDC,DEL_RDC,Optimal
ORD000236,Kashipur,BLR_RDC,BLR_RDC,Optimal
ORD000237,Radhakund,AMD_RDC,AMD_RDC,Optimal
ORD000238,Karamsad,DEL_RDC,DEL_RDC,Optimal
ORD000239,Churulia,NAG_NH,NAG_NH,Optimal
ORD000240,Sardoi,BLR_RDC,BLR_RDC,Optimal
ORD000241,Modasa,MUM_NH,MUM_NH,Optimal
ORD000242,Fort Gloster,HYD_RDC,HYD_RDC,Optimal
ORD000243,Arangaon,NAG_NH,NAG_NH,Optimal
ORD000244,Pudukkottai,NAG_NH,NAG_NH,Optimal
ORD000245,Pathardih,AMD_RDC,AMD_RDC,Optimal
ORD000246,Ulhasnagar,CCU_RDC,CCU_RDC,Optimal
ORD000247,Madambakkam,MUM_NH,MUM_NH,Optimal
ORD000248,Chikodi,BLR_RDC,BLR_RDC,Optimal
ORD000249,Kalavoor,MAA_RDC,MAA_RDC,Optimal
ORD000250,Kumaralingam,CCU_RDC,CCU_RDC,Optimal
ORD000251,Lodhikheda,BLR_RDC,BLR_RDC,Optimal
ORD000252,Baloda Bazar,NAG_NH,NAG_NH,Optimal
ORD000253,Bilhaur,NAG_NH,NAG_NH,Optimal
ORD000254,Chhindwara,CCU_RDC,MUM_NH,Low Inventory
ORD000255,Gingee,NAG_NH,NAG_NH,Optimal
ORD000256,Chakrata,BLR_RDC,BLR_RDC,Optimal
ORD000257,Raipur,BLR_RDC,BLR_RDC,Optimal
ORD000258,Purba Medinipur District,MUM_NH,MUM_NH,Optimal
ORD000259,Dhaulpur,AMD_RDC,MUM_NH,Low Inventory
ORD000260,Kharkhauda,AMD_RDC,AMD_RDC,Optimal
ORD000261,Neem Ka Thana,BLR_RDC,BLR_RDC,Optimal
ORD000262,Argaon,HYD_RDC,HYD_RDC,Optimal
ORD000263,Walterganj,MUM_NH,MUM_NH,Optimal
ORD000264,Kaliaganj,NAG_NH,NAG_NH,Optimal
ORD000265,Morinda,BLR_RDC,BLR_RDC,Optimal
ORD000266,Arrah,CCU_RDC,CCU_RDC,Optimal
ORD000267,Dhule,CCU_RDC,CCU_RDC,Optimal
ORD000268,Bhatkal,AMD_RDC,AMD_RDC,Optimal
ORD000269,Puri,DEL_RDC,DEL_RDC,Optimal
ORD000270,Nellikkuppam,BLR_RDC,BLR_RDC,Optimal
ORD000271,Devarkonda,MAA_RDC,MAA_RDC,Optimal
ORD000272,Madhavpur Ghed,CCU_RDC,CCU_RDC,Optimal
ORD000273,Machilipatnam,AMD_RDC,AMD_RDC,Optimal
ORD000274,Kodala,AMD_RDC,AMD_RDC,Optimal
ORD000275,Kamargaon,MUM_NH,MUM_NH,Optimal
ORD000276,Shahgarh,NAG_NH,NAG_NH,Optimal
ORD000277,Bilgram,NAG_NH,NAG_NH,Optimal
ORD000278,Mataundh,DEL_RDC,DEL_RDC,Optimal
ORD000279,Jalandhar,NAG_NH,NAG_NH,Optimal
ORD000280,Bantval,MUM_NH,MUM_NH,Optimal
ORD000281,Raebareli,HYD_RDC,HYD_RDC,Optimal
ORD000282,Nuapada,DEL_RDC,DEL_RDC,Optimal
ORD000283,Machhali Shahar,BLR_RDC,NAG_NH,Low Inventory
ORD000284,Mokokchung,AMD_RDC,AMD_RDC,Optimal
ORD000285,Kotma,NAG_NH,NAG_NH,Optimal
ORD000286,Kharar,NAG_NH,NAG_NH,Optimal
ORD000287,Gharaunda,DEL_RDC,DEL_RDC,Optimal
ORD000288,Sonamura,HYD_RDC,HYD_RDC,Optimal
ORD000289,Gondal,CCU_RDC,CCU_RDC,Optimal
ORD000290,Tirodi,MUM_NH,MUM_NH,Optimal
ORD000291,Panskura,MUM_NH,MUM_NH,Optimal
ORD000292,Panaji,DEL_RDC,DEL_RDC,Optimal
ORD000293,Chhatarpur,MUM_NH,MUM_NH,Optimal
ORD000294,Asansol,NAG_NH,NAG_NH,Optimal
ORD000295,Chanasma,CCU_RDC,CCU_RDC,Optimal
ORD000296,Todaraisingh,CCU_RDC,CCU_RDC,Optimal
ORD000297,Ramnagar,BLR_RDC,BLR_RDC,Optimal
ORD000298,Sachendi,AMD_RDC,AMD_RDC,Optimal
ORD000299,Paikpara,MAA_RDC,MAA_RDC,Optimal
ORD000300,Laungowal,AMD_RDC,AMD_RDC,Optimal
ORD000301,Jangipur,CCU_RDC,CCU_RDC,Optimal
ORD000302,Barpeta Road,MUM_NH,MUM_NH,Optimal
ORD000303,Sonari,AMD_RDC,AMD_RDC,Optimal
ORD000304,Narora,NAG_NH,NAG_NH,Optimal
ORD000305,Upper Siang,DEL_RDC,DEL_RDC,Optimal
ORD000306,Sriperumbudur,NAG_NH,NAG_NH,Optimal
ORD000307,Ambad,CCU_RDC,CCU_RDC,Optimal
ORD000308,Lalpur,CCU_RDC,CCU_RDC,Optimal
ORD000309,Phalodi,MUM_NH,MUM_NH,Optimal
ORD000310,Palghar,BLR_RDC,BLR_RDC,Optimal
ORD000311,Amudalavalasa,BLR_RDC,BLR_RDC,Optimal
ORD000312,Faizabad,BLR_RDC,BLR_RDC,Optimal
ORD000313,Krishnarajpet,DEL_RDC,DEL_RDC,Optimal
ORD000314,Siddharthnagar,MUM_NH,MUM_NH,Optimal
ORD000315,Yavatmal,NAG_NH,NAG_NH,Optimal
ORD000316,Mattur,BLR_RDC,BLR_RDC,Optimal
ORD000317,Palle,CCU_RDC,CCU_RDC,Optimal
ORD000318,Khandela,MUM_NH,MUM_NH,Optimal
ORD000319,Khunti,MAA_RDC,MAA_RDC,Optimal
ORD000320,Botad,NAG_NH,NAG_NH,Optimal
ORD000321,Balapur,AMD_RDC,AMD_RDC,Optimal
ORD000322,Hathras,AMD_RDC,AMD_RDC,Optimal
ORD000323,Amroha,MAA_RDC,MAA_RDC,Optimal
ORD000324,Basanti,HYD_RDC,HYD_RDC,Optimal
ORD000325,Lohardaga,BLR_RDC,BLR_RDC,Optimal
ORD000326,Chakrata,CCU_RDC,CCU_RDC,Optimal
ORD000327,Kasaragod District,AMD_RDC,AMD_RDC,Optimal
ORD000328,Niphad,AMD_RDC,AMD_RDC,Optimal
ORD000329,Murliganj,DEL_RDC,DEL_RDC,Optimal
ORD000330,Cuttack,HYD_RDC,HYD_RDC,Optimal
ORD000331,Wokha,AMD_RDC,AMD_RDC,Optimal
ORD000332,Jalaun,AMD_RDC,AMD_RDC,Optimal
ORD000333,Attayyampatti,CCU_RDC,CCU_RDC,Optimal
ORD000334,Uska,AMD_RDC,AMD_RDC,Optimal
ORD000335,Hirakud,CCU_RDC,CCU_RDC,Optimal
ORD000336,Sattenapalle,MAA_RDC,MAA_RDC,Optimal
ORD000337,Katghora,HYD_RDC,HYD_RDC,Optimal
ORD000338,Khargupur,MUM_NH,MUM_NH,Optimal
ORD000339,Panihati,BLR_RDC,BLR_RDC,Optimal
ORD000340,Arumuganeri,MUM_NH,MUM_NH,Optimal
ORD000341,Champhai,MAA_RDC,MAA_RDC,Optimal
ORD000342,Sarila,BLR_RDC,BLR_RDC,Optimal
ORD000343,Raia,CCU_RDC,CCU_RDC,Optimal
ORD000344,Ladakh,DEL_RDC,DEL_RDC,Optimal
ORD000345,Mungra Badshahpur,CCU_RDC,CCU_RDC,Optimal
ORD000346,Sadat,BLR_RDC,BLR_RDC,Optimal
ORD000347,Bachhrawan,HYD_RDC,HYD_RDC,Optimal
ORD000348,Baragarh,MUM_NH,MUM_NH,Optimal
ORD000349,Allahabad,MAA_RDC,MAA_RDC,Optimal
ORD000350,Umri,AMD_RDC,AMD_RDC,Optimal
ORD000351,Aroor,DEL_RDC,DEL_RDC,Optimal
ORD000352,Sidhi,DEL_RDC,DEL_RDC,Optimal
ORD000353,Pachmarhi,CCU_RDC,CCU_RDC,Optimal
ORD000354,Kamuthi,NAG_NH,NAG_NH,Optimal
ORD000355,Bilashi,NAG_NH,NAG_NH,Optimal
ORD000356,Savarkundla,AMD_RDC,AMD_RDC,Optimal
ORD000357,Sabalpur,MUM_NH,MUM_NH,Optimal
ORD000358,Heggadadevankote,NAG_NH,HYD_RDC,Low Inventory
ORD000359,Kharba,AMD_RDC,AMD_RDC,Optimal
ORD000360,Fyzabad,NAG_NH,NAG_NH,Optimal
ORD000361,Khusropur,AMD_RDC,AMD_RDC,Optimal
ORD000362,Chharra,DEL_RDC,DEL_RDC,Optimal
ORD000363,Pithapuram,MUM_NH,MUM_NH,Optimal
ORD000364,Alibag,CCU_RDC,CCU_RDC,Optimal
ORD000365,Seram,DEL_RDC,DEL_RDC,Optimal
ORD000366,Daulatpur,AMD_RDC,AMD_RDC,Optimal
ORD000367,Nakur,MUM_NH,MUM_NH,Optimal
ORD000368,Sirsaganj,MUM_NH,MUM_NH,Optimal
ORD000369,Nandgaon,BLR_RDC,BLR_RDC,Optimal
ORD000370,Pathakpura,NAG_NH,NAG_NH,Optimal
ORD000371,Pallavaram,AMD_RDC,AMD_RDC,Optimal
ORD000372,Turuvekere,BLR_RDC,BLR_RDC,Optimal
ORD000373,Kendujhar,NAG_NH,NAG_NH,Optimal
ORD000374,Bhandu,HYD_RDC,HYD_RDC,Optimal
ORD000375,Ausa,CCU_RDC,CCU_RDC,Optimal
ORD000376,Mul,DEL_RDC,DEL_RDC,Optimal
ORD000377,Siddhaur,BLR_RDC,BLR_RDC,Optimal
ORD000378,Bhuban,CCU_RDC,CCU_RDC,Optimal
ORD000379,Bazpur,CCU_RDC,NAG_NH,Low Inventory
ORD000380,Kotla,NAG_NH,NAG_NH,Optimal
ORD000381,Sadaseopet,NAG_NH,NAG_NH,Optimal
ORD000382,Dharasana,MUM_NH,MUM_NH,Optimal
ORD000383,Namkhana Community Development Block,MAA_RDC,MAA_RDC,Optimal
ORD000384,Prakasha,BLR_RDC,BLR_RDC,Optimal
ORD000385,Alampur,BLR_RDC,BLR_RDC,Optimal
ORD000386,Panchla,HYD_RDC,HYD_RDC,Optimal
ORD000387,Moram,MAA_RDC,MAA_RDC,Optimal
ORD000388,Rangapara,MUM_NH,MUM_NH,Optimal
ORD000389,Jiran,CCU_RDC,CCU_RDC,Optimal
ORD000390,Bhadravati,DEL_RDC,DEL_RDC,Optimal
ORD000391,Narmada,NAG_NH,NAG_NH,Optimal
ORD000392,Rupnagar,BLR_RDC,BLR_RDC,Optimal
ORD000393,Kurduvadi,MUM_NH,MUM_NH,Optimal
ORD000394,Dankaur,MUM_NH,MUM_NH,Optimal
ORD000395,Kalol,AMD_RDC,AMD_RDC,Optimal
ORD000396,Bairagnia,DEL_RDC,DEL_RDC,Optimal
ORD000397,Pahasu,HYD_RDC,HYD_RDC,Optimal
ORD000398,Visakhapatnam,CCU_RDC,CCU_RDC,Optimal
ORD000399,Kausani,MUM_NH,MUM_NH,Optimal
ORD000400,Gahlon,MAA_RDC,MAA_RDC,Optimal
ORD000401,Mudgere,AMD_RDC,AMD_RDC,Optimal
ORD000402,Bharthana,MUM_NH,MUM_NH,Optimal
ORD000403,Petlad,CCU_RDC,MUM_NH,Low Inventory
ORD000404,Sikandarabad,DEL_RDC,DEL_RDC,Optimal
ORD000405,Limbdi,NAG_NH,NAG_NH,Optimal
ORD000406,Radhanpur,CCU_RDC,CCU_RDC,Optimal
ORD000407,Malpura,MAA_RDC,MAA_RDC,Optimal
ORD000408,Naigarhi,HYD_RDC,HYD_RDC,Optimal
ORD000409,Gudur,DEL_RDC,DEL_RDC,Optimal
ORD000410,Chittaranjan,MAA_RDC,MAA_RDC,Optimal
ORD000411,Baduria,BLR_RDC,BLR_RDC,Optimal
ORD000412,Nalbari,NAG_NH,NAG_NH,Optimal
ORD000413,Saiha,MAA_RDC,MAA_RDC,Optimal
ORD000414,Pullambadi,DEL_RDC,DEL_RDC,Optimal
ORD000415,Simaria,MAA_RDC,MAA_RDC,Optimal
ORD000416,Malihabad,BLR_RDC,BLR_RDC,Optimal
ORD000417,Akola,BLR_RDC,BLR_RDC,Optimal
ORD000418,Bagra,CCU_RDC,CCU_RDC,Optimal
ORD000419,Sihora,CCU_RDC,CCU_RDC,Optimal
ORD000420,Miranpur Katra,AMD_RDC,AMD_RDC,Optimal
ORD000421,Hindupur,AMD_RDC,AMD_RDC,Optimal
ORD000422,Chinchinim,CCU_RDC,CCU_RDC,Optimal
ORD000423,Moradabad,DEL_RDC,DEL_RDC,Optimal
ORD000424,Binka,NAG_NH,NAG_NH,Optimal
