shipment_id,destination_city,vehicle_type,distance_km,speed_kmph,estimated_hours,estimated_delivery,eta_status
SHP000072,Itanagar,Medium Truck,180,50,3.6,2025-12-04 03:36,On Time
SHP000073,Rajmahal,Mini Truck,180,60,3.0,2025-05-14 03:00,On Time
SHP000074,Amanpur,Mini Truck,900,60,15.0,2025-05-04 15:00,Long Distance
SHP000075,Bhojpur Dharampur,Mini Truck,180,60,3.0,2025-08-24 03:00,On Time
SHP000076,Selu,Medium Truck,180,50,3.6,2025-08-25 03:36,On Time
SHP000077,Baberu,Mini Truck,450,60,7.5,2025-10-05 07:30,In Transit
SHP000078,Rampur Hat,Mini Truck,180,60,3.0,2025-06-30 03:00,On Time
SHP000079,Bawali,Mini Truck,40,60,0.67,2025-03-24 00:40,On Time
SHP000080,Punjai Puliyampatti,Medium Truck,40,50,0.8,2025-11-12 00:48,On Time
SHP000081,Kampil,Mini Truck,180,60,3.0,2025-10-13 03:00,On Time
SHP000082,Bannur,Mini Truck,180,60,3.0,2025-03-10 03:00,On Time
SHP000083,Khallar,Medium Truck,180,50,3.6,2025-10-11 03:36,On Time
SHP000084,Vasco Da Gama,Mini Truck,900,60,15.0,2025-06-27 15:00,Long Distance
SHP000085,Sadabad,Mini Truck,180,60,3.0,2025-05-18 03:00,On Time
SHP000086,Manjhanpur,Medium Truck,40,50,0.8,2025-02-18 00:48,On Time
SHP000087,Ammapettai,Mini Truck,180,60,3.0,2025-01-02 03:00,On Time
SHP000088,Bari,Mini Truck,450,60,7.5,2025-05-16 07:30,In Transit
SHP000089,Darjeeling,Mini Truck,1500,60,25.0,2025-10-16 01:00,Long Distance
SHP000090,Sikka,Medium Truck,450,50,9.0,2025-03-20 09:00,In Transit
SHP000091,Banthra,Mini Truck,180,60,3.0,2025-10-10 03:00,On Time
SHP000092,Manjeri,Mini Truck,40,60,0.67,2025-06-07 00:40,On Time
SHP000093,Sultanpur,Mini Truck,1500,60,25.0,2025-12-17 01:00,Long Distance
SHP000094,Odlabari,Mini Truck,180,60,3.0,2025-10-16 03:00,On Time
SHP000095,Kotwa,Mini Truck,900,60,15.0,2025-05-04 15:00,Long Distance
SHP000096,Perungudi,Mini Truck,40,60,0.67,2025-04-03 00:40,On Time
SHP000097,Sahaspur,Mini Truck,180,60,3.0,2025-05-10 03:00,On Time
SHP000098,Powai,Medium Truck,180,50,3.6,2025-07-15 03:36,On Time
SHP000099,Udalguri,Medium Truck,900,50,18.0,2025-08-26 18:00,Long Distance
SHP000100,Pune,Medium Truck,180,50,3.6,2025-01-15 03:36,On Time
SHP000101,Kharar,Medium Truck,900,50,18.0,2025-05-24 18:00,Long Distance
SHP000102,Bodri,Medium Truck,180,50,3.6,2025-11-26 03:36,On Time
SHP000103,Pukhrayan,Medium Truck,180,50,3.6,2025-06-20 03:36,On Time
SHP000104,Rajkot,Mini Truck,450,60,7.5,2025-10-25 07:30,In Transit
SHP000105,"Banda, Maharashtra",Mini Truck,180,60,3.0,2025-06-26 03:00,On Time
SHP000106,Dwarka,Medium Truck,450,50,9.0,2025-09-19 09:00,In Transit
SHP000107,Talikota,Mini Truck,40,60,0.67,2025-05-13 00:40,On Time
SHP000108,Jakhau,Mini Truck,180,60,3.0,2025-09-26 03:00,On Time
SHP000109,Katihar,Medium Truck,450,50,9.0,2025-12-10 09:00,In Transit
SHP000110,Kurukshetra,Medium Truck,180,50,3.6,2025-12-09 03:36,On Time
SHP000111,Visnagar,Medium Truck,180,50,3.6,2025-03-05 03:36,On Time
SHP000112,Lalganj,Mini Truck,180,60,3.0,2025-12-08 03:00,On Time
SHP000113,Srisailain,Medium Truck,40,50,0.8,2025-06-01 00:48,On Time
SHP000114,Kunigal,Mini Truck,450,60,7.5,2025-12-07 07:30,In Transit
SHP000115,Kargil,Mini Truck,40,60,0.67,2025-11-14 00:40,On Time
SHP000116,Seoni Malwa,Mini Truck,40,60,0.67,2025-01-01 00:40,On Time
SHP000117,Bishunpur Urf Maharajganj,Mini Truck,1500,60,25.0,2025-10-25 01:00,Long Distance
SHP000118,Kanchrapara,Mini Truck,40,60,0.67,2025-08-15 00:40,On Time
SHP000119,Sanguem,Mini Truck,450,60,7.5,2025-09-01 07:30,In Transit
SHP000120,Sehore,Medium Truck,40,50,0.8,2025-09-21 00:48,On Time
SHP000121,Shertallai,Mini Truck,180,60,3.0,2025-02-19 03:00,On Time
SHP000122,Narayanpur,Medium Truck,900,50,18.0,2025-04-13 18:00,Long Distance
SHP000123,Patancheru,Mini Truck,180,60,3.0,2025-09-02 03:00,On Time
SHP000124,Badarpur,Mini Truck,450,60,7.5,2025-08-03 07:30,In Transit
SHP000125,Shegaon,Medium Truck,40,50,0.8,2025-09-13 00:48,On Time
SHP000126,Pahasu,Mini Truck,450,60,7.5,2025-02-24 07:30,In Transit
SHP000127,Jobner,Medium Truck,900,50,18.0,2025-08-28 18:00,Long Distance
SHP000128,Palsana,Mini Truck,450,60,7.5,2025-08-22 07:30,In Transit
SHP000129,Tinnanur,Mini Truck,900,60,15.0,2025-10-14 15:00,Long Distance
SHP000130,Adawad,Medium Truck,40,50,0.8,2025-10-10 00:48,On Time
SHP000131,Yol,Medium Truck,450,50,9.0,2025-08-19 09:00,In Transit
SHP000132,Kharar,Medium Truck,900,50,18.0,2025-05-22 18:00,Long Distance
SHP000133,Keshod,Mini Truck,450,60,7.5,2025-05-22 07:30,In Transit
SHP000134,Bhognipur,Mini Truck,40,60,0.67,2025-05-01 00:40,On Time
SHP000135,Kakching,Mini Truck,40,60,0.67,2025-02-13 00:40,On Time
SHP000136,Nalanda,Mini Truck,40,60,0.67,2025-12-22 00:40,On Time
SHP000137,Masinigudi,Medium Truck,900,50,18.0,2025-08-01 18:00,Long Distance
SHP000138,Sarubera,Medium Truck,40,50,0.8,2025-08-01 00:48,On Time
SHP000139,Begun,Mini Truck,450,60,7.5,2025-10-28 07:30,In Transit
SHP000140,Kamalapuram,Mini Truck,180,60,3.0,2025-09-02 03:00,On Time
SHP000141,Mahuva (Surat),Medium Truck,900,50,18.0,2025-07-19 18:00,Long Distance
SHP000142,Tanjore,Medium Truck,180,50,3.6,2025-11-06 03:36,On Time
SHP000143,Narsinghgarh,Mini Truck,450,60,7.5,2025-08-13 07:30,In Transit
SHP000144,Aldona,Mini Truck,40,60,0.67,2025-12-10 00:40,On Time
SHP000145,Sewri,Medium Truck,1500,50,30.0,2025-08-30 06:00,Long Distance
SHP000146,Itanagar,Mini Truck,180,60,3.0,2025-07-23 03:00,On Time
SHP000147,Maner,Medium Truck,450,50,9.0,2025-02-12 09:00,In Transit
SHP000148,Jalore,Medium Truck,180,50,3.6,2025-08-26 03:36,On Time
SHP000149,Rohru,Mini Truck,180,60,3.0,2025-06-17 03:00,On Time
SHP000150,Budaun,Medium Truck,180,50,3.6,2025-07-16 03:36,On Time
SHP000151,Amritsar,Mini Truck,450,60,7.5,2025-02-13 07:30,In Transit
SHP000152,Peraiyur,Medium Truck,900,50,18.0,2025-01-27 18:00,Long Distance
SHP000153,Sathamba,Mini Truck,40,60,0.67,2025-12-02 00:40,On Time
SHP000154,Susner,Mini Truck,40,60,0.67,2025-04-15 00:40,On Time
SHP000155,Ghargaon,Mini Truck,180,60,3.0,2025-03-06 03:00,On Time
SHP000156,Harduaganj,Mini Truck,180,60,3.0,2025-04-24 03:00,On Time
SHP000157,Nangal,Medium Truck,450,50,9.0,2025-07-08 09:00,In Transit
SHP000158,Satna,Medium Truck,40,50,0.8,2025-03-02 00:48,On Time
SHP000159,Orchha,Medium Truck,900,50,18.0,2025-01-16 18:00,Long Distance
SHP000160,Ujhani,Medium Truck,40,50,0.8,2025-07-13 00:48,On Time
SHP000161,Kairana,Medium Truck,40,50,0.8,2025-11-02 00:48,On Time
SHP000162,Baleshwar,Mini Truck,40,60,0.67,2025-12-25 00:40,On Time
SHP000163,Partur,Mini Truck,450,60,7.5,2025-10-19 07:30,In Transit
SHP000164,Koppal,Mini Truck,40,60,0.67,2025-12-06 00:40,On Time
SHP000165,Gomoh,Mini Truck,40,60,0.67,2025-06-26 00:40,On Time
SHP000166,Musafir-Khana,Mini Truck,1500,60,25.0,2025-08-12 01:00,Long Distance
SHP000167,Tirur,Medium Truck,40,50,0.8,2025-03-20 00:48,On Time
SHP000168,Kairana,Medium Truck,40,50,0.8,2025-11-12 00:48,On Time
SHP000169,Bhadohi,Medium Truck,40,50,0.8,2025-08-13 00:48,On Time
SHP000170,Tohana,Medium Truck,180,50,3.6,2025-05-08 03:36,On Time
SHP000171,Mau,Mini Truck,40,60,0.67,2025-08-27 00:40,On Time
SHP000172,Junagadh,Mini Truck,450,60,7.5,2025-06-22 07:30,In Transit
SHP000173,Kamarpukur,Mini Truck,40,60,0.67,2025-09-08 00:40,On Time
SHP000174,Kausani,Mini Truck,450,60,7.5,2025-05-26 07:30,In Transit
SHP000175,Cuddalore,Mini Truck,40,60,0.67,2025-01-06 00:40,On Time
SHP000176,Kot Isa Khan,Medium Truck,40,50,0.8,2025-07-28 00:48,On Time
SHP000177,West Delhi,Mini Truck,40,60,0.67,2025-11-28 00:40,On Time
SHP000178,Ponnuru,Medium Truck,40,50,0.8,2025-02-18 00:48,On Time
SHP000179,Dhanghata,Mini Truck,180,60,3.0,2025-05-05 03:00,On Time
SHP000180,Alur,Medium Truck,180,50,3.6,2025-09-01 03:36,On Time
SHP000181,Ashoknagar Kalyangarh,Medium Truck,180,50,3.6,2025-10-10 03:36,On Time
SHP000182,Panhala,Mini Truck,40,60,0.67,2025-05-21 00:40,On Time
SHP000183,Durg,Medium Truck,40,50,0.8,2025-04-11 00:48,On Time
SHP000184,Chengam,Mini Truck,450,60,7.5,2025-12-20 07:30,In Transit
SHP000185,Shahbazpur,Mini Truck,900,60,15.0,2025-05-23 15:00,Long Distance
SHP000186,West Khasi Hills,Medium Truck,40,50,0.8,2025-05-25 00:48,On Time
SHP000187,Nawanshahr,Medium Truck,180,50,3.6,2025-07-04 03:36,On Time
SHP000188,Baran,Medium Truck,900,50,18.0,2025-10-03 18:00,Long Distance
SHP000189,Sonari,Medium Truck,40,50,0.8,2025-10-11 00:48,On Time
SHP000190,Khalapur,Mini Truck,40,60,0.67,2025-09-10 00:40,On Time
SHP000191,Pachmarhi,Medium Truck,1500,50,30.0,2025-08-30 06:00,Long Distance
SHP000192,Karkala,Mini Truck,40,60,0.67,2025-01-27 00:40,On Time
SHP000193,West Kameng,Medium Truck,40,50,0.8,2025-07-27 00:48,On Time
SHP000194,Dharasana,Mini Truck,40,60,0.67,2025-12-19 00:40,On Time
SHP000195,Mudbidri,Medium Truck,180,50,3.6,2025-02-13 03:36,On Time
SHP000196,Hajan,Mini Truck,180,60,3.0,2025-11-08 03:00,On Time
SHP000197,Bandipore,Medium Truck,180,50,3.6,2025-09-25 03:36,On Time
SHP000198,Ghatsila,Medium Truck,180,50,3.6,2025-10-29 03:36,On Time
SHP000199,Paschim Medinipur District,Medium Truck,40,50,0.8,2025-01-31 00:48,On Time
SHP000200,Jalkot,Medium Truck,900,50,18.0,2025-11-19 18:00,Long Distance
SHP000201,Kamakhyanagar,Medium Truck,40,50,0.8,2025-03-24 00:48,On Time
SHP000202,Azamgarh,Medium Truck,180,50,3.6,2025-03-22 03:36,On Time
SHP000203,Morva (Hadaf),Mini Truck,40,60,0.67,2025-11-03 00:40,On Time
SHP000204,Ratnagiri,Medium Truck,180,50,3.6,2025-05-30 03:36,On Time
SHP000205,Asalatganj,Mini Truck,900,60,15.0,2025-02-07 15:00,Long Distance
SHP000206,Karumbakkam,Medium Truck,40,50,0.8,2025-08-08 00:48,On Time
SHP000207,Lalitpur,Mini Truck,1500,60,25.0,2025-03-20 01:00,Long Distance
SHP000208,Bakani,Mini Truck,40,60,0.67,2025-03-26 00:40,On Time
SHP000209,Tekkali,Medium Truck,450,50,9.0,2025-05-29 09:00,In Transit
SHP000210,Keelakarai,Medium Truck,180,50,3.6,2025-12-26 03:36,On Time
SHP000211,Nawa,Medium Truck,450,50,9.0,2025-09-12 09:00,In Transit
SHP000212,Benaulim,Medium Truck,180,50,3.6,2025-08-12 03:36,On Time
SHP000213,Indpur Community Development Block,Mini Truck,180,60,3.0,2025-02-17 03:00,On Time
SHP000214,Singrauli,Mini Truck,40,60,0.67,2025-01-13 00:40,On Time
SHP000215,Malasa,Medium Truck,900,50,18.0,2025-03-31 18:00,Long Distance
SHP000216,Terha,Medium Truck,180,50,3.6,2025-05-23 03:36,On Time
SHP000217,Bidhuna,Mini Truck,180,60,3.0,2025-09-09 03:00,On Time
SHP000218,Chitrakoot,Mini Truck,450,60,7.5,2025-06-22 07:30,In Transit
SHP000219,Manasa,Mini Truck,450,60,7.5,2025-06-19 07:30,In Transit
SHP000220,Punasa,Mini Truck,180,60,3.0,2025-12-07 03:00,On Time
SHP000221,Peddapuram,Medium Truck,40,50,0.8,2025-08-23 00:48,On Time
SHP000222,Elayirampannai,Mini Truck,1500,60,25.0,2025-03-03 01:00,Long Distance
SHP000223,Tiruttangal,Medium Truck,900,50,18.0,2025-08-26 18:00,Long Distance
SHP000224,Soyibug,Medium Truck,450,50,9.0,2025-07-05 09:00,In Transit
SHP000225,Balimila,Medium Truck,450,50,9.0,2025-08-16 09:00,In Transit
SHP000226,Koratla,Mini Truck,1500,60,25.0,2025-05-29 01:00,Long Distance
SHP000227,Surandai,Mini Truck,180,60,3.0,2025-01-15 03:00,On Time
SHP000228,Kandukur,Medium Truck,40,50,0.8,2025-03-24 00:48,On Time
SHP000229,Gandai,Mini Truck,40,60,0.67,2025-02-18 00:40,On Time
SHP000230,Thrissur District,Medium Truck,450,50,9.0,2025-11-29 09:00,In Transit
SHP000231,Vidisha,Medium Truck,40,50,0.8,2025-09-20 00:48,On Time
SHP000232,Serchhip,Mini Truck,180,60,3.0,2025-09-06 03:00,On Time
SHP000233,Gumia,Medium Truck,180,50,3.6,2025-03-17 03:36,On Time
SHP000234,Bijawar,Mini Truck,180,60,3.0,2025-03-11 03:00,On Time
SHP000235,Thasra,Mini Truck,180,60,3.0,2025-09-17 03:00,On Time
SHP000236,Kashipur,Mini Truck,40,60,0.67,2025-06-03 00:40,On Time
SHP000237,Radhakund,Mini Truck,40,60,0.67,2025-03-18 00:40,On Time
SHP000238,Karamsad,Mini Truck,40,60,0.67,2025-06-21 00:40,On Time
SHP000239,Churulia,Medium Truck,180,50,3.6,2025-08-24 03:36,On Time
SHP000240,Sardoi,Mini Truck,450,60,7.5,2025-10-21 07:30,In Transit
SHP000241,Modasa,Medium Truck,40,50,0.8,2025-06-14 00:48,On Time
SHP000242,Fort Gloster,Mini Truck,450,60,7.5,2025-12-07 07:30,In Transit
SHP000243,Arangaon,Medium Truck,180,50,3.6,2025-03-06 03:36,On Time
SHP000244,Pudukkottai,Medium Truck,180,50,3.6,2025-08-14 03:36,On Time
SHP000245,Pathardih,Mini Truck,1500,60,25.0,2025-03-16 01:00,Long Distance
SHP000246,Ulhasnagar,Medium Truck,900,50,18.0,2025-08-30 18:00,Long Distance
SHP000247,Madambakkam,Medium Truck,180,50,3.6,2025-11-29 03:36,On Time
SHP000248,Chikodi,Mini Truck,450,60,7.5,2025-07-16 07:30,In Transit
SHP000249,Kalavoor,Mini Truck,900,60,15.0,2025-10-07 15:00,Long Distance
SHP000250,Kumaralingam,Medium Truck,40,50,0.8,2025-11-22 00:48,On Time
SHP000251,Lodhikheda,Mini Truck,900,60,15.0,2025-08-13 15:00,Long Distance
SHP000252,Baloda Bazar,Medium Truck,40,50,0.8,2025-08-18 00:48,On Time
SHP000253,Bilhaur,Medium Truck,180,50,3.6,2025-01-25 03:36,On Time
SHP000254,Chhindwara,Medium Truck,450,50,9.0,2025-07-13 09:00,In Transit
SHP000255,Gingee,Medium Truck,180,50,3.6,2025-08-01 03:36,On Time
SHP000256,Chakrata,Mini Truck,900,60,15.0,2025-03-31 15:00,Long Distance
SHP000257,Raipur,Mini Truck,40,60,0.67,2025-12-18 00:40,On Time
SHP000258,Purba Medinipur District,Medium Truck,1500,50,30.0,2025-05-02 06:00,Long Distance
SHP000259,Dhaulpur,Medium Truck,180,50,3.6,2025-05-13 03:36,On Time
SHP000260,Kharkhauda,Mini Truck,900,60,15.0,2025-12-14 15:00,Long Distance
SHP000261,Neem Ka Thana,Mini Truck,40,60,0.67,2025-06-28 00:40,On Time
SHP000262,Argaon,Mini Truck,180,60,3.0,2025-12-21 03:00,On Time
SHP000263,Walterganj,Medium Truck,40,50,0.8,2025-07-16 00:48,On Time
SHP000264,Kaliaganj,Medium Truck,180,50,3.6,2025-10-22 03:36,On Time
SHP000265,Morinda,Mini Truck,900,60,15.0,2025-06-03 15:00,Long Distance
SHP000266,Arrah,Medium Truck,40,50,0.8,2025-01-06 00:48,On Time
SHP000267,Dhule,Medium Truck,900,50,18.0,2025-11-08 18:00,Long Distance
SHP000268,Bhatkal,Mini Truck,900,60,15.0,2025-07-02 15:00,Long Distance
SHP000269,Puri,Mini Truck,40,60,0.67,2025-12-16 00:40,On Time
SHP000270,Nellikkuppam,Mini Truck,900,60,15.0,2025-03-14 15:00,Long Distance
SHP000271,Devarkonda,Mini Truck,180,60,3.0,2025-01-22 03:00,On Time
SHP000272,Madhavpur Ghed,Medium Truck,180,50,3.6,2025-07-08 03:36,On Time
SHP000273,Machilipatnam,Mini Truck,900,60,15.0,2025-06-18 15:00,Long Distance
SHP000274,Kodala,Mini Truck,180,60,3.0,2025-10-04 03:00,On Time
SHP000275,Kamargaon,Medium Truck,180,50,3.6,2025-03-26 03:36,On Time
SHP000276,Shahgarh,Medium Truck,180,50,3.6,2025-06-23 03:36,On Time
SHP000277,Bilgram,Medium Truck,40,50,0.8,2025-04-26 00:48,On Time
SHP000278,Mataundh,Mini Truck,900,60,15.0,2025-10-14 15:00,Long Distance
SHP000279,Jalandhar,Medium Truck,900,50,18.0,2025-05-16 18:00,Long Distance
SHP000280,Bantval,Medium Truck,180,50,3.6,2025-12-12 03:36,On Time
SHP000281,Raebareli,Mini Truck,900,60,15.0,2025-11-23 15:00,Long Distance
SHP000282,Nuapada,Mini Truck,180,60,3.0,2025-08-31 03:00,On Time
SHP000283,Machhali Shahar,Medium Truck,180,50,3.6,2025-11-09 03:36,On Time
SHP000284,Mokokchung,Mini Truck,900,60,15.0,2025-08-28 15:00,Long Distance
SHP000285,Kotma,Medium Truck,1500,50,30.0,2025-03-02 06:00,Long Distance
SHP000286,Kharar,Medium Truck,900,50,18.0,2025-09-10 18:00,Long Distance
SHP000287,Gharaunda,Mini Truck,900,60,15.0,2025-03-13 15:00,Long Distance
SHP000288,Sonamura,Mini Truck,180,60,3.0,2025-12-24 03:00,On Time
SHP000289,Gondal,Medium Truck,180,50,3.6,2025-08-03 03:36,On Time
SHP000290,Tirodi,Medium Truck,180,50,3.6,2025-05-24 03:36,On Time
SHP000291,Panskura,Medium Truck,40,50,0.8,2025-08-16 00:48,On Time
SHP000292,Panaji,Mini Truck,180,60,3.0,2025-12-20 03:00,On Time
SHP000293,Chhatarpur,Medium Truck,180,50,3.6,2025-02-03 03:36,On Time
SHP000294,Asansol,Medium Truck,450,50,9.0,2025-08-22 09:00,In Transit
SHP000295,Chanasma,Medium Truck,180,50,3.6,2025-11-26 03:36,On Time
SHP000296,Todaraisingh,Medium Truck,450,50,9.0,2025-05-06 09:00,In Transit
SHP000297,Ramnagar,Mini Truck,900,60,15.0,2025-10-12 15:00,Long Distance
SHP000298,Sachendi,Mini Truck,40,60,0.67,2025-06-20 00:40,On Time
SHP000299,Paikpara,Mini Truck,180,60,3.0,2025-03-17 03:00,On Time
SHP000300,Laungowal,Mini Truck,40,60,0.67,2025-02-26 00:40,On Time
SHP000301,Jangipur,Medium Truck,40,50,0.8,2025-07-05 00:48,On Time
SHP000302,Barpeta Road,Medium Truck,450,50,9.0,2025-04-02 09:00,In Transit
SHP000303,Sonari,Mini Truck,40,60,0.67,2025-09-28 00:40,On Time
SHP000304,Narora,Medium Truck,40,50,0.8,2025-08-18 00:48,On Time
SHP000305,Upper Siang,Mini Truck,450,60,7.5,2025-08-20 07:30,In Transit
SHP000306,Sriperumbudur,Medium Truck,180,50,3.6,2025-12-05 03:36,On Time
SHP000307,Ambad,Medium Truck,180,50,3.6,2025-02-03 03:36,On Time
SHP000308,Lalpur,Medium Truck,180,50,3.6,2025-02-25 03:36,On Time
SHP000309,Phalodi,Medium Truck,180,50,3.6,2025-02-11 03:36,On Time
SHP000310,Palghar,Mini Truck,40,60,0.67,2025-03-08 00:40,On Time
SHP000311,Amudalavalasa,Mini Truck,40,60,0.67,2025-10-10 00:40,On Time
SHP000312,Faizabad,Mini Truck,40,60,0.67,2025-09-29 00:40,On Time
SHP000313,Krishnarajpet,Mini Truck,450,60,7.5,2025-08-10 07:30,In Transit
SHP000314,Siddharthnagar,Medium Truck,40,50,0.8,2025-12-02 00:48,On Time
SHP000315,Yavatmal,Medium Truck,40,50,0.8,2025-08-21 00:48,On Time
SHP000316,Mattur,Mini Truck,900,60,15.0,2025-07-24 15:00,Long Distance
SHP000317,Palle,Medium Truck,450,50,9.0,2025-08-08 09:00,In Transit
SHP000318,Khandela,Medium Truck,450,50,9.0,2025-03-22 09:00,In Transit
SHP000319,Khunti,Mini Truck,180,60,3.0,2025-02-14 03:00,On Time
SHP000320,Botad,Medium Truck,180,50,3.6,2025-03-09 03:36,On Time
SHP000321,Balapur,Mini Truck,180,60,3.0,2025-10-16 03:00,On Time
SHP000322,Hathras,Mini Truck,450,60,7.5,2025-07-03 07:30,In Transit
